system,metric,effect_size,empirical_p,anchor_K_candidates,notes
S1,phi_like,8.490719714076e-01,4.761904761905e-01,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,51",Erdos-Renyi random graph covariance
S1,cond_entropy,-1.142567550024e+02,4.761904761905e-02,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,51",Erdos-Renyi random graph covariance
S1,synchronization,4.915254902725e+01,4.761904761905e-02,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,51",Erdos-Renyi random graph covariance
S1,variance_collapse,-5.265687904048e+01,4.761904761905e-02,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,51",Erdos-Renyi random graph covariance
S1,percolation_modularity,-8.491573760252e-01,7.142857142857e-01,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,51",Erdos-Renyi random graph covariance
S2,phi_like,2.607106255724e+01,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,44,45,47,49",Stochastic block model
S2,cond_entropy,-6.003380766928e+01,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,44,45,47,49",Stochastic block model
S2,synchronization,3.144663379759e+00,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,44,45,47,49",Stochastic block model
S2,variance_collapse,-9.546138197054e+00,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,44,45,47,49",Stochastic block model
S2,percolation_modularity,-4.200840252080e-01,1.000000000000e+00,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,43,44,45,47,49",Stochastic block model
S3,phi_like,3.552916840764e+01,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,42,45",Hierarchical modular network
S3,cond_entropy,-3.337738538495e+01,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,42,45",Hierarchical modular network
S3,synchronization,-6.850489894499e-01,5.238095238095e-01,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,42,45",Hierarchical modular network
S3,variance_collapse,-2.807000469197e+00,4.761904761905e-02,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,42,45",Hierarchical modular network
