symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
H,He,7.274846356258e-01,7.645713667619e-01,4.840111940665e+01,0,0.000000000000e+00
H,Li,1.672144505093e-01,3.195388497978e-01,8.682405337501e+00,1,1.000000000000e+00
H,Be,1.328749350086e-01,4.818711652151e-01,9.158261541766e+00,0,1.000000000000e+00
H,B,-1.273683274799e-02,4.096546381057e-01,-9.136277115489e-01,0,1.000000000000e+00
H,C,-8.593816525179e-03,2.775228625737e-01,-7.373826237695e-01,0,1.000000000000e+00
H,N,6.865910212155e-01,7.281985926625e-01,1.317987138964e+01,0,1.000000000000e+00
H,O,3.656595583623e-01,4.899673718255e-01,8.872814569724e+00,0,1.000000000000e+00
H,F,2.290066217999e-01,4.872909404227e-01,9.284960190171e+00,0,1.000000000000e+00
H,Ne,8.412239968836e-01,8.874312897179e-01,3.727162359904e+01,0,1.000000000000e+00
H,Na,2.877989771944e-01,2.963382759120e-01,1.606789232028e+01,1,2.000000000000e+00
H,Mg,1.667848573432e-01,5.414564502537e-01,4.955471028253e+00,0,2.000000000000e+00
H,Al,-2.332326948666e-01,2.329983179616e-01,-2.232909553599e+00,0,2.000000000000e+00
H,Si,-1.198337959231e-01,9.984558737826e-02,-1.300720609058e+00,0,2.000000000000e+00
H,P,6.149222900803e-01,7.004709529157e-01,5.887567296028e+00,0,2.000000000000e+00
H,S,2.812910755337e-01,5.312869295968e-01,3.724397231131e+00,0,2.000000000000e+00
H,Cl,4.076074377825e-01,6.182164722820e-01,6.765899709021e+00,0,2.000000000000e+00
H,Ar,7.843405118027e-01,7.983073345039e-01,2.718412814291e+01,0,2.000000000000e+00
H,K,-4.906732006499e-02,9.761996341460e-02,-3.559920195899e+00,1,3.000000000000e+00
H,Ca,2.695650503410e-02,-4.858371054810e-02,4.520001047399e-01,0,3.000000000000e+00
H,Sc,-4.169215107934e-01,-1.412440244439e-01,-4.858417532877e+00,0,3.000000000000e+00
H,Ti,-3.849592607713e-01,-2.005191052084e-01,-6.242742925640e+00,0,3.000000000000e+00
H,V,-4.297397547813e-01,-2.383585131284e-01,-6.857993668108e+00,0,3.000000000000e+00
H,Cr,-1.756396089694e-01,-5.492647308029e-02,-3.120651424043e+00,0,3.000000000000e+00
H,Mn,1.500564212042e-01,-1.047613304087e-01,2.324669745041e+00,0,3.000000000000e+00
H,Fe,-1.319369826211e-01,-1.063166099825e-01,-4.095139705196e+00,0,3.000000000000e+00
H,Co,-4.215670799903e-01,-3.932814596059e-01,-1.100114306987e+01,0,3.000000000000e+00
H,Ni,-5.133402231397e-01,-2.603504395498e-01,-5.421881138325e+00,0,3.000000000000e+00
H,Cu,3.605898495872e-01,4.685759015119e-01,3.321846917187e+00,0,3.000000000000e+00
H,Zn,6.537024674722e-01,7.143433880942e-01,9.213204059315e+00,0,3.000000000000e+00
H,Ga,-2.932270400330e-01,1.105559314795e-01,-2.548247742666e+00,0,3.000000000000e+00
H,Ge,-8.011787061567e-02,5.049380239115e-02,-1.024758302610e+00,0,3.000000000000e+00
H,As,1.542627492026e-01,3.499439132692e-01,1.363068959595e+00,0,3.000000000000e+00
H,Se,1.510321752974e-01,5.335189817641e-01,1.535736029104e+00,0,3.000000000000e+00
H,Br,2.895176211190e-01,5.480963932874e-01,4.737647705941e+00,0,3.000000000000e+00
H,Kr,5.138378818709e-01,8.052923854226e-01,1.802996996238e+01,0,3.000000000000e+00
H,Rb,-3.264768952409e-01,6.315617632935e-03,-3.643208721725e+00,1,4.000000000000e+00
H,Sr,1.031466608394e-01,1.108885731448e-01,1.052196832799e+00,0,4.000000000000e+00
H,Y,-1.561760697875e-01,-1.132082663901e-01,-1.169549010524e+01,0,4.000000000000e+00
H,Zr,-6.353700894362e-01,-4.883363805227e-01,-9.044230171913e+00,0,4.000000000000e+00
H,Nb,-4.221127217079e-01,-3.927466010288e-01,-1.103370272059e+01,0,4.000000000000e+00
H,Mo,-1.101609944484e-01,-1.785340936840e-01,-8.926692700043e+00,0,4.000000000000e+00
H,Tc,-5.756068209072e-01,-4.412936393976e-01,-7.015956832015e+00,0,4.000000000000e+00
H,Ru,-5.963244557785e-01,-4.419237639934e-01,-7.501424099275e+00,0,4.000000000000e+00
H,Rh,-5.685967226736e-01,-3.254982151652e-01,-7.727516553345e+00,0,4.000000000000e+00
H,Pd,-4.213842360918e-01,-3.940556222219e-01,-1.102771809930e+01,0,4.000000000000e+00
H,Ag,5.507959047918e-01,6.844883907177e-01,5.124028414523e+00,0,4.000000000000e+00
H,Cd,6.099792482261e-01,7.804692462333e-01,5.564040187948e+00,0,4.000000000000e+00
H,In,-3.775687237173e-01,7.381498474698e-02,-4.215188713633e+00,0,4.000000000000e+00
H,Sn,-2.031097506997e-01,2.238719980365e-01,-1.806126171374e+00,0,4.000000000000e+00
H,Sb,-2.406484058832e-02,2.614705276942e-01,-2.314349550738e-01,0,4.000000000000e+00
H,Te,6.757006778937e-02,4.769479114460e-01,6.493060082798e-01,0,4.000000000000e+00
H,I,4.833774626578e-01,6.939779495365e-01,4.993205462611e+00,0,4.000000000000e+00
H,Xe,8.368577639579e-01,8.503361579064e-01,1.857020723716e+01,0,4.000000000000e+00
H,Cs,-3.175092964171e-01,-8.508163045995e-03,-3.646527851099e+00,1,5.000000000000e+00
H,Ba,-1.282262548432e-01,-6.049425016506e-02,-2.021202582871e+00,0,5.000000000000e+00
H,La,-6.205589882304e-01,-5.028231938629e-01,-8.305686881080e+00,0,5.000000000000e+00
H,Ce,-4.997071544990e-01,-5.005167732507e-01,-1.029555588249e+01,0,5.000000000000e+00
H,Pr,-6.111536179374e-01,-5.748801040436e-01,-9.569499787679e+00,0,5.000000000000e+00
H,Nd,-4.988478371276e-01,-5.240387007038e-01,-8.634963010356e+00,0,5.000000000000e+00
