iter,mean_top10_anova_block,mean_top10_anova_period,mean_top10_periodicity_strength,degradation_block,degradation_period,degradation_periodicity
1,5.473938905702e+00,3.347418357983e+01,4.336231501333e+07,2.082670879121e-01,9.403863089687e-01,1.625235783879e+05
2,5.481359657114e+00,4.173056700975e+01,4.197966288341e+07,2.156878393239e-01,9.196769738890e+00,-1.220128551527e+06
3,5.264439587879e+00,2.971594087499e+01,4.332900189014e+07,-1.232229910616e-03,-2.817856395876e+00,1.292104552043e+05
4,4.814822868345e+00,3.480514180431e+01,4.110319923047e+07,-4.508489494450e-01,2.271344533442e+00,-2.096592204465e+06
5,5.335680306728e+00,3.982499896755e+01,4.420734757819e+07,7.000848893803e-02,7.291201696683e+00,1.007556143254e+06
6,5.117156077162e+00,3.166618420390e+01,4.279802724458e+07,-1.485157406282e-01,-8.676130669641e-01,-4.017641903629e+05
7,4.995025430451e+00,3.052769547835e+01,4.209938097786e+07,-2.706463873394e-01,-2.006101792513e+00,-1.100410457078e+06
8,5.183142601854e+00,3.375933288537e+01,4.279723713973e+07,-8.252921593618e-02,1.225535614508e+00,-4.025542952124e+05
9,5.563122504253e+00,3.824510896094e+01,4.508626105495e+07,2.974506864629e-01,5.711311690081e+00,1.886469620007e+06
10,4.934655619545e+00,3.611507963292e+01,4.231916328664e+07,-3.310161982447e-01,3.581282362053e+00,-8.806281483002e+05
11,5.220804169381e+00,3.231238142350e+01,4.461077140294e+07,-4.486764840915e-02,-2.214158473592e-01,1.410979968004e+06
12,5.542208808050e+00,3.384937089382e+01,4.583320752333e+07,2.765369902596e-01,1.315573622954e+00,2.633416088391e+06
13,5.255448438560e+00,3.069761591478e+01,4.471328083427e+07,-1.022337922972e-02,-1.836181356087e+00,1.513489399335e+06
14,5.499642151160e+00,3.222578172856e+01,4.520467100396e+07,2.339703333704e-01,-3.080155423053e-01,2.004879569019e+06
15,5.213292806326e+00,3.095696341251e+01,4.255291405697e+07,-5.237901146428e-02,-1.576833858357e+00,-6.468773779703e+05
16,5.258190188449e+00,3.128776725180e+01,4.292249870729e+07,-7.481629340597e-03,-1.246030019065e+00,-2.772927276463e+05
17,5.655026234877e+00,3.772047427037e+01,4.563650969091e+07,3.893544170870e-01,5.186676999509e+00,2.436718255967e+06
18,5.507772664460e+00,4.136106272578e+01,4.430058423291e+07,2.421008466700e-01,8.827265454918e+00,1.100792797967e+06
19,5.471914350957e+00,3.766957198754e+01,4.342547993930e+07,2.062425331671e-01,5.135774716674e+00,2.256885043650e+05
20,5.580667367106e+00,3.213057897199e+01,4.251803211046e+07,3.149955493161e-01,-4.032182988789e-01,-6.817593244783e+05
21,5.123842223481e+00,3.198212097823e+01,4.554212263671e+07,-1.418295943090e-01,-5.516762926377e-01,2.342331201771e+06
22,5.298286692090e+00,3.582188490814e+01,4.543878622670e+07,3.261487429981e-02,3.288087637275e+00,2.238994791761e+06
23,5.842775403523e+00,4.992315045085e+01,4.520094385003e+07,5.771035857328e-01,1.738935317999e+01,2.001152415089e+06
24,5.086622693498e+00,4.404861754032e+01,4.358573260561e+07,-1.790491242924e-01,1.151482026946e+01,3.859411706699e+05
25,5.026465066544e+00,3.048610459305e+01,4.265074885738e+07,-2.392067512458e-01,-2.047692677809e+00,-5.490425775611e+05
26,5.076313481245e+00,3.039701302012e+01,4.381416093107e+07,-1.893583365446e-01,-2.136784250743e+00,6.143694961326e+05
27,5.833410261865e+00,4.043536839893e+01,4.368756031635e+07,5.677384440750e-01,7.901571128070e+00,4.877688814109e+05
28,4.962977584551e+00,3.290269541107e+01,4.386666210130e+07,-3.026942332389e-01,3.688981402102e-01,6.668706663579e+05
29,5.341290632572e+00,3.467786149184e+01,4.541702871056e+07,7.561881478161e-02,2.144064220977e+00,2.217237275618e+06
30,4.919632518749e+00,3.088401738665e+01,4.398025016056e+07,-3.460392990407e-01,-1.649779884217e+00,7.804587256221e+05
31,5.332429009664e+00,4.111299479563e+01,4.430909247590e+07,6.675719187382e-02,8.579197524767e+00,1.109301040965e+06
32,5.017997138573e+00,2.918497499280e+01,4.172354110097e+07,-2.476746792173e-01,-3.348822278067e+00,-1.476250333970e+06
33,5.385052791902e+00,3.476769132938e+01,4.543669226897e+07,1.193809741116e-01,2.233894058517e+00,2.236900834034e+06
34,5.430218747342e+00,3.470854324875e+01,4.347071496488e+07,1.645469295518e-01,2.174745977886e+00,2.709235299394e+05
35,5.094982901089e+00,3.078443124504e+01,4.503787247540e+07,-1.706889167008e-01,-1.749366025821e+00,1.838081040461e+06
36,5.321438059390e+00,2.937501238126e+01,4.535001166397e+07,5.576624160040e-02,-3.158784889604e+00,2.150220229028e+06
37,5.276126364434e+00,4.263687618580e+01,4.171442353151e+07,1.045454664424e-02,1.010307891494e+01,-1.485367903424e+06
38,4.859015779530e+00,3.092282469769e+01,4.266077965981e+07,-4.066560382596e-01,-1.610972573178e+00,-5.390117751274e+05
39,5.044044250468e+00,3.219754971492e+01,4.069985788228e+07,-2.216275673220e-01,-3.362475559461e-01,-2.499933552657e+06
40,5.775346996405e+00,3.429475890061e+01,4.497075736264e+07,5.096751786153e-01,1.760961629741e+00,1.770965927701e+06
41,5.463730218181e+00,4.339129380567e+01,4.173155471015e+07,1.980584003905e-01,1.085749653481e+01,-1.468236724785e+06
42,5.627619250959e+00,3.499142116381e+01,4.622253647999e+07,3.619474331693e-01,2.457623892948e+00,3.022745045047e+06
43,5.666019897552e+00,3.080512025587e+01,4.400613425297e+07,4.003480797615e-01,-1.728677014995e+00,8.063428180286e+05
44,5.781284924350e+00,4.450138671029e+01,4.305576616143e+07,5.156131065601e-01,1.196758943943e+01,-1.440252735103e+05
45,5.486311385517e+00,3.260852148330e+01,4.383640143134e+07,2.206395677268e-01,7.472421243956e-02,6.366099964026e+05
46,5.579645653248e+00,3.618563775396e+01,4.467830388268e+07,3.139738354579e-01,3.651840483096e+00,1.478512447744e+06
