n_bands,pc1,pc2,pc3,best_k,best_silhouette,mean_abs_corr_with_Z_top10,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,p_mean_top10_anova_block,p_mean_top10_anova_period,p_periodicity_strength
24,1.497513236436e-01,1.302384062234e-01,1.018317105977e-01,2.000000000000e+00,7.393699467165e-01,2.497643069650e-01,5.009745064905e+00,1.530649414743e+01,5.388702586265e+07,9.990009990010e-04,9.990009990010e-04,1.748251748252e-01
28,1.545766699905e-01,1.331423884914e-01,1.231619712288e-01,3.000000000000e+00,7.245487525998e-01,2.640595312546e-01,6.673191331312e+00,1.741725713515e+01,5.335103160914e+07,9.990009990010e-04,2.997002997003e-03,1.798201798202e-01
32,1.479030078339e-01,1.312430489233e-01,1.204316234826e-01,2.000000000000e+00,7.408210726150e-01,2.656113895035e-01,6.406603772441e+00,1.989496036489e+01,5.211524108097e+07,9.990009990010e-04,1.998001998002e-03,1.838161838162e-01
34,1.430044370599e-01,1.257221769115e-01,1.130129647461e-01,2.000000000000e+00,7.284690044342e-01,2.745148201929e-01,5.887245258586e+00,1.845139366924e+01,6.835412325836e+07,9.990009990010e-04,9.990009990010e-04,1.418581418581e-01
35,1.444328039215e-01,1.249385246228e-01,1.128834580471e-01,3.000000000000e+00,7.291544360480e-01,2.716687229013e-01,6.536357922758e+00,1.826768748843e+01,6.860747951963e+07,9.990009990010e-04,9.990009990010e-04,1.258741258741e-01
36,1.493223563171e-01,1.285421789007e-01,1.122456293863e-01,3.000000000000e+00,7.320168778216e-01,2.859902276817e-01,6.667255131919e+00,2.698705999858e+01,4.982339347570e+07,9.990009990010e-04,1.998001998002e-03,2.077922077922e-01
37,1.479006126923e-01,1.274726132440e-01,1.129000900589e-01,3.000000000000e+00,7.284358968084e-01,2.853052256026e-01,6.677231024753e+00,2.736796584695e+01,4.987364544765e+07,9.990009990010e-04,9.990009990010e-04,2.367632367632e-01
38,1.465961215315e-01,1.329976143501e-01,1.179031690583e-01,2.000000000000e+00,7.460141425312e-01,2.676292295911e-01,6.790695099463e+00,2.213332720681e+01,6.212173234042e+07,9.990009990010e-04,9.990009990010e-04,1.188811188811e-01
39,1.444699205454e-01,1.316594968993e-01,1.169690735346e-01,2.000000000000e+00,7.412349171000e-01,2.623498805113e-01,6.368099301784e+00,2.196607834380e+01,6.161038781012e+07,9.990009990010e-04,9.990009990010e-04,1.098901098901e-01
40,1.441488807186e-01,1.303397146036e-01,1.158251416740e-01,2.000000000000e+00,7.375364774534e-01,2.798987913342e-01,6.164788082349e+00,2.192009226029e+01,4.897916142366e+07,9.990009990010e-04,9.990009990010e-04,2.427572427572e-01
44,1.446444009051e-01,1.274929663009e-01,1.152535651626e-01,2.000000000000e+00,7.306755128007e-01,2.759483482432e-01,6.818941650553e+00,2.247033896621e+01,4.872117422456e+07,9.990009990010e-04,9.990009990010e-04,2.547452547453e-01
48,1.445025541371e-01,1.245823648862e-01,1.092418620725e-01,2.000000000000e+00,7.386343061851e-01,2.870661192419e-01,6.285244782148e+00,2.456062668499e+01,4.634356697003e+07,9.990009990010e-04,1.998001998002e-03,2.517482517483e-01
