band,anova_f_period
b04,4.686036036036e+01
b05,2.495052879389e+01
b03,1.652160493827e+01
b02,1.652160493827e+01
b01,1.652160493827e+01
b22,1.020508132071e+01
b21,7.994624972002e+00
b13,5.195473251029e+00
b20,4.753842894884e+00
b08,3.540215066634e+00
b24,3.313508160025e+00
b23,3.020551949117e+00
b19,2.913877702732e+00
b09,2.178474550096e+00
b14,2.048500881834e+00
b17,1.969489816495e+00
b10,1.938219875254e+00
b15,1.833951475815e+00
b06,1.620146596766e+00
b18,1.580736045598e+00
b07,1.516492514729e+00
b16,8.689667727280e-01
b11,8.206534401583e-01
b12,6.601307189542e-01
