band,anova_f_block
b40,1.060903667892e+01
b43,9.227484672352e+00
b39,7.902369295601e+00
b46,6.386398194619e+00
b42,6.091090177205e+00
b38,5.294448719650e+00
b09,4.581405884846e+00
b41,4.334941787255e+00
b15,4.329421867973e+00
b20,4.095850543052e+00
b37,4.063382638712e+00
b19,3.930636460998e+00
b14,3.759271373528e+00
b08,3.631915815958e+00
b10,3.479145012759e+00
b45,3.061505235771e+00
b18,2.859293833491e+00
b35,2.820220957482e+00
b11,2.805385536684e+00
b17,2.764648770762e+00
b21,2.521864429547e+00
b44,2.460240714780e+00
b36,2.437081707902e+00
b47,2.344663034648e+00
b06,2.320987654321e+00
b05,2.320987654321e+00
b04,2.320987654321e+00
b03,2.320987654321e+00
b02,2.320987654321e+00
b01,2.320987654321e+00
b07,2.320987654321e+00
b22,2.320987654321e+00
b16,2.023521085717e+00
b25,1.788359788360e+00
b13,1.734348601790e+00
b24,1.653511723588e+00
b34,1.601528691058e+00
b48,1.472796681073e+00
b29,1.254682889110e+00
b33,8.937648564637e-01
b27,8.633461047254e-01
b28,8.633461047254e-01
b23,6.604933213144e-01
b32,5.285168641160e-01
b30,4.760625569296e-01
b31,4.162428569825e-01
b12,8.850402568051e-02
b26,
