layer_feature,mean_s,mean_p,mean_d,mean_f,n_s,n_p,n_d,n_f
lines_count_b01,,,,,0,0,0,0
lines_intensity_sum_b01,,,,,0,0,0,0
lines_intensity_mean_b01,,,,,0,0,0,0
lines_intensity_max_b01,,,,,0,0,0,0
lines_count_b02,,,,,0,0,0,0
lines_intensity_sum_b02,,,,,0,0,0,0
lines_intensity_mean_b02,,,,,0,0,0,0
lines_intensity_max_b02,,,,,0,0,0,0
lines_count_b03,,,,,0,0,0,0
lines_intensity_sum_b03,,,,,0,0,0,0
lines_intensity_mean_b03,,,,,0,0,0,0
lines_intensity_max_b03,,,,,0,0,0,0
lines_count_b04,,,,,0,0,0,0
lines_intensity_sum_b04,,,,,0,0,0,0
lines_intensity_mean_b04,,,,,0,0,0,0
lines_intensity_max_b04,,,,,0,0,0,0
lines_count_b05,,,,,0,0,0,0
lines_intensity_sum_b05,,,,,0,0,0,0
lines_intensity_mean_b05,,,,,0,0,0,0
lines_intensity_max_b05,,,,,0,0,0,0
lines_count_b06,,,,,0,0,0,0
lines_intensity_sum_b06,,,,,0,0,0,0
lines_intensity_mean_b06,,,,,0,0,0,0
lines_intensity_max_b06,,,,,0,0,0,0
lines_count_b07,,,,,0,0,0,0
lines_intensity_sum_b07,,,,,0,0,0,0
lines_intensity_mean_b07,,,,,0,0,0,0
lines_intensity_max_b07,,,,,0,0,0,0
lines_count_b08,,,,,0,0,0,0
lines_intensity_sum_b08,,,,,0,0,0,0
lines_intensity_mean_b08,,,,,0,0,0,0
lines_intensity_max_b08,,,,,0,0,0,0
lines_count_b09,,,,,0,0,0,0
lines_intensity_sum_b09,,,,,0,0,0,0
lines_intensity_mean_b09,,,,,0,0,0,0
lines_intensity_max_b09,,,,,0,0,0,0
lines_count_b10,,,,,0,0,0,0
lines_intensity_sum_b10,,,,,0,0,0,0
lines_intensity_mean_b10,,,,,0,0,0,0
lines_intensity_max_b10,,,,,0,0,0,0
lines_count_b11,,,,,0,0,0,0
lines_intensity_sum_b11,,,,,0,0,0,0
lines_intensity_mean_b11,,,,,0,0,0,0
lines_intensity_max_b11,,,,,0,0,0,0
lines_count_b12,,,,,0,0,0,0
lines_intensity_sum_b12,,,,,0,0,0,0
lines_intensity_mean_b12,,,,,0,0,0,0
lines_intensity_max_b12,,,,,0,0,0,0
lines_count_b13,,,,,0,0,0,0
lines_intensity_sum_b13,,,,,0,0,0,0
lines_intensity_mean_b13,,,,,0,0,0,0
lines_intensity_max_b13,,,,,0,0,0,0
lines_count_b14,,,,,0,0,0,0
lines_intensity_sum_b14,,,,,0,0,0,0
lines_intensity_mean_b14,,,,,0,0,0,0
lines_intensity_max_b14,,,,,0,0,0,0
lines_count_b15,,,,,0,0,0,0
lines_intensity_sum_b15,,,,,0,0,0,0
lines_intensity_mean_b15,,,,,0,0,0,0
lines_intensity_max_b15,,,,,0,0,0,0
lines_count_b16,,,,,0,0,0,0
lines_intensity_sum_b16,,,,,0,0,0,0
lines_intensity_mean_b16,,,,,0,0,0,0
lines_intensity_max_b16,,,,,0,0,0,0
lines_count_b17,,,,,0,0,0,0
lines_intensity_sum_b17,,,,,0,0,0,0
lines_intensity_mean_b17,,,,,0,0,0,0
lines_intensity_max_b17,,,,,0,0,0,0
lines_count_b18,,,,,0,0,0,0
lines_intensity_sum_b18,,,,,0,0,0,0
lines_intensity_mean_b18,,,,,0,0,0,0
lines_intensity_max_b18,,,,,0,0,0,0
lines_count_b19,,,,,0,0,0,0
lines_intensity_sum_b19,,,,,0,0,0,0
lines_intensity_mean_b19,,,,,0,0,0,0
lines_intensity_max_b19,,,,,0,0,0,0
lines_count_b20,,,,,0,0,0,0
lines_intensity_sum_b20,,,,,0,0,0,0
lines_intensity_mean_b20,,,,,0,0,0,0
lines_intensity_max_b20,,,,,0,0,0,0
lines_count_b21,,,,,0,0,0,0
lines_intensity_sum_b21,,,,,0,0,0,0
lines_intensity_mean_b21,,,,,0,0,0,0
lines_intensity_max_b21,,,,,0,0,0,0
lines_count_b22,,,,,0,0,0,0
lines_intensity_sum_b22,,,,,0,0,0,0
lines_intensity_mean_b22,,,,,0,0,0,0
lines_intensity_max_b22,,,,,0,0,0,0
lines_count_b23,,,,,0,0,0,0
lines_intensity_sum_b23,,,,,0,0,0,0
lines_intensity_mean_b23,,,,,0,0,0,0
lines_intensity_max_b23,,,,,0,0,0,0
lines_count_b24,,,,,0,0,0,0
lines_intensity_sum_b24,,,,,0,0,0,0
lines_intensity_mean_b24,,,,,0,0,0,0
lines_intensity_max_b24,,,,,0,0,0,0
lines_count_b25,,,,,0,0,0,0
lines_intensity_sum_b25,,,,,0,0,0,0
lines_intensity_mean_b25,,,,,0,0,0,0
lines_intensity_max_b25,,,,,0,0,0,0
lines_count_b26,,,,,0,0,0,0
lines_intensity_sum_b26,,,,,0,0,0,0
lines_intensity_mean_b26,,,,,0,0,0,0
lines_intensity_max_b26,,,,,0,0,0,0
lines_count_b27,,,,,0,0,0,0
lines_intensity_sum_b27,,,,,0,0,0,0
lines_intensity_mean_b27,,,,,0,0,0,0
lines_intensity_max_b27,,,,,0,0,0,0
lines_count_b28,,,,,0,0,0,0
lines_intensity_sum_b28,,,,,0,0,0,0
lines_intensity_mean_b28,,,,,0,0,0,0
lines_intensity_max_b28,,,,,0,0,0,0
lines_count_b29,,,,,0,0,0,0
lines_intensity_sum_b29,,,,,0,0,0,0
lines_intensity_mean_b29,,,,,0,0,0,0
lines_intensity_max_b29,,,,,0,0,0,0
lines_count_b30,,,,,0,0,0,0
lines_intensity_sum_b30,,,,,0,0,0,0
lines_intensity_mean_b30,,,,,0,0,0,0
lines_intensity_max_b30,,,,,0,0,0,0
lines_count_b31,,,,,0,0,0,0
lines_intensity_sum_b31,,,,,0,0,0,0
lines_intensity_mean_b31,,,,,0,0,0,0
lines_intensity_max_b31,,,,,0,0,0,0
lines_count_b32,,,,,0,0,0,0
lines_intensity_sum_b32,,,,,0,0,0,0
