iter,mean_top10_anova_block,mean_top10_anova_period,mean_top10_periodicity_strength
1,1.708525477284e+01,4.007707650583e+01,2.570588823159e+45
2,1.474354080107e+01,5.952233303661e+01,7.195611412228e+44
3,1.440790641900e+01,3.217171291650e+01,2.787624563410e+44
4,1.534391733149e+01,3.243074248718e+01,1.643750360806e+45
5,2.019276632349e+01,4.872965830007e+01,1.076037202780e+44
6,1.590339776332e+01,5.499074117808e+01,1.066245706910e+44
7,2.119769570335e+01,7.049825827070e+01,7.102436511077e+43
8,1.483530019187e+01,2.832644991204e+01,1.423872108344e+45
9,1.912766598070e+01,4.464482446982e+01,3.506417296288e+44
10,1.283600795695e+01,2.652265545400e+01,7.102444356027e+43
11,1.529842051215e+01,5.807183287968e+01,7.289174125658e+38
12,1.437263643788e+01,3.175424606171e+01,2.385751849916e+45
13,1.484692804668e+01,2.771546103129e+01,1.066245838515e+44
14,1.801076970303e+01,3.023584127518e+01,7.066963597686e+43
15,1.421557761091e+01,3.910310348949e+01,1.066242638838e+44
16,1.767302975917e+01,2.890430674094e+01,2.886165763608e+39
17,2.701240994405e+01,3.980362368955e+01,7.134546380807e+43
18,1.534780865996e+01,3.175995560410e+01,1.296398351946e+34
19,2.193439711163e+01,2.581518369705e+01,3.507314259175e+44
20,2.459756868092e+01,5.119691114174e+01,1.085158274560e+45
21,1.973017384841e+01,5.540391225360e+01,6.645441165173e+33
22,1.485430808015e+01,2.143929555743e+01,7.102407198762e+43
23,2.391292289283e+01,3.153459134501e+01,6.413086077662e+39
24,1.673732680042e+01,3.537048944830e+01,1.561211096088e+45
25,1.726086900805e+01,5.682746346449e+01,1.644076543142e+45
26,1.594691715390e+01,2.646522785693e+01,1.071800382504e+44
27,1.445133184011e+01,3.816597560019e+01,1.493025652313e+45
28,1.698305441432e+01,4.878178281988e+01,7.099709434604e+43
29,1.760050644865e+01,3.393365773197e+01,6.199113791852e+44
30,1.196744481903e+01,4.048179003766e+01,1.071795076729e+44
31,2.000438563119e+01,8.239942411049e+01,3.506418152533e+44
32,2.138713062616e+01,3.737661222511e+01,7.057111614699e+43
33,1.454013771082e+01,3.021485617747e+01,5.995118278098e+44
34,1.836759802493e+01,1.733757763910e+02,3.480630157995e+44
35,1.198608611901e+01,2.849467607197e+01,1.771952027906e+44
36,1.413409712536e+01,2.439523536360e+01,2.801378608397e+44
37,2.030610441637e+01,8.226953062839e+01,1.323978434247e+45
38,1.677229144542e+01,2.744844801452e+01,7.057121566718e+43
39,1.513065672782e+01,3.051641123744e+01,1.071799923601e+44
40,2.431096574294e+01,9.833712381906e+01,5.815696549276e+33
41,1.664152823546e+01,2.689594736250e+01,2.162841987255e+45
42,2.118899163519e+01,3.608406714007e+01,3.506415036330e+44
43,2.401334253051e+01,2.607505655007e+01,1.477003677495e+44
44,2.043394395836e+01,4.728629353906e+01,7.298270158313e+38
45,2.275982488079e+01,5.810893934165e+01,5.735855502764e+44
46,1.572207532017e+01,3.962246855962e+01,7.099675124564e+43
47,1.586261588439e+01,4.843925039736e+01,1.066237283550e+44
48,1.607008576959e+01,2.434857855938e+01,6.636374069394e+44
49,1.336473941073e+01,8.106342053824e+01,7.102433096325e+43
50,1.977501333284e+01,4.074404799205e+01,6.411762124303e+39
51,1.210843236938e+01,2.718957476555e+01,1.071719903269e+44
52,1.352557405647e+01,3.845323053451e+01,7.057163255077e+43
53,2.301396966353e+01,4.094193212597e+01,2.787658076145e+44
54,1.422395534486e+01,2.910904741570e+01,3.410507355423e+44
55,1.587908145187e+01,2.882859448196e+01,1.075104327476e+44
56,2.133515854543e+01,4.199090837010e+01,3.383612576275e+44
57,1.551351650747e+01,2.019267965571e+01,3.496346697988e+44
58,1.428965661920e+01,2.525661449245e+01,3.506416419490e+44
59,1.734935619495e+01,3.675868706427e+01,1.070963742652e+44
60,1.858393969986e+01,3.953440890809e+01,2.631358614731e+44
61,1.903010913180e+01,3.738926754922e+01,1.071721770701e+44
62,1.241182448908e+01,4.228317479655e+01,3.516505798732e+44
63,1.824248044563e+01,3.350415111798e+01,6.762482958537e+44
64,1.429124611407e+01,3.816570932800e+01,6.223345924190e+44
65,2.432113824690e+01,3.626032661748e+01,1.794902160521e+45
66,1.530861908116e+01,2.842445884938e+01,4.241627084834e+44
67,1.457760328233e+01,2.639869048941e+01,6.209927514369e+44
68,1.408150459744e+01,2.698791143160e+01,1.204282096429e+45
69,1.057964140595e+01,4.185021939246e+01,7.057141574581e+43
70,1.317215283766e+01,4.295957786154e+01,7.102426404875e+43
71,2.513578062498e+01,1.642137753875e+02,7.298342456133e+38
72,1.242576708170e+01,1.879433540026e+01,1.080740340957e+45
73,3.192495685070e+01,3.830990348852e+01,1.190164860083e+34
