A_symbol,B_symbol,y_exists,ch_plus_minus,ch_minus_plus,ch_zero_zero,dist2,V,S_V,source,notes
Ac,Al,0,0.000000000000e+00,0.000000000000e+00,7.451578145499e-01,5.957491606537e+00,9.683280679286e-01,-9.683280679286e-01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,O)"
Ac,Ar,0,0.000000000000e+00,0.000000000000e+00,-1.418513521639e+00,9.563275272092e+01,8.854018511273e+00,-8.854018511273e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,S)"
Ac,As,1,0.000000000000e+00,0.000000000000e+00,6.313708403382e-01,8.925336005031e+00,1.208219020672e+00,-1.208219020672e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,At,1,0.000000000000e+00,0.000000000000e+00,1.169616378919e+00,7.592822371355e+01,8.177630560814e+00,-8.177630560814e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,B,1,0.000000000000e+00,0.000000000000e+00,-7.394212987549e+00,2.520403919742e+02,2.150693270365e+01,-2.150693270365e+01,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Ba,0,0.000000000000e+00,0.000000000000e+00,1.870507234458e+00,1.409824534860e+01,2.345078152089e+00,-2.345078152089e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,At)"
Ac,Be,0,0.000000000000e+00,0.000000000000e+00,-6.795010684959e+00,2.485315632472e+02,2.145565098224e+01,-2.145565098224e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,F)"
Ac,Bi,1,0.000000000000e+00,0.000000000000e+00,6.573304953578e-01,1.053478404649e+02,1.086344929417e+01,-1.086344929417e+01,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Br,1,0.000000000000e+00,0.000000000000e+00,1.048864121591e-01,2.676442212287e+01,2.728885418366e+00,-2.728885418366e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,C,1,0.000000000000e+00,0.000000000000e+00,-7.695829390033e-02,3.359865628496e+02,3.356017713801e+01,-3.356017713801e+01,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Ca,0,0.000000000000e+00,0.000000000000e+00,3.120286460869e-01,2.792772837957e+01,2.948787161001e+00,-2.948787161001e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Br)"
Ac,Ce,0,0.000000000000e+00,0.000000000000e+00,2.184376348895e+00,1.718959383123e+01,2.811147557570e+00,-2.811147557570e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Po)"
Ac,Cl,1,0.000000000000e+00,0.000000000000e+00,-5.230950568535e-01,3.074518535029e+01,2.812971006602e+00,-2.812971006602e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Co,0,0.000000000000e+00,0.000000000000e+00,1.749499262590e+00,1.628546027770e+01,2.503295659065e+00,-2.503295659065e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,As)"
Ac,Cr,0,0.000000000000e+00,0.000000000000e+00,3.080532602774e-01,2.447313968870e+01,2.601340599009e+00,-2.601340599009e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,P)"
Ac,Cs,0,0.000000000000e+00,0.000000000000e+00,1.765582657846e+00,3.454043901999e+00,1.228195719123e+00,-1.228195719123e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,At)"
Ac,Cu,0,0.000000000000e+00,0.000000000000e+00,5.506039338487e-01,1.413382377606e+01,1.688684344531e+00,-1.688684344531e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,C)"
Ac,F,1,0.000000000000e+00,0.000000000000e+00,-2.507852083767e+00,1.042894506620e+02,9.175019024316e+00,-9.175019024316e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Fe,0,0.000000000000e+00,0.000000000000e+00,1.366793928673e+00,5.251506525286e+01,5.934903489622e+00,-5.934903489622e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,As)"
Ac,Ga,0,0.000000000000e+00,0.000000000000e+00,2.456047341200e-01,7.847901057534e+00,9.075924728134e-01,-9.075924728134e-01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Si)"
Ac,Ge,1,0.000000000000e+00,0.000000000000e+00,1.047727202555e+00,1.768548555289e+01,2.292412156566e+00,-2.292412156566e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,H,0,0.000000000000e+00,0.000000000000e+00,-4.542363813363e-01,5.120277885628e+01,4.893159694960e+00,-4.893159694960e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,N)"
Ac,He,0,0.000000000000e+00,0.000000000000e+00,-4.235543981331e+00,2.686226830101e+02,2.474449631035e+01,-2.474449631035e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,N)"
Ac,I,1,0.000000000000e+00,0.000000000000e+00,3.896655739332e-01,1.662783653598e+01,1.857616440565e+00,-1.857616440565e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,In,0,0.000000000000e+00,0.000000000000e+00,1.425443265732e+00,3.812633194844e+00,1.093984952350e+00,-1.093984952350e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,B)"
Ac,K,0,0.000000000000e+00,0.000000000000e+00,-3.788334377706e+00,2.423488064174e+02,2.234071345289e+01,-2.234071345289e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Br)"
Ac,Kr,0,0.000000000000e+00,0.000000000000e+00,-3.017597069350e+00,9.416678237128e+01,7.907879702453e+00,-7.907879702453e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Ge)"
Ac,La,0,0.000000000000e+00,0.000000000000e+00,1.954208258409e+00,2.512201844763e+00,1.228324313681e+00,-1.228324313681e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Po)"
Ac,Li,0,0.000000000000e+00,0.000000000000e+00,-7.830016905749e+00,1.484872645089e+02,1.093371799802e+01,-1.093371799802e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,F)"
Ac,Mg,0,0.000000000000e+00,0.000000000000e+00,-2.334123540511e+00,6.317607376567e+01,5.150545606311e+00,-5.150545606311e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Cl)"
Ac,Mn,0,0.000000000000e+00,0.000000000000e+00,1.211112436376e+00,2.007638406214e+01,2.613194624402e+00,-2.613194624402e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,P)"
Ac,Mo,0,0.000000000000e+00,0.000000000000e+00,1.589149907662e-01,2.907626543780e+02,2.915572293318e+01,-2.915572293318e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Sb)"
Ac,N,1,0.000000000000e+00,0.000000000000e+00,-8.179428498128e-01,4.254023468793e+01,3.845052043887e+00,-3.845052043887e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Na,0,0.000000000000e+00,0.000000000000e+00,-7.060388760847e+00,1.816917623954e+02,1.463898185911e+01,-1.463898185911e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Cl)"
Ac,Nb,0,0.000000000000e+00,0.000000000000e+00,1.795737111205e+00,1.640744584071e+01,2.538613139674e+00,-2.538613139674e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Sb)"
Ac,Nd,0,0.000000000000e+00,0.000000000000e+00,2.086450623503e+00,1.081100462832e+01,2.124325774584e+00,-2.124325774584e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Bi)"
Ac,Ne,0,0.000000000000e+00,0.000000000000e+00,-3.085820476424e+00,1.392492016916e+02,1.238200993095e+01,-1.238200993095e+01,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,O)"
Ac,Ni,0,0.000000000000e+00,0.000000000000e+00,1.392826768244e+00,4.107855939752e+00,1.107198978097e+00,-1.107198978097e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,C)"
Ac,O,1,0.000000000000e+00,0.000000000000e+00,-1.266442319251e+00,5.309986629314e+01,4.676765469689e+00,-4.676765469689e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,P,1,0.000000000000e+00,0.000000000000e+00,4.638301433857e-01,1.714444229372e+01,1.946359301064e+00,-1.946359301064e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Pb,1,0.000000000000e+00,0.000000000000e+00,1.248087334656e+00,5.558878753972e+00,1.179931542725e+00,-1.179931542725e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Pm,0,0.000000000000e+00,0.000000000000e+00,2.101905177463e+00,2.164676912943e+00,1.267420280026e+00,-1.267420280026e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Pb)"
Ac,Po,1,0.000000000000e+00,0.000000000000e+00,1.318144358399e+00,4.015978257640e+00,1.060670004963e+00,-1.060670004963e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Pr,0,0.000000000000e+00,0.000000000000e+00,2.170935297521e+00,3.737603530623e+00,1.459228001823e+00,-1.459228001823e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Bi)"
Ac,Rb,0,0.000000000000e+00,0.000000000000e+00,1.148203853979e+00,4.914390342846e+00,1.065540961274e+00,-1.065540961274e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,I)"
Ac,Rh,0,0.000000000000e+00,0.000000000000e+00,1.768994314001e+00,1.604492088579e+00,1.044946365858e+00,-1.044946365858e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Sn)"
Ac,Ru,0,0.000000000000e+00,0.000000000000e+00,1.770148696875e+00,2.922401419643e+00,1.177314490402e+00,-1.177314490402e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,Sn)"
Ac,S,1,0.000000000000e+00,0.000000000000e+00,9.743470821833e-02,2.172289733110e+01,2.221007087219e+00,-2.221007087219e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Sb,1,0.000000000000e+00,0.000000000000e+00,1.029305490006e+00,7.856638385408e+00,1.300316583544e+00,-1.300316583544e+00,local_periodic_metadata_curated,offline curated binary-pair candidate from local periodic metadata (group/period/block); canonicalized
Ac,Sc,0,0.000000000000e+00,0.000000000000e+00,1.452472107601e+00,8.116815806421e+00,1.537917634443e+00,-1.537917634443e+00,matched_negative_sampling,"matched_by_group_period_from_positive=(Ac,S)"
