model,roc_auc,pr_auc,acc_best,brier,p_perm_auc
L2_harmonic_phi,5.857351872047e-01,4.438050793912e-01,6.084377059987e-01,2.568006237868e-01,4.997501249375e-04
L3_harmonic_phi_dynamic,5.857006543075e-01,4.438067525306e-01,6.084377059987e-01,2.568505566418e-01,4.997501249375e-04
L9_spectral_entropy,5.644429298437e-01,4.107519777613e-01,6.044825313118e-01,4.815057983171e-01,4.997501249375e-04
L10_spectral_rank,5.644429298437e-01,4.107519777613e-01,6.044825313118e-01,4.586653710240e-01,4.997501249375e-04
L8_spectral_lambda,4.077699018539e-01,3.487856317702e-01,6.044825313118e-01,3.686992409104e-01,1.000000000000e+00
L5_harmonic_tension,3.841898400582e-01,3.149583428640e-01,6.044825313118e-01,3.176470201268e-01,1.000000000000e+00
L1_harmonic_only,3.770983278808e-01,3.117267936712e-01,6.044825313118e-01,3.380199349132e-01,1.000000000000e+00
L4_harmonic_phase,3.764117593602e-01,3.110299422331e-01,6.044825313118e-01,3.674373761924e-01,1.000000000000e+00
L6_psy_triad,3.620083605961e-01,3.170587259153e-01,6.048121292024e-01,3.425767142494e-01,1.000000000000e+00
L7_psy_triad_dynamic,3.603012540894e-01,3.167767358067e-01,6.048121292024e-01,3.472675027415e-01,1.000000000000e+00
