A_symbol,B_symbol,y_exists,L1_harmonic_only,L2_harmonic_phi,L3_harmonic_phi_dynamic,L4_harmonic_phase,L5_harmonic_tension,L6_psy_triad,L7_psy_triad_dynamic,L8_spectral_lambda,L9_spectral_entropy,L10_spectral_rank
Ac,Al,0,6.123293074306e-01,-1.142057355001e+00,-1.140640581830e+00,1.068169040032e+02,1.789515245518e+01,3.237666209692e+01,3.513803667191e+01,5.107929518565e+00,4.724872690689e-01,1.603978762578e+00
Ac,Ar,0,-6.779699107467e-01,1.179318399968e+01,1.178699720488e+01,-7.247005678982e+00,-1.047294111697e+01,1.738878725017e+01,1.928021435385e+01,2.558619068991e+00,3.534846163709e-01,1.424021080171e+00
Ac,As,1,4.693601347196e-01,7.081118941518e-01,7.087620483709e-01,8.267511233514e+01,1.512284385921e+01,3.079498446866e+01,3.347479349698e+01,3.982527526969e+00,6.174087840073e-01,1.854117393182e+00
Ac,At,1,2.140920403076e-01,-2.356924179822e+00,-2.354966688841e+00,7.112265870251e+01,1.862806166241e+01,5.343570076853e+01,5.886194020747e+01,1.738164028061e+01,6.656762171758e-01,1.945805863904e+00
Ac,B,1,-9.989573263624e-02,3.094049938851e+00,3.090177380631e+00,5.473050913513e+01,1.249592089105e+01,3.090589576567e+01,3.493256400073e+01,1.712337791653e+01,6.571014656896e-01,1.929192392170e+00
Ac,Ba,0,2.906286453312e-01,-4.259296603864e-01,-4.247896410412e-01,6.970743643370e+01,1.479240266336e+01,3.077797172585e+01,3.362334041369e+01,6.741697886447e+00,6.431636069764e-01,1.902490099839e+00
Ac,Be,0,-2.999115019987e-01,9.676617609712e+00,9.670148724074e+00,3.646581564563e+01,7.581308604708e-01,2.214945151211e+01,2.490443253299e+01,1.292236513043e+01,6.002595735335e-01,1.822591835597e+00
Ac,Bi,1,5.025116206292e-02,-3.995111285488e+00,-3.994716003716e+00,7.327618952798e+01,1.593681137125e+01,3.004835028017e+01,3.319113353625e+01,1.542529371479e+01,6.931441130573e-01,1.999993865004e+00
Ac,Br,1,-1.692581246058e-01,3.397479361848e+00,3.396619059161e+00,4.377174857649e+01,5.801567555632e+00,2.349495149213e+01,2.573704354644e+01,3.974574870066e+00,6.605160626798e-01,1.935791066201e+00
Ac,C,1,-1.383894834597e-01,3.891254631455e+00,3.889474756755e+00,1.623226936368e+01,3.826377715592e+00,2.378526444145e+01,2.680945859803e+01,2.409922680016e+01,6.836736617273e-01,1.981142427155e+00
Ac,Ca,0,-2.000505876781e-01,4.851766913414e+00,4.850792949894e+00,6.244371683169e+01,5.152106008387e+00,2.315045235453e+01,2.526864610132e+01,3.956336816169e+00,6.547384630341e-01,1.924639087279e+00
Ac,Ce,0,1.800959129358e-01,4.207733053745e-01,4.227873776640e-01,1.031211346010e+02,3.090476189868e+01,4.720401592394e+01,5.154804898119e+01,9.401344111548e+00,6.102817784238e-01,1.840950065711e+00
Ac,Cl,1,-3.197402164071e-01,5.619631291215e+00,5.618069134557e+00,4.272872377550e+01,4.562135858156e+00,2.492457139647e+01,2.728284634831e+01,3.137679308519e+00,6.023877512824e-01,1.826474765304e+00
Ac,Co,0,4.591319872160e-01,-4.594477244749e+00,-4.590859691380e+00,9.154115536098e+01,3.731481017517e+01,7.030872649203e+01,7.552628873675e+01,1.412094971054e+01,4.544201415190e-01,1.575259690462e+00
Ac,Cr,0,-2.977653690290e-02,1.041667494905e+00,1.041806485746e+00,6.488451598393e+01,9.219127823332e+00,2.754047841054e+01,3.014089887472e+01,5.509532152614e+00,6.920107749850e-01,1.997728479779e+00
Ac,Cs,0,7.984443614227e-01,-2.041245672323e+00,-2.039199794380e+00,1.034554559191e+02,2.469842805496e+01,3.967695799077e+01,4.304682384994e+01,6.780471003310e+00,3.103870700267e-01,1.363952957277e+00
Ac,Cu,0,3.622201085781e-02,2.129649441342e+00,2.129596278416e+00,2.105015172649e+01,7.028288277179e+00,2.355163135706e+01,2.553510417769e+01,2.874526032039e+00,6.922771587428e-01,1.998260713084e+00
Ac,F,1,-4.051631346738e-01,7.521530568430e+00,7.517499888533e+00,2.592505045802e+01,1.539505074150e+00,2.392224937752e+01,2.682887287501e+01,6.979107601468e+00,5.775307262930e-01,1.781633653552e+00
Ac,Fe,0,-1.138588930442e-01,1.330873205360e+00,1.331082349750e+00,7.799581582937e+01,1.033903173320e+01,2.792613843669e+01,3.067525801636e+01,9.651229276892e+00,6.921318536878e-01,1.997970376796e+00
Ac,Ga,0,6.033820944865e-01,-3.510883949415e-01,-3.501140455218e-01,8.366361736496e+01,1.561979368535e+01,2.934247814289e+01,3.187365454924e+01,4.177532223025e+00,5.749735830884e-01,1.777083581234e+00
Ac,Ge,1,-9.544097127415e-02,3.517561583892e+00,3.517560414040e+00,3.260883940705e+01,8.111021462322e+00,2.477115763902e+01,2.702040841666e+01,3.982120687130e+00,6.921848981337e-01,1.998076360838e+00
Ac,H,0,-4.359932037493e-01,5.927091174806e+00,5.923793602235e+00,3.069225545708e+01,1.616652492530e-01,2.476584502641e+01,2.711976842372e+01,3.357808700577e+00,5.237362922140e-01,1.688323951597e+00
Ac,He,0,-7.634022282949e-01,2.337134401020e+01,2.335882489016e+01,1.024901522796e+01,-1.723830401620e+01,1.888832084321e+01,2.120360172160e+01,3.704071001902e+00,2.919773486526e-01,1.339072685495e+00
Ac,I,1,-2.850890029254e-02,2.648063935521e+00,2.647672372514e+00,5.754979356345e+01,6.714434769499e+00,2.293801047588e+01,2.493917523614e+01,2.845240911706e+00,6.812277873059e-01,1.976302722635e+00
Ac,In,0,7.840184344041e-01,-2.159405125314e+00,-2.157376026568e+00,9.499096506385e+01,2.414986918025e+01,3.806102976056e+01,4.145934715984e+01,6.509763970441e+00,3.350964424400e-01,1.398075212506e+00
Ac,K,0,4.736337092289e-02,-3.490191854041e+00,-3.491126579151e+00,4.587806277586e+01,1.031515036578e+01,2.670122918722e+01,3.013186367630e+01,2.106211894710e+01,6.872562977158e-01,1.988252868770e+00
Ac,Kr,0,-6.661726871713e-01,9.566789509508e+00,9.561291325594e+00,6.799705295515e+00,-8.937068344614e+00,1.912885273391e+01,2.109762835198e+01,3.381683171547e+00,4.192063388719e-01,1.520754113107e+00
Ac,La,0,7.836696726670e-01,-2.164602738886e+00,-2.161995833838e+00,1.112863564329e+02,2.980170854461e+01,4.293116941145e+01,4.674691194869e+01,8.132565817132e+00,2.456883045733e-01,1.278501008512e+00
Ac,Li,0,-1.709774136096e-01,1.388961684215e+00,1.384620299691e+00,7.257907022366e+01,6.618518508305e+00,2.834930545654e+01,3.166062942752e+01,1.073173727851e+01,6.248743375218e-01,1.868011203766e+00
Ac,Mg,0,-2.259848669027e-01,5.136135799691e+00,5.133430919367e+00,1.865490814829e+01,2.006811165499e+00,1.913404186515e+01,2.103262845836e+01,5.703853509480e+00,6.063821518978e-01,1.833785027569e+00
Ac,Mn,0,3.205863728974e-02,3.512516042919e+00,3.512403091679e+00,1.031211346010e+02,9.716152983295e+00,2.527125449516e+01,2.758217964788e+01,5.069719558419e+00,6.931345758201e-01,1.999974790679e+00
Ac,Mo,0,4.100445742691e-02,-3.928990438566e+00,-3.928967308440e+00,7.315175050257e+01,1.554549364340e+01,3.070244116673e+01,3.495796794937e+01,2.545782943029e+01,6.925290316864e-01,1.998764084282e+00
Ac,N,1,-5.367961405739e-01,8.503352883518e+00,8.500236982235e+00,2.799721947804e+01,-2.851604957690e+00,2.147407450056e+01,2.337140538046e+01,2.014932111187e+00,4.416238990709e-01,1.555230706711e+00
