band,stability_proxy,corr_with_Z,P0,Pplus,Pminus
b01,9.999999999990e-01,-1.452939981652e-01,0,1,0
b02,9.999999999990e-01,2.092080907447e-01,0,1,0
b03,9.999999999990e-01,-1.075403405172e-01,0,1,0
b04,9.999999999990e-01,-1.075403535122e-01,1,0,0
b05,9.999999999990e-01,-1.181527346181e-01,0,1,0
b06,9.999999999990e-01,-1.158830144732e-01,1,0,0
b07,9.999999999990e-01,-4.035826318833e-01,1,0,0
b08,9.999999999990e-01,-1.588786386371e-01,0,1,0
b09,9.999999999990e-01,-1.863106630892e-01,0,0,1
b10,9.999999999990e-01,-1.556702670650e-01,0,1,0
b11,9.999999999990e-01,9.651289556742e-02,1,0,0
b12,9.999999999990e-01,-5.458932619166e-02,0,1,0
b13,9.999999999990e-01,-7.601454927546e-02,1,0,0
b14,9.999999999990e-01,-6.137847790530e-02,0,1,0
b15,9.999999999990e-01,-2.906676332870e-02,0,1,0
b16,9.999999999990e-01,-4.057239875024e-01,1,0,0
b17,9.999999999990e-01,-4.969579485097e-01,1,0,0
b18,9.999999999990e-01,-4.098797294616e-01,1,0,0
b19,9.999999999990e-01,-4.747884939185e-01,0,0,1
b20,9.999999999990e-01,1.749569901563e-01,0,1,0
b21,9.999999999990e-01,-4.523369063271e-01,1,0,0
b22,9.999999999990e-01,-4.822236378541e-01,1,0,0
b23,9.999999999990e-01,-5.171264576132e-01,1,0,0
b24,9.999999999990e-01,-3.997865306252e-01,0,0,1
b25,9.999999999990e-01,-6.277588502263e-01,0,0,1
b26,9.999999999990e-01,-6.272666338805e-01,0,0,1
b27,9.999999999990e-01,-4.523369063271e-01,0,0,1
b28,9.999999999990e-01,-3.180605352797e-01,0,0,1
b29,9.999999999990e-01,-3.594267861996e-01,0,0,1
b30,9.999999999990e-01,-3.912306220881e-01,0,0,1
b31,9.999999999990e-01,-4.481020093457e-01,1,0,0
b32,9.999999999990e-01,-4.069668185758e-01,0,0,1
b33,9.999999999990e-01,6.481715828741e-01,0,1,0
b34,9.999999999990e-01,-5.790656901562e-01,1,0,0
b35,9.999999999990e-01,6.475574712108e-01,0,1,0
b36,9.999999999990e-01,-3.571892176442e-01,0,0,1
b37,9.999999999990e-01,-3.307476450137e-01,0,0,1
