A_symbol,B_symbol,y_exists,STATIC_HARMONIC,STATIC_SIGNED,FULL_DYNAMIC,FULL_DYNAMIC_sym,FULL_DYNAMIC_ba,ASYM,f_ab,f_ba
Ac,Al,0,6.385550163168e-01,-1.142057355001e+00,-9.013917325798e-01,-8.701812340704e-01,-8.389707355609e-01,-6.242099701882e-02,2.406656224211e+00,3.030866194399e+00
Ac,Ar,0,-7.732785010780e-01,1.179318399968e+01,1.126376887461e+01,1.107945647649e+01,1.089514407836e+01,3.686247962522e-01,-5.294151250701e+00,-8.980399213223e+00
Ac,As,1,3.842032309126e-01,7.081118941518e-01,9.718048261786e-01,9.534161193918e-01,9.350274126050e-01,3.677741357356e-02,2.636929320268e+00,2.269155184532e+00
Ac,At,1,2.333172747023e-01,-2.356924179822e+00,-1.557507466084e+00,-1.550577915515e+00,-1.543648364946e+00,-1.385910113804e-02,7.994167137380e+00,8.132758148760e+00
Ac,B,1,-2.668725897462e-01,3.094049938851e+00,4.051599141991e+00,4.153669705905e+00,4.255740269819e+00,-2.041411278273e-01,9.575492031404e+00,1.161690330968e+01
Ac,Ba,0,3.135125704477e-01,-4.259296603864e-01,-3.807351163378e-01,-4.640488759940e-01,-5.473626356501e-01,1.666275193124e-01,4.519454404865e-01,-1.214329752637e+00
Ac,Be,0,-4.242023809765e-01,9.676617609712e+00,1.018343592449e+01,1.017979259652e+01,1.017614926855e+01,7.286655934371e-03,5.068183147750e+00,4.995316588407e+00
Ac,Bi,1,-2.476893003930e-03,-3.995111285488e+00,-3.855818676844e+00,-4.039426267424e+00,-4.223033858004e+00,3.672151811600e-01,1.392926086436e+00,-2.279225725164e+00
Ac,Br,1,-2.540653968226e-01,3.397479361848e+00,3.471988012730e+00,3.416951984951e+00,3.361915957172e+00,1.100720555582e-01,7.450865088166e-01,-3.556340467651e-01
Ac,C,1,-1.374304549745e-01,3.891254631455e+00,3.489274429669e+00,3.687303048160e+00,3.885331666652e+00,-3.960572369828e-01,-4.019802017860e+00,-5.922964803154e-02
Ac,Ca,0,-2.753702842191e-01,4.851766913414e+00,4.651921315639e+00,4.741896757968e+00,4.831872200297e+00,-1.799508846579e-01,-1.998455977750e+00,-1.989471311706e-01
Ac,Ce,0,4.013723676217e-01,4.207733053745e-01,3.548972168774e-01,4.735572453756e-01,5.922172738738e-01,-2.373200569964e-01,-6.587608849708e-01,1.714439684993e+00
Ac,Cl,1,-4.194723209516e-01,5.619631291215e+00,5.637551726064e+00,5.668488542751e+00,5.699425359438e+00,-6.187363337401e-02,1.792043484894e-01,7.979406822295e-01
Ac,Co,0,6.618453898977e-01,-4.594477244749e+00,-4.588715295177e+00,-4.490191554349e+00,-4.391667813522e+00,-1.970474816543e-01,5.761949572841e-02,2.028094312271e+00
Ac,Cr,0,-4.766497743840e-02,1.041667494905e+00,1.033929401545e+00,1.091597314810e+00,1.149265228076e+00,-1.153358265311e-01,-7.738093360458e-02,1.075977331707e+00
Ac,Cs,0,8.131536438577e-01,-2.041245672323e+00,-1.888522398849e+00,-1.833731418411e+00,-1.778940437972e+00,-1.095819608770e-01,1.527232734736e+00,2.623052343505e+00
Ac,Cu,0,-4.170778045441e-02,2.129649441342e+00,2.189350803466e+00,2.160076455060e+00,2.130802106654e+00,5.854869681192e-02,5.970136212379e-01,1.152665311870e-02
Ac,F,1,-4.713530610635e-01,7.521530568430e+00,7.504430979417e+00,7.470841463037e+00,7.437251946658e+00,6.717903275874e-02,-1.709958901314e-01,-8.427862177188e-01
Ac,Fe,0,-4.505514834160e-02,1.330873205360e+00,1.176000652468e+00,1.220512132457e+00,1.265023612446e+00,-8.902295997753e-02,-1.548725528919e+00,-6.584959291434e-01
Ac,Ga,0,4.763183235716e-01,-3.510883949415e-01,-8.190330700980e-02,-5.277670094306e-02,-2.365009487633e-02,-5.825321213348e-02,2.691850879317e+00,3.274383000652e+00
Ac,Ge,1,-4.386282535630e-02,3.517561583892e+00,3.440772890237e+00,3.502100330147e+00,3.563427770057e+00,-1.226548798198e-01,-7.678869365429e-01,4.586618616554e-01
