phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
1.285041776340e+00,1.283573696898e+00,1.669652080995e+00,1.668762833400e+00,1.763140286490e-01,1.619531188819e-01,2.865170632365e+00,3.304210136269e+00,1.600000000000e+01,2.500000000000e+01,2.600000000000e+01,2.100000000000e+01,0,"3,4,7,10,14,15,17,19,20,22,23,26,27,31,36"
1.340561259091e+00,1.269481515711e+00,1.666136957816e+00,1.663772675388e+00,1.703652691122e-01,1.696269815164e-01,2.858396051616e+00,3.316131516148e+00,1.600000000000e+01,2.500000000000e+01,3.600000000000e+01,3.600000000000e+01,1,"4,7,10,11,13,14,16,17,21,22,23,25,30,36,42"
1.443856131660e+00,1.415200217574e+00,1.654259773522e+00,1.648330802568e+00,1.709484545997e-01,1.669160952362e-01,2.828411626888e+00,3.264359592414e+00,1.600000000000e+01,2.400000000000e+01,5.000000000000e+00,7.000000000000e+00,2,"7,8,10,13,16,19,20,21,25,27,29,33,39,43,48"
1.309357213246e+00,1.296806616091e+00,1.666896951176e+00,1.667717478665e+00,1.651973464675e-01,1.616513020879e-01,2.871979165191e+00,3.320667238159e+00,1.600000000000e+01,2.500000000000e+01,5.000000000000e+00,2.700000000000e+01,3,"7,9,12,16,17,19,22,23,25,27,32,33,39,45,48"
1.348328574228e+00,1.345892949396e+00,1.656647550806e+00,1.653640346125e+00,1.561664932022e-01,1.563918884020e-01,2.871774520278e+00,3.313209249420e+00,1.600000000000e+01,2.500000000000e+01,8.000000000000e+00,2.800000000000e+01,4,"4,5,8,9,11,15,16,17,19,20,22,27,28,31,35,38"
1.427775341304e+00,1.355483798616e+00,1.654462668164e+00,1.654119204457e+00,1.646657393804e-01,1.635888793040e-01,2.829997711545e+00,3.294509032867e+00,1.600000000000e+01,2.500000000000e+01,5.000000000000e+00,1.900000000000e+01,5,"2,4,5,7,8,10,11,14,16,17,19,21,25,28,35,41,47"
1.249935414462e+00,1.329174528313e+00,1.652549403186e+00,1.652743337965e+00,1.695566734620e-01,1.674254204774e-01,2.821924371020e+00,3.276570382923e+00,1.500000000000e+01,2.400000000000e+01,5.000000000000e+00,2.100000000000e+01,6,"4,5,9,11,15,16,18,19,21,22,23,28,31,34,40"
1.361824859294e+00,1.326090623685e+00,1.656936239453e+00,1.652459218681e+00,1.770607093489e-01,1.661455048172e-01,2.856575933630e+00,3.305581434405e+00,1.600000000000e+01,2.500000000000e+01,5.000000000000e+00,1.300000000000e+01,7,"2,3,6,11,13,14,16,18,20,23,28,33,37,42,46"
1.337562857486e+00,1.309468809193e+00,1.661824475203e+00,1.661113891712e+00,1.648218436206e-01,1.695172028053e-01,2.874453765701e+00,3.340151508630e+00,1.600000000000e+01,2.500000000000e+01,5.000000000000e+00,7.000000000000e+00,8,"4,8,10,13,16,17,20,21,24,25,26,29,32,36,38"
1.384502182492e+00,1.340482743219e+00,1.656250315773e+00,1.651254927329e+00,1.601770256492e-01,1.631515893560e-01,2.843245019165e+00,3.311717881255e+00,1.500000000000e+01,2.500000000000e+01,2.900000000000e+01,1.000000000000e+01,9,"3,6,8,10,13,14,16,19,21,22,26,29,35,39"
1.306247383137e+00,1.269993974608e+00,1.661991698405e+00,1.658378367800e+00,1.514541028425e-01,1.551087006329e-01,2.857723944487e+00,3.311020135031e+00,1.600000000000e+01,2.500000000000e+01,1.700000000000e+01,1.600000000000e+01,10,"4,5,8,9,13,14,17,19,21,23,24,26,32,38,41"
