true,pred,count
Argent,Argent,0
Argent,Blanc,0
Argent,Bleu,0
Argent,Jaune,0
Argent,Or,0
Argent,Rouge,0
Argent,Vert,0
Argent,Violet,0
Argent,undefined,14
Blanc,Argent,0
Blanc,Blanc,0
Blanc,Bleu,0
Blanc,Jaune,0
Blanc,Or,0
Blanc,Rouge,0
Blanc,Vert,0
Blanc,Violet,0
Blanc,undefined,15
Bleu,Argent,0
Bleu,Blanc,0
Bleu,Bleu,0
Bleu,Jaune,0
Bleu,Or,0
Bleu,Rouge,0
Bleu,Vert,0
Bleu,Violet,0
Bleu,undefined,15
Jaune,Argent,0
Jaune,Blanc,0
Jaune,Bleu,0
Jaune,Jaune,0
Jaune,Or,0
Jaune,Rouge,0
Jaune,Vert,0
Jaune,Violet,0
Jaune,undefined,15
Or,Argent,0
Or,Blanc,0
Or,Bleu,0
Or,Jaune,0
Or,Or,0
Or,Rouge,0
Or,Vert,0
Or,Violet,0
Or,undefined,15
Rouge,Argent,0
Rouge,Blanc,0
Rouge,Bleu,0
Rouge,Jaune,0
Rouge,Or,0
Rouge,Rouge,0
Rouge,Vert,0
Rouge,Violet,0
Rouge,undefined,15
Vert,Argent,0
Vert,Blanc,0
Vert,Bleu,0
Vert,Jaune,0
Vert,Or,0
Vert,Rouge,0
Vert,Vert,0
Vert,Violet,0
Vert,undefined,15
Violet,Argent,0
Violet,Blanc,0
Violet,Bleu,0
Violet,Jaune,0
Violet,Or,0
Violet,Rouge,0
Violet,Vert,0
Violet,Violet,0
Violet,undefined,14
undefined,Argent,0
undefined,Blanc,0
undefined,Bleu,0
undefined,Jaune,0
undefined,Or,0
undefined,Rouge,0
undefined,Vert,0
undefined,Violet,0
undefined,undefined,0
