true,pred,count
Activateur,Activateur,0
Activateur,Amplificateur,0
Activateur,Catalyseur,0
Activateur,Diffuseur,0
Activateur,Isolant,0
Activateur,Modulateur,0
Activateur,Stabilisateur,0
Activateur,undefined,15
Activateur,Émetteur,0
Amplificateur,Activateur,0
Amplificateur,Amplificateur,0
Amplificateur,Catalyseur,0
Amplificateur,Diffuseur,0
Amplificateur,Isolant,0
Amplificateur,Modulateur,0
Amplificateur,Stabilisateur,0
Amplificateur,undefined,15
Amplificateur,Émetteur,0
Catalyseur,Activateur,0
Catalyseur,Amplificateur,0
Catalyseur,Catalyseur,0
Catalyseur,Diffuseur,0
Catalyseur,Isolant,0
Catalyseur,Modulateur,0
Catalyseur,Stabilisateur,0
Catalyseur,undefined,14
Catalyseur,Émetteur,0
Diffuseur,Activateur,0
Diffuseur,Amplificateur,0
Diffuseur,Catalyseur,0
Diffuseur,Diffuseur,0
Diffuseur,Isolant,0
Diffuseur,Modulateur,0
Diffuseur,Stabilisateur,0
Diffuseur,undefined,15
Diffuseur,Émetteur,0
Isolant,Activateur,0
Isolant,Amplificateur,0
Isolant,Catalyseur,0
Isolant,Diffuseur,0
Isolant,Isolant,0
Isolant,Modulateur,0
Isolant,Stabilisateur,0
Isolant,undefined,15
Isolant,Émetteur,0
Modulateur,Activateur,0
Modulateur,Amplificateur,0
Modulateur,Catalyseur,0
Modulateur,Diffuseur,0
Modulateur,Isolant,0
Modulateur,Modulateur,0
Modulateur,Stabilisateur,0
Modulateur,undefined,15
Modulateur,Émetteur,0
Stabilisateur,Activateur,0
Stabilisateur,Amplificateur,0
Stabilisateur,Catalyseur,0
Stabilisateur,Diffuseur,0
Stabilisateur,Isolant,0
Stabilisateur,Modulateur,0
Stabilisateur,Stabilisateur,0
Stabilisateur,undefined,14
Stabilisateur,Émetteur,0
undefined,Activateur,0
undefined,Amplificateur,0
undefined,Catalyseur,0
undefined,Diffuseur,0
undefined,Isolant,0
undefined,Modulateur,0
undefined,Stabilisateur,0
undefined,undefined,0
undefined,Émetteur,0
Émetteur,Activateur,0
Émetteur,Amplificateur,0
Émetteur,Catalyseur,0
Émetteur,Diffuseur,0
Émetteur,Isolant,0
Émetteur,Modulateur,0
Émetteur,Stabilisateur,0
Émetteur,undefined,15
Émetteur,Émetteur,0
