K,H_disc_cum,H_gauss_cum,dH_disc_dK,H_disc_within_layer,H_disc_block_preserving,H_disc_random_matched,H_gauss_within_layer,H_gauss_block_preserving,H_gauss_random_matched
1,,,0.000000000000e+00,,,,,,
2,1.304097564808e+00,1.402464868682e+00,1.031832830090e-02,1.624527447311e+00,1.623984443308e+00,1.549165356604e+00,1.416350233550e+00,1.118217979853e+00,1.109672245854e+00
3,1.324734221410e+00,1.409724244832e+00,-1.192354528518e-01,1.656729697971e+00,1.644281217173e+00,1.602508269552e+00,1.414338539734e+00,1.044337362519e+00,1.310352759869e+00
4,1.065626659105e+00,-3.192374511699e+00,-1.012144372451e-01,1.656381596933e+00,1.650440125018e+00,1.616224200744e+00,1.415813460496e+00,9.196464498084e-01,1.161519983973e+00
5,1.122305346920e+00,-2.412991275873e+00,4.163127711774e-02,1.656673646265e+00,1.641047718567e+00,1.637554100735e+00,1.416550715807e+00,1.091628296893e+00,1.169243901862e+00
6,1.148889213340e+00,-2.259858303781e+00,3.111036826874e-02,1.665402985178e+00,1.623172313961e+00,1.624713080459e+00,1.416992829551e+00,1.134215652560e+00,1.200521935749e+00
7,1.184526083457e+00,-1.650002358102e+00,3.455545752584e-02,1.678085761666e+00,1.618450060308e+00,1.632956412240e+00,1.417071184395e+00,1.212598624656e+00,1.185823616567e+00
8,1.218000128392e+00,-1.211582435505e+00,-4.075999980447e-02,1.678783648142e+00,1.618355817402e+00,1.640769791860e+00,1.417334411731e+00,1.203087376358e+00,1.191550389275e+00
9,1.103006083848e+00,-1.007750830697e+00,-1.078066012610e-01,1.602481047319e+00,1.609647615816e+00,1.644945201771e+00,1.417493610618e+00,1.227828935621e+00,1.162985404179e+00
10,1.002386925870e+00,-8.401733963659e-01,-1.004289252828e-01,1.548646724889e+00,1.616892717061e+00,1.644263643008e+00,1.417623554289e+00,1.261052848362e+00,1.128500049872e+00
11,9.021482332828e-01,-6.142672723720e-01,-7.154111239902e-02,1.424570860293e+00,1.621005939970e+00,1.630029509052e+00,1.417748853567e+00,1.283133949322e+00,1.101677552732e+00
12,8.593047010717e-01,-4.294317761909e-01,-4.593232682974e-02,1.364142233655e+00,1.623912669056e+00,1.637829328802e+00,1.417850318249e+00,1.272105453150e+00,1.149998883849e+00
13,8.102835796233e-01,-3.613112246886e-01,-3.300198620328e-02,1.312458387686e+00,1.622454492933e+00,1.614556938921e+00,1.417356863850e+00,1.254663351954e+00,1.137834572655e+00
14,7.933007286652e-01,-2.812197375146e-01,-2.579499514237e-02,1.299598216906e+00,1.625596905611e+00,1.622899633451e+00,1.417440840049e+00,1.263293086585e+00,1.130816806909e+00
15,7.586935893385e-01,-2.083778292449e-01,3.889396739258e-03,1.285905449972e+00,1.622662638221e+00,1.617976048096e+00,1.417488793505e+00,1.309949958777e+00,1.113982583557e+00
16,8.010795221437e-01,-1.000577630236e-01,1.117398513021e-02,1.312219623689e+00,1.623732587734e+00,1.623589960905e+00,1.417425201262e+00,1.305447835767e+00,1.083802511867e+00
17,7.810415595989e-01,-3.950029553956e-02,-1.300615642433e-02,1.322632034462e+00,1.627825701628e+00,1.625686404696e+00,1.416601962792e+00,1.299971812366e+00,1.082922800245e+00
18,7.750672092950e-01,1.399488505054e-02,9.611711821773e-03,1.342864021995e+00,1.624921079198e+00,1.620991645687e+00,1.416448072411e+00,1.318053572550e+00,1.087181332302e+00
19,8.002649832425e-01,9.062924101596e-02,2.997498415500e-02,1.353320016723e+00,1.624809963308e+00,1.620634838203e+00,1.416510940903e+00,1.297417730559e+00,1.099043914095e+00
20,8.350171776050e-01,1.596856086055e-01,3.492760788348e-02,1.367540541486e+00,1.623968859506e+00,1.623087719071e+00,1.416502628733e+00,1.282880143565e+00,1.097935494585e+00
21,8.701201990094e-01,2.219052747163e-01,1.256605943766e-02,1.383082365503e+00,1.625508755132e+00,1.618456940308e+00,1.416501641961e+00,1.289326314595e+00,1.103613322903e+00
22,8.601492964803e-01,1.825440088982e-01,5.152360257822e-03,1.385672417291e+00,1.615269330873e+00,1.613476442091e+00,1.416526626888e+00,1.267774112329e+00,1.101333329090e+00
23,8.804249195251e-01,2.188049824154e-01,1.721584497196e-02,1.395285388198e+00,1.609531080622e+00,1.615269745217e+00,1.416353540637e+00,1.257526392463e+00,1.109798005882e+00
24,8.945809864242e-01,2.546050658070e-01,1.596891300529e-02,1.397651020954e+00,1.602856054439e+00,1.619736334118e+00,1.415646549639e+00,1.252516359950e+00,1.118642965101e+00
25,9.123627455357e-01,3.006239651372e-01,1.579486529446e-02,1.409816324110e+00,1.598187154969e+00,1.620695093851e+00,1.415577801539e+00,1.247137814638e+00,1.128372879570e+00
