K,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,best_k_silhouette,best_model_k,p_block,p_period,p_periodicity,n_perm
30,6.696837062995e+00,1.847671029388e+01,2.542185561416e+07,5.152845793232e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.691542288557e-01,200
31,6.595393398333e+00,1.892476637087e+01,2.459859638895e+07,4.231107714123e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.144278606965e-01,200
32,6.406603772441e+00,1.989496036489e+01,1.628743291805e+07,5.225925370439e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.890547263682e-01,200
33,5.946239187390e+00,1.948764113521e+01,1.561673180456e+07,4.295919766473e-01,2.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.940298507463e-01,200
34,5.887245258586e+00,1.845139366924e+01,2.010802760709e+07,4.276354162948e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.343283582090e-01,200
35,6.536357922758e+00,1.826768748843e+01,1.960631479968e+07,5.233341349313e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.343283582090e-01,200
36,6.667255131919e+00,2.698705999858e+01,1.384148546473e+07,4.873204859413e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.990049751244e-01,200
37,6.677231024753e+00,2.736796584695e+01,1.348180792927e+07,4.965372350053e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,2.089552238806e-01,200
38,6.790695099463e+00,2.213332720681e+01,1.635281753800e+07,5.270765314000e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,200
39,6.368099301784e+00,2.196607834380e+01,1.580518439161e+07,5.426470958537e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,8.955223880597e-02,200
40,6.164788082349e+00,2.192009226029e+01,1.224950509886e+07,5.181091550067e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,2.885572139303e-01,200
41,7.052449279058e+00,2.218918106164e+01,1.190617493146e+07,4.429803016084e-01,4.000000000000e+00,4.975124378109e-03,4.975124378109e-03,2.238805970149e-01,200
42,7.184555489229e+00,2.612939104226e+01,1.318360716380e+07,5.155871067924e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.393034825871e-01,200
43,7.084975158249e+00,2.564883944021e+01,1.296260555124e+07,5.267802594233e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,200
44,6.818941650553e+00,2.247033896621e+01,1.108036657738e+07,5.252912908940e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,2.039800995025e-01,200
45,6.611265137661e+00,2.276467826672e+01,1.083314130831e+07,5.052927902981e-01,3.000000000000e+00,4.975124378109e-03,9.950248756219e-03,2.736318407960e-01,200
46,6.834531999990e+00,2.808483836310e+01,1.117944162173e+07,4.467574483408e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.194029850746e-01,200
47,6.569655905713e+00,2.806509958865e+01,1.084256547543e+07,5.029381903381e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,8.457711442786e-02,200
48,6.285244782148e+00,2.456062668499e+01,9.665847570341e+06,5.272646969302e-01,3.000000000000e+00,4.975124378109e-03,9.950248756219e-03,2.885572139303e-01,200
49,6.909347027921e+00,2.456062668499e+01,9.502879898247e+06,4.911177478121e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,2.587064676617e-01,200
50,7.121514350730e+00,2.396431413682e+01,9.384408886957e+06,5.099750759946e-01,3.000000000000e+00,4.975124378109e-03,4.975124378109e-03,1.044776119403e-01,200
