model,lambda,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_rmse_vs_real
M1,1.000000000000e-01,1.081787909718e+01,1.126791329920e+01,1.599066372893e+00,9,16,52,5,45,2,2.810688802977e-02
M1,4.000000000000e-01,1.522668841777e+01,8.725140040512e+00,1.791944336613e+00,7,10,44,5,42,2,4.043178620995e-02
M2,7.000000000000e-01,1.686754446553e+01,1.326971711066e+01,1.358230969462e+00,21,35,54,5,46,2,6.378227251308e-02
M2,6.000000000000e-01,1.906950206194e+01,1.448117116937e+01,1.449024377703e+00,20,33,52,5,49,2,5.754792116000e-02
M2,9.000000000000e-01,2.106812377819e+01,1.029062377669e+01,1.614709539516e+00,13,26,47,5,26,2,5.032655271014e-02
M1,6.000000000000e-01,2.158536726802e+01,5.825248671515e+00,1.737838836318e+00,5,6,35,5,37,2,7.532577986270e-02
M1,7.000000000000e-01,2.333888340300e+01,6.421904587452e+00,1.858855180182e+00,5,6,32,33,32,2,6.572191145697e-02
M1,3.000000000000e-01,2.514216955654e+01,9.819310744084e+00,1.752859746768e+00,7,11,46,18,20,2,3.062087037381e-02
M1,0.000000000000e+00,2.515880069943e+01,4.169461987242e+00,1.201832389889e+00,8,25,53,5,58,2,1.025392134326e-01
M1,2.000000000000e-01,2.524241463089e+01,1.093179774869e+01,1.723809524308e+00,9,13,49,8,16,2,2.518148920738e-02
M2,8.000000000000e-01,2.671481764812e+01,1.256021843655e+01,1.388868362460e+00,20,34,53,5,22,2,5.958535574552e-02
M2,1.000000000000e+00,2.764890252644e+01,1.513201529562e+01,1.118064699828e+00,30,44,57,5,34,2,9.008014128594e-02
M2,3.000000000000e-01,2.961607507240e+01,1.891478718743e+01,1.408868085714e+00,25,36,53,5,57,2,8.181482129575e-02
M1,9.000000000000e-01,3.180915848472e+01,4.644420375684e+00,1.644616924793e+00,4,4,28,8,20,2,9.190611630880e-02
M2,5.000000000000e-01,3.214121527883e+01,1.047702650139e+01,1.657481550897e+00,15,24,47,5,5,2,5.108196494977e-02
M1,8.000000000000e-01,3.242682927609e+01,5.030597418563e+00,1.616197739328e+00,4,4,35,5,18,2,8.371566590576e-02
M1,5.000000000000e-01,3.439966434216e+01,7.394022856863e+00,1.884690688624e+00,6,7,35,5,7,2,5.196681712811e-02
M2,4.000000000000e-01,3.562325313968e+01,1.411331321232e+01,1.699238416449e+00,18,28,45,5,5,2,4.815561233817e-02
M1,1.000000000000e+00,3.857019954772e+01,4.242843055931e+00,1.294980854125e+00,4,4,31,5,8,2,9.518200717061e-02
M2,1.000000000000e-01,3.923944706800e+01,2.682264377969e+01,1.256566875305e+00,31,41,55,5,55,2,1.362195522738e-01
M2,2.000000000000e-01,3.965967865564e+01,1.674759689712e+01,1.560572658523e+00,21,32,49,5,5,2,6.931430341560e-02
M2,0.000000000000e+00,4.468223450189e+01,3.129699691906e+01,1.284595182675e+00,32,40,53,5,34,2,1.683737529051e-01
M3,9.000000000000e-01,8.567777674240e+01,5.553393987806e+01,3.831808864333e-01,50,54,59,24,18,2,3.874354146607e-01
M3,1.000000000000e+00,8.715264920787e+01,5.494232491622e+01,4.011381348052e-01,49,54,59,26,13,2,3.822503065571e-01
M3,7.000000000000e-01,8.801349356538e+01,5.731011861976e+01,2.942688587998e-01,51,55,59,30,18,2,4.109774325451e-01
M3,1.000000000000e-01,8.878271418372e+01,5.993618147899e+01,4.832147992897e-02,54,57,60,14,25,2,4.767142259570e-01
M3,0.000000000000e+00,8.933149821541e+01,6.000000000000e+01,6.838652795452e-18,55,58,60,60,25,2,4.889289028747e-01
M3,3.000000000000e-01,9.028478710555e+01,5.948865513844e+01,1.322854295302e-01,53,57,60,25,20,2,4.545686299488e-01
M3,5.000000000000e-01,9.034489076817e+01,5.859793706424e+01,2.149149332752e-01,52,56,59,14,17,2,4.323857101382e-01
M3,2.000000000000e-01,9.153484229606e+01,5.976421586445e+01,9.085629823549e-02,54,57,60,26,19,2,4.655904076848e-01
M3,8.000000000000e-01,9.214373556930e+01,5.642782306654e+01,3.422247906030e-01,50,55,59,28,7,2,3.978085955231e-01
M3,6.000000000000e-01,9.466810522248e+01,5.799502378603e+01,2.551370856580e-01,52,56,59,5,7,2,4.211690051047e-01
M3,4.000000000000e-01,9.479878056921e+01,5.908026186252e+01,1.750236298900e-01,53,56,60,8,10,2,4.429436099291e-01
