model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M5,2.000000000000e-01,8.371518373706e+01,1.409908201098e+01,2.327209153469e+00,15,21,34,5,39,2,2.878148451921e-01,,,4.000000000000e+00,1.000000000000e+00
M5,0.000000000000e+00,9.345813727521e+01,1.179076297381e+01,1.879239077804e+00,14,22,42,5,48,2,2.956555379390e-01,,,4.000000000000e+00,1.000000000000e+00
M5,4.000000000000e-01,9.553515041626e+01,9.725131682586e+00,2.002021382090e+00,10,16,38,5,25,2,2.764642918337e-01,,,4.000000000000e+00,8.000000000000e-01
M5,8.000000000000e-01,9.739858467786e+01,4.806664289448e+00,1.948904012577e+00,4,5,21,5,11,2,7.100379752220e-01,,,4.000000000000e+00,8.000000000000e-01
M5,2.000000000000e-01,1.031647420271e+02,1.265828679522e+01,1.861955348589e+00,14,21,43,5,55,2,2.555084986374e-01,,,4.000000000000e+00,4.000000000000e-01
M5,8.000000000000e-01,1.035273220951e+02,4.516800537486e+00,2.446137358018e+00,4,5,12,5,10,2,7.303929500374e-01,,,4.000000000000e+00,1.000000000000e+00
M1,7.000000000000e-01,1.059617640449e+02,7.287563174685e+00,1.897405404140e+00,6,6,30,5,12,2,3.952786313166e-01,,,,
M4,8.000000000000e-01,1.087232502064e+02,2.694024499115e+00,1.419950959040e+00,3,4,38,5,48,2,9.663013688700e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M2,6.000000000000e-01,1.089182768412e+02,1.216615110540e+01,1.673669130234e+00,15,27,46,5,42,2,3.419822679767e-01,,,,
M5,4.000000000000e-01,1.091285536678e+02,1.036360598603e+01,1.995205425486e+00,9,15,38,5,10,2,2.014162861406e-01,,,4.000000000000e+00,1.000000000000e+00
M1,2.000000000000e-01,1.093798847162e+02,9.253091956050e+00,1.704974239123e+00,7,9,46,8,36,2,2.812210008191e-01,,,,
M4,1.000000000000e+00,1.100675297055e+02,2.464067792081e+00,1.146759861971e+00,3,4,37,5,50,2,9.986977657934e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.106014561118e+02,6.493959499885e+00,1.633733328463e+00,6,9,46,5,51,2,5.260128764517e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.126023750489e+02,7.374924534048e+00,1.654135546302e+00,7,9,47,5,54,2,4.380407059092e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M2,1.000000000000e+00,1.136359405593e+02,9.350056874646e+00,1.646331557099e+00,12,24,45,5,59,2,4.182498179158e-01,,,,
M5,6.000000000000e-01,1.138103036464e+02,8.723211709938e+00,1.950146466345e+00,8,13,38,8,11,2,3.343085606312e-01,,,4.000000000000e+00,8.000000000000e-01
M4,1.000000000000e+00,1.151037281958e+02,4.615835548481e+00,1.171581397742e+00,4,4,44,5,43,2,7.057970709765e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.155841786900e+02,4.796983919768e+00,1.563131323306e+00,4,6,41,5,33,2,7.144955777241e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M5,1.000000000000e+00,1.162206265682e+02,3.766370536847e+00,1.747387111287e+00,4,4,4,5,18,2,7.784898158386e-01,,,4.000000000000e+00,1.000000000000e+00
M4,1.000000000000e+00,1.173348242958e+02,3.133163744568e+00,1.209767433490e+00,4,4,36,5,28,2,8.959523707049e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.180784052793e+02,2.955584653249e+00,1.434193254480e+00,4,5,42,5,38,2,9.268025025801e-01,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.186015274187e+02,7.505075074512e+00,1.568539486935e+00,6,9,48,5,33,2,4.393733422674e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.188390538335e+02,3.829985695314e+00,1.184896361818e+00,4,4,41,5,55,2,8.075824827632e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.190217192629e+02,2.873003706592e+00,1.516870927739e+00,4,7,40,5,31,2,9.398950576231e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M1,1.000000000000e+00,1.193119388716e+02,4.325912504629e+00,1.300852341528e+00,4,4,30,5,11,2,7.138857806808e-01,,,,
M4,1.000000000000e+00,1.195267960910e+02,2.178794781746e+00,1.213623982298e+00,3,4,25,5,7,2,1.043354128689e+00,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M1,9.000000000000e-01,1.205866887948e+02,5.069135744899e+00,1.660321185931e+00,4,4,30,5,7,2,6.336872491624e-01,,,,
M4,8.000000000000e-01,1.223481708093e+02,5.371922845491e+00,1.552827986999e+00,5,7,45,8,34,2,6.559755586361e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.226825844168e+02,3.577247089971e+00,1.430502772296e+00,4,5,40,5,28,2,8.450187847960e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M1,5.000000000000e-01,1.236055926840e+02,6.763641573312e+00,1.769527327454e+00,5,8,40,5,15,2,5.014542344914e-01,,,,
M4,4.000000000000e-01,1.248240706043e+02,5.082245485299e+00,1.589828735325e+00,6,9,46,5,28,2,6.597492183955e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.248354932318e+02,2.688662420126e+00,1.385968502803e+00,3,4,39,5,28,2,9.660871182179e-01,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.249251738315e+02,6.511084077847e+00,1.537241666794e+00,7,11,50,5,30,2,5.602588217598e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M1,6.000000000000e-01,1.252993209996e+02,6.531420682799e+00,1.704794954351e+00,5,6,41,5,18,2,5.189989421125e-01,,,,
M4,8.000000000000e-01,1.253064998039e+02,2.464256295851e+00,1.401568211683e+00,3,4,37,5,24,2,1.000583843293e+00,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.254068097044e+02,3.991116158055e+00,1.205726756496e+00,4,4,40,5,26,2,7.838364729743e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
M1,4.000000000000e-01,1.261241357303e+02,7.390148874155e+00,1.796522005263e+00,6,7,40,5,11,2,4.277250751740e-01,,,,
M5,6.000000000000e-01,1.261358172394e+02,1.007567827188e+01,1.882024088651e+00,8,15,41,14,10,2,2.473483525202e-01,,,4.000000000000e+00,6.000000000000e-01
M4,6.000000000000e-01,1.263277577871e+02,5.847810257108e+00,1.540182947893e+00,5,7,46,5,28,2,6.026889004892e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.265925086034e+02,3.911148945991e+00,1.199014089350e+00,4,4,40,5,25,2,7.866497097192e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.272430159530e+02,2.367895610487e+00,1.166362244640e+00,3,4,34,5,17,2,1.019672281951e+00,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.275224825388e+02,2.934045161164e+00,1.320032837648e+00,3,3,41,5,60,2,9.560610149985e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.277378359730e+02,5.675085941074e+00,1.538035928480e+00,5,8,47,5,28,2,6.317831482973e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.281064846027e+02,4.616591518195e+00,1.511428734935e+00,5,7,46,5,29,2,7.177022499261e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.281931776669e+02,7.666463016736e+00,1.598764729197e+00,6,10,48,5,22,2,4.419242719648e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.287974820550e+02,4.433369070046e+00,1.424026869519e+00,4,5,44,5,28,2,7.488757297869e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.288660130629e+02,2.511201077060e+00,1.181293714300e+00,3,4,35,5,17,2,9.968735079183e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.290432965404e+02,5.555931531093e+00,1.506826064560e+00,4,6,44,5,24,2,6.185442261169e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.291908560473e+02,3.229630484137e+00,1.185280153480e+00,4,4,39,5,22,2,8.837040659720e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.292889967240e+02,4.094512499159e+00,1.518419546928e+00,5,7,45,8,30,2,7.973655095462e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.295707088562e+02,3.977052059772e+00,1.165396341464e+00,4,4,43,5,28,2,7.912263280551e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.296365327893e+02,4.307165230778e+00,1.571207440542e+00,5,7,43,5,22,2,7.629681142028e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.296877769343e+02,3.874952287169e+00,1.539554070578e+00,4,6,39,5,17,2,8.088971881533e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.297744939627e+02,6.278749624201e+00,1.416463395162e+00,7,18,52,5,33,2,5.714170262498e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.297814149605e+02,3.255458177441e+00,1.321970436540e+00,3,4,43,5,60,2,9.098466404867e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.300850755048e+02,2.908059424997e+00,1.471504432657e+00,3,5,38,5,19,2,9.385791543411e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.306119103488e+02,7.842545234578e+00,1.635634762610e+00,6,9,47,5,18,2,3.826778808946e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.311578048551e+02,6.337809081237e+00,1.576048278464e+00,5,8,47,5,23,2,5.615092544680e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.312714294434e+02,2.387509384633e+00,1.138607438473e+00,3,4,37,5,19,2,1.011860591999e+00,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.313117306937e+02,4.630333888097e+00,1.445285024674e+00,5,10,49,5,29,2,7.348520999429e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.314213313453e+02,9.560112343939e+00,1.272801736437e+00,10,34,55,5,44,2,4.607059492241e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.314306716477e+02,7.137883287676e+00,1.564170947929e+00,6,9,48,8,24,2,4.802008614170e-01,1.100000000000e+01,1.000000000000e-01,4.000000000000e+00,
M1,8.000000000000e-01,1.327699566409e+02,5.052809041155e+00,1.631617431687e+00,4,5,35,25,24,2,6.659388370916e-01,,,,
