layer,mean_abs_partial_corr,max_abs_partial_corr
b23,6.497369240132e-01,6.497369240132e-01
b26,6.048615322315e-01,6.048615322315e-01
b28,5.203445197583e-01,5.203445197583e-01
b29,4.922661888277e-01,4.922661888277e-01
b35,4.722791901359e-01,4.722791901359e-01
b31,4.714883542798e-01,4.714883542798e-01
b33,4.713076310341e-01,4.713076310341e-01
b20,4.492577645613e-01,4.492577645613e-01
b32,4.484388839769e-01,4.484388839769e-01
b27,4.476023407167e-01,4.476023407167e-01
b21,4.476023407167e-01,4.476023407167e-01
b30,4.433385479229e-01,4.433385479229e-01
b37,4.174662852725e-01,4.174662852725e-01
b22,3.944007046957e-01,3.944007046957e-01
b24,3.913474013469e-01,3.913474013469e-01
b02,3.838809778250e-01,3.838809778250e-01
b25,3.678387092870e-01,3.678387092870e-01
b34,2.879093099514e-01,2.879093099514e-01
b07,2.031248860749e-01,2.031248860749e-01
b19,1.814414618879e-01,1.814414618879e-01
b16,1.736269642387e-01,1.736269642387e-01
b18,1.656678417883e-01,1.656678417883e-01
b10,1.636889681216e-01,1.636889681216e-01
b08,1.525643341408e-01,1.525643341408e-01
b17,1.265898932137e-01,1.265898932137e-01
b09,1.214185299830e-01,1.214185299830e-01
b12,1.178040896792e-01,1.178040896792e-01
b11,1.119470283543e-01,1.119470283543e-01
b03,1.029924833045e-01,1.029924833045e-01
b04,1.029924588060e-01,1.029924588060e-01
b06,9.335754674125e-02,9.335754674125e-02
b05,8.929671438770e-02,8.929671438770e-02
b01,8.057882651475e-02,8.057882651475e-02
b13,7.609377668966e-02,7.609377668966e-02
b14,5.905556481986e-02,5.905556481986e-02
b15,5.119537538438e-02,5.119537538438e-02
b36,3.976529677920e-02,3.976529677920e-02
