A_symbol,B_symbol,y_exists,kernel_cosine,kernel_dot,kernel_rbf,kernel_laplacian,kernel_poly2
Ac,Al,0,6.385550163168e-01,3.981183401951e+00,8.512807603513e-01,6.694728888571e-01,1.226776766271e+00
Ac,Ar,0,-7.732785010780e-01,-1.745335248669e+01,7.542104040304e-02,2.003497725154e-01,2.790879685971e-01
Ac,As,1,3.842032309126e-01,2.210802444163e+00,7.856645982297e-01,6.119241632445e-01,1.123073066702e+00
Ac,At,1,2.333172747023e-01,6.576469856235e+00,1.284630256196e-01,2.387065726503e-01,1.387077228000e+00
Ac,B,1,-2.668725897462e-01,-1.246648303112e+01,1.100597036692e-03,7.353732623383e-02,4.396592073501e-01
Ac,Ba,0,3.135125704477e-01,3.218251703280e+00,6.831548955575e-01,5.394100490881e-01,1.181525032921e+00
Ac,Be,0,-4.242023809765e-01,-1.904036374959e+01,1.210079429939e-03,7.489029705054e-02,2.356088635843e-01
Ac,Bi,1,-2.476893003930e-03,-7.660334245444e-02,5.800425369921e-02,1.850042750969e-01,9.958635651793e-01
Ac,Br,1,-2.540653968226e-01,-2.707481157901e+00,4.851181739587e-01,4.271981360557e-01,8.590042721225e-01
Ac,C,1,-1.374304549744e-01,-7.679305912848e+00,1.138398507931e-04,4.912324392450e-02,6.279788909805e-01
Ac,Ca,0,-2.753702842191e-01,-3.006936011066e+00,4.701029951266e-01,4.194569997017e-01,8.440674940510e-01
Ac,Ce,0,4.013723676218e-01,5.385349150680e+00,6.283967043902e-01,5.058051769190e-01,1.312284749909e+00
Ac,Cl,1,-4.194723209516e-01,-4.534390587900e+00,4.356348199930e-01,4.018947208496e-01,7.699165774281e-01
Ac,Co,0,6.618453898977e-01,1.124759923362e+01,6.439413843740e-01,5.150783841628e-01,1.700387751503e+00
Ac,Cr,0,-4.766497743840e-02,-5.515112214274e-01,5.161095613699e-01,4.433980920033e-01,9.704107627770e-01
Ac,Cs,0,8.131536438578e-01,6.081740201214e+00,9.108723266767e-01,7.367280317788e-01,1.355760656512e+00
Ac,Cu,0,-4.170778045440e-02,-2.502161620630e-01,6.824983038068e-01,5.389903387772e-01,9.865205347955e-01
Ac,F,1,-4.713530610636e-01,-1.244544700500e+01,5.968743190052e-02,1.865830681441e-01,4.404134936336e-01
Ac,Fe,0,-4.505514834156e-02,-9.107071806161e-01,2.418769657946e-01,3.038094060445e-01,9.513784194326e-01
Ac,Ga,0,4.763183235716e-01,2.695672218338e+00,8.088794096890e-01,6.309371298821e-01,1.151020009398e+00
Ac,Ge,1,-4.386282535631e-02,-3.653598435024e-01,6.200308178157e-01,5.008916917882e-01,9.803483268050e-01
Ac,H,0,-5.649831949389e-01,-8.721987130495e+00,2.506096103215e-01,3.083945474220e-01,5.841095776829e-01
Ac,He,0,-8.290199043073e-01,-3.591936915350e+01,7.030570524288e-04,6.757939343660e-02,8.530044020522e-04
Ac,I,1,-1.540906235993e-01,-1.036576632454e+00,6.380102132996e-01,5.115173537541e-01,9.447537036621e-01
Ac,In,0,7.907792967569e-01,5.749213857812e+00,9.020871541138e-01,7.254197025523e-01,1.334912553295e+00
Ac,K,0,-1.084371359468e-01,-5.123398355132e+00,1.430161733135e-03,7.735960946804e-02,7.422335518083e-01
Ac,Kr,0,-7.040203411634e-01,-1.608741458449e+01,7.846927185248e-02,2.028434638599e-01,3.194567047196e-01
Ac,La,0,8.660915056356e-01,7.548982621666e+00,9.343563829947e-01,7.706112915033e-01,1.449679950786e+00
Ac,Li,0,-3.652516002264e-01,-1.235067064552e+01,1.807601584147e-02,1.348908127338e-01,4.438198960011e-01
Ac,Mg,0,-4.104266110922e-01,-7.941380361142e+00,1.813255121725e-01,2.707122893712e-01,6.168030499020e-01
Ac,Mn,0,5.020893725351e-03,5.065471430310e-02,5.812321834657e-01,4.787306049684e-01,1.002739966953e+00
Ac,Mo,0,-3.515740302297e-02,-1.855289499396e+00,3.864723939140e-04,6.061016092667e-02,9.022283974955e-01
Ac,N,1,-6.776369925718e-01,-8.471149012748e+00,3.167203495126e-01,3.422350608266e-01,5.945181436471e-01
Ac,Na,0,-5.521282545557e-01,-2.007436428811e+01,7.368153308906e-03,1.090460841227e-01,2.092601491976e-01
Ac,Nb,0,6.599725220942e-01,1.123442511813e+01,6.418218652950e-01,5.138025287527e-01,1.699459288880e+00
Ac,Nd,0,5.270332475882e-01,5.941041191681e+00,7.466271754076e-01,5.824305163132e-01,1.346919662984e+00
Ac,Ne,0,-8.038064254772e-01,-2.319264574715e+01,2.320257679771e-02,1.437079521797e-01,1.392571449699e-01
