condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
baseline,full_padded_1_60,1,1.000000000000e+00,1.000000000000e+00,1.247446159461e+00,0.000000000000e+00,1.009345794392e+00,0.000000000000e+00
baseline,full_padded_1_60,2,1.937213969476e+00,1.967676195084e+00,1.989481554903e+00,3.634232357505e-01,1.191057412268e+00,8.276341765173e-01
baseline,full_padded_1_60,3,2.928674198451e+00,2.963299681576e+00,1.989302072106e+00,1.789340184476e-01,1.197492625049e+00,1.018558606602e+00
baseline,full_padded_1_60,4,2.631014299621e+00,2.801288558816e+00,1.989791768238e+00,8.382113583840e-01,2.026535465195e+00,1.188324106811e+00
baseline,full_padded_1_60,5,2.295894749309e+00,2.663054827876e+00,1.996745911562e+00,1.811139928433e+00,3.000125305076e+00,1.188985376643e+00
baseline,full_padded_1_60,6,2.026397093506e+00,2.459003151795e+00,1.996496700244e+00,2.811355984896e+00,4.000578252016e+00,1.189222267120e+00
baseline,full_padded_1_60,7,2.540374983543e+00,3.175001325836e+00,2.684820396437e+00,2.814086541254e+00,4.058936929513e+00,1.244850388259e+00
baseline,full_padded_1_60,8,3.149711142455e+00,3.998314842676e+00,2.845071207732e+00,2.775262260058e+00,4.058936945023e+00,1.283674684965e+00
baseline,full_padded_1_60,9,3.508040919514e+00,4.301131813650e+00,2.796542242393e+00,2.082057700842e+00,4.061902413084e+00,1.979844712242e+00
baseline,full_padded_1_60,10,3.597970340398e+00,4.315534741003e+00,2.803859284829e+00,1.115426801996e+00,4.062184351387e+00,2.946757549391e+00
baseline,full_padded_1_60,11,4.199916157436e+00,5.120867524335e+00,2.841277712107e+00,1.115644296260e+00,4.062709259065e+00,2.947064962806e+00
baseline,full_padded_1_60,12,4.815135885450e+00,5.917203205326e+00,2.915810641462e+00,1.108054912609e+00,4.063228030575e+00,2.955173117965e+00
baseline,full_padded_1_60,13,5.151364952101e+00,6.178383442014e+00,2.935763073305e+00,1.073863586095e+00,4.063587878341e+00,2.989724292246e+00
baseline,full_padded_1_60,14,5.324251959702e+00,6.385613124279e+00,2.951655853422e+00,9.499097124062e-01,4.098805437456e+00,3.148895725050e+00
baseline,full_padded_1_60,15,5.528582554131e+00,6.662462111473e+00,2.958116192641e+00,7.838082193744e-01,4.203223467630e+00,3.419415248256e+00
baseline,full_padded_1_60,16,5.877701770961e+00,7.014844506518e+00,3.071126675602e+00,7.691262985151e-01,4.203224030194e+00,3.434097731678e+00
baseline,full_padded_1_60,17,6.055839802688e+00,7.160538442585e+00,3.140143115373e+00,7.062187626534e-01,4.203901298489e+00,3.497682535836e+00
baseline,full_padded_1_60,18,6.010785329217e+00,7.123186873771e+00,3.161315845335e+00,2.731514400826e-01,4.204542071928e+00,3.931390631846e+00
baseline,full_padded_1_60,19,6.444753159349e+00,7.735137272301e+00,4.159545880424e-01,1.652246905740e-01,4.204560872917e+00,4.039336182343e+00
baseline,full_padded_1_60,20,6.901293303126e+00,8.401043352787e+00,2.032170655460e+00,7.815535042271e-02,4.228076928736e+00,4.149921578313e+00
baseline,full_padded_1_60,21,7.440022114707e+00,9.117639673470e+00,2.059792923951e+00,7.664017532506e-02,4.228596567401e+00,4.151956392076e+00
baseline,full_padded_1_60,22,7.736411582636e+00,9.298513909992e+00,2.054866057482e+00,7.155203744534e-02,4.235708859698e+00,4.164156822253e+00
baseline,full_padded_1_60,23,7.934400707919e+00,9.554771747741e+00,2.186165295683e+00,7.256677322821e-02,4.238869912537e+00,4.166303139309e+00
baseline,full_padded_1_60,24,7.948745847414e+00,9.597644890664e+00,2.184122482474e+00,1.144920691815e-01,4.296422230669e+00,4.181930161487e+00
baseline,full_padded_1_60,25,8.082945470116e+00,9.801434468187e+00,2.162895752981e+00,3.570723823562e-01,4.560745437630e+00,4.203673055273e+00
baseline,full_padded_1_60,26,7.886919214531e+00,9.710085896048e+00,2.147302214654e+00,1.085951459814e+00,5.294001632339e+00,4.208050172525e+00
baseline,full_padded_1_60,27,7.606097573328e+00,9.531867008902e+00,2.149813267637e+00,1.914067991886e+00,6.128394363272e+00,4.214326371386e+00
baseline,full_padded_1_60,28,7.725896546674e+00,9.736570862153e+00,2.223816121316e+00,2.151688927895e+00,6.394887121837e+00,4.243198193942e+00
baseline,full_padded_1_60,29,7.712719224247e+00,9.762437368121e+00,2.219785533271e+00,2.496119670080e+00,6.780392352730e+00,4.284272682650e+00
baseline,full_padded_1_60,30,7.652633693021e+00,9.881533270556e+00,2.255144384135e+00,2.996391063746e+00,7.305422021290e+00,4.309030957544e+00
baseline,full_padded_1_60,31,7.652254301679e+00,1.010824411633e+01,2.271393086371e+00,3.493616535658e+00,7.803659607469e+00,4.310043071811e+00
baseline,full_padded_1_60,32,7.590787952613e+00,1.026322277035e+01,2.276953563628e+00,4.035957762764e+00,8.347507936555e+00,4.311550173791e+00
baseline,full_padded_1_60,33,7.762575088979e+00,1.056517953685e+01,2.027872661209e+00,3.641000003583e+00,8.387147028283e+00,4.746147024700e+00
baseline,full_padded_1_60,34,7.848966103770e+00,1.074925720092e+01,1.915929588935e+00,3.345996198658e+00,8.514624274994e+00,5.168628076336e+00
baseline,full_padded_1_60,35,7.848892008911e+00,1.075399422226e+01,1.837771495080e+00,2.843247929345e+00,8.614872119900e+00,5.771624190555e+00
baseline,full_padded_1_60,36,7.988564049451e+00,1.098431565280e+01,1.868742039414e+00,2.989892835590e+00,8.801185556623e+00,5.811292721032e+00
baseline,full_padded_1_60,37,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,38,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,39,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,40,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,41,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,42,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,43,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,44,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,45,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,46,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,47,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,48,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,49,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,50,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,51,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,52,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,53,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,54,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
baseline,full_padded_1_60,55,8.036779710409e+00,1.112888296474e+01,1.841372042592e+00,2.372770863686e+00,8.808047046432e+00,6.435276182746e+00
