K,forward_transition_score,backward_transition_score,delta_forward_minus_backward,forward_modularity,backward_modularity
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.314114146030e-02,0.000000000000e+00
2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.471445320519e-01,0.000000000000e+00
3,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.901201379634e-01,0.000000000000e+00
4,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.897076099171e-01,0.000000000000e+00
5,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.882583208988e-01,0.000000000000e+00
6,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.878064912108e-01,0.000000000000e+00
7,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.433579116501e-01,0.000000000000e+00
8,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.425867767772e-01,0.000000000000e+00
9,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.203944469320e-01,0.000000000000e+00
10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.214264980073e-01,0.000000000000e+00
11,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.641796467360e-01,0.000000000000e+00
12,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.642420259420e-01,0.000000000000e+00
13,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.642767710073e-01,0.000000000000e+00
14,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.163218743768e-03,0.000000000000e+00
15,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.074882244111e-03,0.000000000000e+00
16,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.745377873109e-01,0.000000000000e+00
17,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.721827861221e-01,0.000000000000e+00
18,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.726405445381e-01,0.000000000000e+00
19,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.865700409254e-01,1.177850993729e-01
20,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.899570373388e-01,4.861287591516e-01
21,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.928326060243e-01,5.276084562350e-01
22,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.441561746310e-01,5.137311648786e-01
23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.524524736917e-01,4.831744869267e-01
24,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.505725067352e-01,4.638026401963e-01
25,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.458731877290e-01,4.877014296499e-01
26,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.427552093109e-01,2.135277941640e-01
27,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.426426629044e-01,2.173160034557e-01
28,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.404493349486e-01,2.405478037211e-01
29,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.488222883355e-01,2.608447683878e-01
30,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.407594630739e-01,2.716418727999e-01
31,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.288402149499e-01,3.024262620202e-01
32,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.406283233657e-01,3.269540523749e-01
33,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.370242099773e-01,2.968205843839e-01
34,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.327637709681e-01,3.269904997297e-01
35,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.589496797291e-01,2.179886602919e-01
36,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.394000390153e-01,2.583628546928e-01
37,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.150658872036e-01,4.150658872036e-01
