layer,anova_f_block,n_total,n_groups,df_within,rank,is_top10
b26,2.134577458111e+01,108,4,104,1,True
b23,1.633342815105e+01,108,4,104,2,True
b29,1.536276824696e+01,108,4,104,3,True
b28,1.445960379296e+01,108,4,104,4,True
b32,1.149589195554e+01,108,4,104,5,True
b31,1.109508554676e+01,108,4,104,6,True
b30,9.967769493519e+00,108,4,104,7,True
b33,9.553834716730e+00,108,4,104,8,True
b35,9.529112759879e+00,108,4,104,9,True
b25,8.745946242417e+00,108,4,104,10,True
b34,8.270663525010e+00,108,4,104,11,False
b21,7.906740777584e+00,108,4,104,12,False
b27,7.906740777583e+00,108,4,104,13,False
b22,7.666238541931e+00,108,4,104,14,False
b24,6.614524806607e+00,108,4,104,15,False
b18,3.884308773491e+00,108,4,104,16,False
b16,3.817054134326e+00,108,4,104,17,False
b02,3.788720568757e+00,108,4,104,18,False
b09,2.441196056233e+00,108,4,104,19,False
b36,2.403232609886e+00,108,4,104,20,False
b11,2.258236282740e+00,108,4,104,21,False
b17,2.249479911367e+00,108,4,104,22,False
b37,1.399669625822e+00,108,4,104,23,False
b05,1.392935977704e+00,108,4,104,24,False
b06,1.298270683649e+00,108,4,104,25,False
b15,1.264969470123e+00,108,4,104,26,False
b20,1.071817897255e+00,108,4,104,27,False
b04,1.015124631082e+00,108,4,104,28,False
b03,1.015124466501e+00,108,4,104,29,False
b10,9.860657550841e-01,108,4,104,30,False
b08,9.124151039547e-01,108,4,104,31,False
b07,8.398851999922e-01,108,4,104,32,False
b01,7.161257885237e-01,108,4,104,33,False
b14,7.095033999581e-01,108,4,104,34,False
b12,5.916765875199e-01,108,4,104,35,False
b13,5.014842241415e-01,108,4,104,36,False
b19,2.236919974103e-01,108,4,104,37,False
