layer,anova_f_period,n_total,n_groups,df_within,rank,is_top10
b33,5.676643086050e+01,108,7,101,1,True
b35,5.670009449585e+01,108,7,101,2,True
b26,3.220918118456e+01,108,7,101,3,True
b34,3.000909547337e+01,108,7,101,4,True
b23,2.707335948029e+01,108,7,101,5,True
b25,1.925340270117e+01,108,7,101,6,True
b28,1.695007323781e+01,108,7,101,7,True
b29,1.594420363583e+01,108,7,101,8,True
b20,1.404108070456e+01,108,7,101,9,True
b30,1.192230326408e+01,108,7,101,10,True
b37,1.085546936921e+01,108,7,101,11,False
b22,1.061884203136e+01,108,7,101,12,False
b21,1.037919387009e+01,108,7,101,13,False
b27,1.037919387009e+01,108,7,101,14,False
b31,1.034164360503e+01,108,7,101,15,False
b36,9.571797766926e+00,108,7,101,16,False
b32,8.916622260233e+00,108,7,101,17,False
b24,8.832669149143e+00,108,7,101,18,False
b19,8.230942063974e+00,108,7,101,19,False
b17,5.892976330623e+00,108,7,101,20,False
b07,5.831823430363e+00,108,7,101,21,False
b02,5.404867569325e+00,108,7,101,22,False
b18,5.332095217017e+00,108,7,101,23,False
b16,5.302651331525e+00,108,7,101,24,False
b09,2.661610290936e+00,108,7,101,25,False
b10,2.264512270531e+00,108,7,101,26,False
b08,2.247725061519e+00,108,7,101,27,False
b01,1.373698066759e+00,108,7,101,28,False
b14,8.365053777631e-01,108,7,101,29,False
b12,7.891100264602e-01,108,7,101,30,False
b13,7.720890410102e-01,108,7,101,31,False
b04,6.626938246078e-01,108,7,101,32,False
b03,6.626938025426e-01,108,7,101,33,False
b05,6.613179315650e-01,108,7,101,34,False
b06,6.604620279801e-01,108,7,101,35,False
b11,6.277089947294e-01,108,7,101,36,False
b15,4.899212135349e-01,108,7,101,37,False
