layer,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37
b01,1.000000000000e+00,-1.800291028949e-01,-1.479110317903e-02,-1.479109156624e-02,-1.244594398112e-02,-1.291701180643e-02,1.521255470468e-01,8.091479269999e-02,4.538978518610e-02,7.970461447394e-02,-1.999497407780e-02,4.599915033888e-03,-8.032945651994e-03,-3.152725115883e-02,-5.474481650104e-02,1.046651360652e-01,1.474170884256e-01,1.039792722503e-01,4.522847311386e-01,-7.303015659938e-02,2.431054805550e-02,3.445269199438e-02,-3.360656940322e-03,-4.601590873471e-03,2.316973474321e-01,3.102198857719e-02,2.431054805550e-02,-3.422962052544e-02,2.374967619853e-03,2.579651097388e-02,4.494948013888e-03,-4.542121813723e-03,-1.554743500854e-01,1.760212959340e-01,-1.556676571192e-01,2.247474788203e-01,1.810684504243e-01
b02,-1.800291028949e-01,1.000000000000e+00,-6.246751982671e-02,-6.246758375196e-02,-6.718396633561e-02,-6.614456385993e-02,2.742674433922e-01,-9.405533063369e-02,-1.030522758658e-01,-1.011472738242e-01,6.238583538482e-02,8.611338147124e-02,8.959671479500e-02,3.401618853948e-02,-4.667877868144e-02,5.155768213847e-01,1.331788701091e-01,5.120384339496e-01,-4.905586935678e-02,-2.040427475564e-01,-2.632231546013e-01,-2.395830583576e-01,-3.685309006370e-01,-1.936080576561e-01,-2.822824973947e-01,-3.377642502507e-01,-2.632231546013e-01,-3.634594706659e-01,-3.534453847944e-01,-3.250239337380e-01,-3.071243118626e-01,-2.330638046388e-01,-1.490566329954e-01,3.174468065706e-02,-1.495560262384e-01,-7.391191588867e-02,3.075111024461e-01
b03,-1.479110317903e-02,-6.246751982671e-02,1.000000000000e+00,1.000000000000e+00,9.744689433571e-01,9.838417421185e-01,-2.095172806278e-01,-5.614738477826e-04,5.047111553805e-02,-1.025635375766e-02,-1.430610303562e-02,-1.587542404326e-02,-6.510817054219e-03,1.681465551922e-01,1.835967553756e-01,3.812794608060e-02,5.009237854550e-02,3.777771385130e-02,-2.197554071389e-02,-6.911498253815e-02,7.213283463307e-04,1.000367178662e-02,-1.004267163636e-02,3.957039797627e-02,-1.576853164320e-02,2.942615835447e-03,7.213283463307e-04,-9.955498344282e-02,-8.999707559520e-02,-8.017438845805e-02,8.906357509276e-02,3.410747596747e-02,-5.638388218800e-02,6.696656443225e-02,-5.651729512757e-02,-4.521250087560e-02,6.695542010279e-02
b04,-1.479109156624e-02,-6.246758375196e-02,1.000000000000e+00,1.000000000000e+00,9.744689437621e-01,9.838417424192e-01,-2.095172973892e-01,-5.614678094670e-04,5.047112194916e-02,-1.025634722535e-02,-1.430610698192e-02,-1.587542950600e-02,-6.510822778048e-03,1.681465523351e-01,1.835967576352e-01,3.812791284025e-02,5.009236979784e-02,3.777768083944e-02,-2.197553747760e-02,-6.911496916649e-02,7.213452359636e-04,1.000368712193e-02,-1.004264794538e-02,3.957041024257e-02,-1.576851346432e-02,2.942637499900e-03,7.213452359636e-04,-9.955495971846e-02,-8.999705255182e-02,-8.017436727800e-02,8.906359444563e-02,3.410749078776e-02,-5.638387239615e-02,6.696656212655e-02,-5.651728530314e-02,-4.521249595100e-02,6.695540009964e-02
b05,-1.244594398112e-02,-6.718396633561e-02,9.744689433571e-01,9.744689437621e-01,1.000000000000e+00,9.989138694632e-01,-1.917445923809e-01,-3.384303340357e-03,3.497463053069e-02,-1.094507580906e-02,-1.433926744963e-02,-1.591164660401e-02,-9.424204009744e-03,1.277195617302e-01,1.396484626108e-01,3.798791504519e-02,5.036743064336e-02,3.780631369825e-02,-1.531745257449e-02,-6.238933306696e-02,1.514774858172e-02,2.373242001000e-02,1.140491063229e-02,5.910283011892e-02,-1.465861474933e-03,2.353020282537e-02,1.514774858172e-02,-9.162075289964e-02,-8.774677472997e-02,-8.113296915928e-02,1.321312648052e-01,5.722940489161e-02,-5.663424283743e-02,6.742913653568e-02,-5.674517388277e-02,-3.782199853308e-02,5.727342337390e-02
b06,-1.291701180643e-02,-6.614456385993e-02,9.838417421185e-01,9.838417424192e-01,9.989138694632e-01,1.000000000000e+00,-1.963650630449e-01,-2.783897966692e-03,3.834778405360e-02,-1.081701317098e-02,-1.435597608732e-02,-1.593073772509e-02,-8.823196382441e-03,1.366326444856e-01,1.493291697191e-01,3.806847739434e-02,5.044798610018e-02,3.775361355813e-02,-1.661537956275e-02,-6.396776879314e-02,1.157433417206e-02,2.032007951886e-02,5.926959896402e-03,5.414707764244e-02,-4.712577041220e-03,1.829735502292e-02,1.157433417206e-02,-9.355929482333e-02,-8.846824274181e-02,-8.113910090494e-02,1.213107422576e-01,5.135604561519e-02,-5.667498293217e-02,6.746702149306e-02,-5.680398681297e-02,-3.933821988141e-02,5.966955701510e-02
b07,1.521255470468e-01,2.742674433922e-01,-2.095172806278e-01,-2.095172973892e-01,-1.917445923809e-01,-1.963650630449e-01,1.000000000000e+00,1.693000693608e-03,1.208163482186e-02,-2.787826231107e-03,5.355576253199e-02,7.536203332566e-02,6.088583539657e-02,8.161134853310e-03,7.590030491778e-03,7.922413131929e-01,9.142157020687e-01,7.923939436479e-01,3.344045269338e-01,-3.613822737357e-01,6.100571897522e-02,1.103521495506e-01,2.797827451303e-03,8.761710720382e-02,1.815507665642e-01,1.262538286568e-01,6.100571897522e-02,-1.244693513829e-01,-7.647060347440e-02,-2.454757899960e-02,1.454913306112e-02,5.217738855592e-02,-5.811171773746e-01,5.089915261270e-01,-5.810370532244e-01,2.502147083460e-01,5.191491815968e-01
b08,8.091479269999e-02,-9.405533063369e-02,-5.614738477826e-04,-5.614678094670e-04,-3.384303340357e-03,-2.783897966692e-03,1.693000693608e-03,1.000000000000e+00,9.298542997669e-01,9.970340928868e-01,-1.102606791060e-02,6.484689501069e-02,6.408121875357e-02,5.311433558122e-02,3.072246142751e-02,3.161135291877e-02,4.485193804470e-02,3.133064789074e-02,7.431811744963e-02,-7.338490544938e-02,-2.923304477083e-03,6.880178978391e-03,5.108070962434e-02,-1.815670753628e-02,8.529080311941e-02,6.007845726512e-02,-2.923304477083e-03,1.056811974349e-01,1.108794193390e-01,7.698903130095e-02,3.294252218272e-02,2.695719889392e-03,-4.954965065744e-02,5.999063836885e-02,-4.961697485258e-02,-3.243144119393e-02,9.255522031539e-02
b09,4.538978518610e-02,-1.030522758658e-01,5.047111553805e-02,5.047112194916e-02,3.497463053069e-02,3.834778405360e-02,1.208163482186e-02,9.298542997669e-01,1.000000000000e+00,9.168985780462e-01,-1.103111057141e-02,1.714508085877e-01,2.480377763106e-01,3.333724357049e-01,3.571813760288e-01,6.270332267505e-02,8.415634498598e-02,6.241913785691e-02,7.180690287558e-02,-9.676144213607e-02,-8.874215324653e-03,3.980944410973e-03,7.695567909538e-02,-3.485921662587e-02,9.725782797465e-02,9.466814421129e-02,-8.874215324653e-03,1.591046348209e-01,1.710526688821e-01,1.199886612588e-01,5.665453967699e-02,5.268816186535e-03,-9.485358204102e-02,1.135832713768e-01,-9.463687726205e-02,-6.788248420252e-03,1.372915085786e-01
b10,7.970461447394e-02,-1.011472738242e-01,-1.025635375766e-02,-1.025634722535e-02,-1.094507580906e-02,-1.081701317098e-02,-2.787826231107e-03,9.970340928868e-01,9.168985780462e-01,1.000000000000e+00,-1.006847184135e-02,-6.422031854178e-03,-6.137290443907e-03,-7.012285828429e-03,-5.264488303661e-03,2.846149850176e-02,4.040271299650e-02,2.818556382098e-02,6.675504203336e-02,-6.873916343251e-02,4.860910560728e-04,9.714680205884e-03,5.626840695496e-02,-1.610146100374e-02,8.541388293139e-02,6.395089324957e-02,4.860910560728e-04,1.133084990367e-01,1.167216014766e-01,8.126340037042e-02,3.630525745951e-02,5.495629022680e-03,-4.463368184028e-02,5.409912315040e-02,-4.471695679357e-02,-4.299416510073e-02,8.373341979686e-02
