,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37
b01,-1.676873068768e-02,1.420492458477e-02,-2.645001043284e-02,-2.645001123841e-02,-2.291632449669e-02,-2.370988935890e-02,-1.009918610715e-02,-1.656570136021e-03,-2.098382820056e-03,-1.961634009156e-03,9.365498634258e-03,1.217046849457e-02,8.955597181310e-03,7.493590905131e-04,-8.289210832206e-04,-1.175485020318e-02,-1.704681766146e-02,-1.193116536305e-02,-1.277805531672e-02,2.561664361637e-02,5.054969405041e-03,1.690064880692e-03,2.707337126741e-03,2.664573766156e-03,-3.713506633181e-03,-2.202654343951e-03,5.054969405040e-03,7.052182159887e-03,2.973112463504e-03,9.627128230267e-04,-7.247309641165e-03,3.003223280092e-03,2.145656414443e-02,-2.497066188946e-02,2.139749243724e-02,8.289387425518e-03,-3.325306947545e-02
b02,8.024072493731e-03,-1.172789295122e-02,-2.009399819607e-03,-2.009399058905e-03,-1.190520867166e-04,-4.906442967985e-04,1.711787027367e-02,4.295767289856e-03,1.095728741918e-02,4.569519179703e-03,-3.409077133877e-03,-3.876157843300e-03,3.226834228327e-04,5.036088280596e-03,1.295351333764e-02,1.538363067476e-02,1.894360655363e-02,1.523014579669e-02,2.787750727072e-03,-4.463695946634e-03,2.528835485698e-02,2.624584071207e-02,2.104125049955e-02,2.118925276995e-02,1.161850263934e-02,2.432399318985e-02,2.528835485699e-02,1.848604761822e-02,2.097340165419e-02,1.340665687485e-02,6.402954505745e-03,1.200292333720e-02,-2.188752193730e-02,1.902740589789e-02,-2.186265993425e-02,2.147578291153e-03,1.521763063287e-02
b03,-1.150792644816e-02,2.971844585018e-03,-1.017039404300e-02,-1.017039419294e-02,-1.134083803116e-02,-1.117133165865e-02,-1.644867443234e-02,-2.071820199104e-03,-5.027375520512e-03,-2.368574139683e-03,-2.672091378190e-03,7.517787936564e-03,3.496420701466e-03,-1.025406094484e-05,-3.057713220471e-03,-1.568541253160e-02,-1.753690662355e-02,-1.543782787803e-02,-1.940139437569e-02,1.542915232605e-02,-3.797772791122e-04,-2.455059836741e-03,-3.856650900056e-03,2.744429761532e-03,-1.261029282440e-02,-8.840249405933e-03,-3.797772791125e-04,-8.522876304999e-03,-1.109729932282e-02,-7.660484913040e-03,-3.199097871667e-03,1.047776277705e-03,2.721049810374e-02,-2.697114597780e-02,2.723670970964e-02,-9.513097137045e-03,-2.056846141063e-02
b04,-1.150792691697e-02,2.971845325749e-03,-1.017039387327e-02,-1.017039402322e-02,-1.134083797806e-02,-1.117133158237e-02,-1.644867546495e-02,-2.071820466484e-03,-5.027376203551e-03,-2.368574423441e-03,-2.672091148699e-03,7.517788155182e-03,3.496420666741e-03,-1.025438409826e-05,-3.057714039514e-03,-1.568541345597e-02,-1.753690776897e-02,-1.543782879354e-02,-1.940139447682e-02,1.542915255065e-02,-3.797789004886e-04,-2.455061511245e-03,-3.856652234933e-03,2.744428390694e-03,-1.261029351947e-02,-8.840250931504e-03,-3.797789004889e-04,-8.522877457189e-03,-1.109730062431e-02,-7.660485742712e-03,-3.199098269757e-03,1.047775503208e-03,2.721049939931e-02,-2.697114709077e-02,2.723671100351e-02,-9.513097236732e-03,-2.056846230477e-02
b05,-1.308476127111e-02,2.570576263646e-04,-8.594353240604e-03,-8.594353222649e-03,-1.067478278440e-02,-1.032716034526e-02,-1.662436738533e-02,-3.979957247915e-03,-7.629361928017e-03,-4.575175355193e-03,-4.538971202585e-03,1.081734132201e-02,5.876084369091e-03,1.204984502155e-03,-4.552629268834e-03,-1.639480093182e-02,-1.700498210838e-02,-1.604854178281e-02,-2.089979029428e-02,1.309027305170e-02,-2.159696021038e-03,-3.946450681304e-03,-3.556949071712e-03,2.281576785112e-03,-1.274556690292e-02,-8.514861352791e-03,-2.159696021038e-03,-9.882546409922e-03,-1.240686206386e-02,-6.222392526600e-03,-5.228300901926e-04,1.912106204898e-03,2.790036600203e-02,-2.741293741369e-02,2.793916149168e-02,-1.277486551866e-02,-1.854201414911e-02
b06,-1.279188278676e-02,8.492318260560e-04,-8.961851085251e-03,-8.961851103825e-03,-1.084844852838e-02,-1.053933361068e-02,-1.662240446489e-02,-3.585455719260e-03,-7.100061007176e-03,-4.116221278058e-03,-4.153315203376e-03,1.011186993176e-02,5.358174443069e-03,9.257228348510e-04,-4.259367212772e-03,-1.627813671234e-02,-1.715432535144e-02,-1.594941482408e-02,-2.066792437907e-02,1.362656044896e-02,-1.788230374045e-03,-3.641662195950e-03,-3.632343688275e-03,2.400688801316e-03,-1.277821541135e-02,-8.612922531568e-03,-1.788230374045e-03,-9.642209018619e-03,-1.218797481302e-02,-6.585120672522e-03,-1.052043751221e-03,1.745210289104e-03,2.785260043014e-02,-2.740784613772e-02,2.788914199835e-02,-1.213583563858e-02,-1.903356279214e-02
b07,-7.695003758569e-04,3.248130859759e-02,-2.584883238455e-02,-2.584883436543e-02,-2.467334962868e-02,-2.494403949096e-02,-1.777594692593e-02,-3.823438235514e-03,-7.965833770251e-03,-2.650137778843e-03,4.467337048819e-03,-1.299162939146e-02,-1.262211869508e-02,-1.527497623957e-02,-1.215810711502e-02,-2.273754256296e-02,-2.753551521652e-02,-2.329879578367e-02,-9.644866927017e-03,1.444927701744e-02,-2.370126346366e-02,-2.597585449568e-02,-4.162953149860e-02,-2.397907671572e-02,-3.668140487606e-02,-4.699464537345e-02,-2.370126346366e-02,-2.558978539939e-02,-2.868562772475e-02,-3.901370295449e-02,-4.568784757072e-02,-3.384509791881e-02,3.545806897283e-02,-3.502156627906e-02,3.535324790255e-02,-3.447737668666e-03,-2.204018035390e-02
b08,7.282211670831e-03,4.332681922321e-03,-4.664861618073e-03,-4.664861877426e-03,-3.033152918692e-03,-3.378303315969e-03,-9.060759885955e-03,-2.733974298607e-02,-3.814011935855e-02,-2.731043345296e-02,9.011670156288e-03,-4.541248465745e-03,-4.943837617118e-03,-1.750455253082e-02,-3.253140466944e-02,-2.674545288656e-02,-1.368743539130e-02,-2.679536724183e-02,1.816592401416e-02,1.094548107981e-02,-2.648394462801e-02,-2.832795045409e-02,-3.082538869383e-02,-3.060811717475e-02,-3.695025481027e-03,-3.209048674962e-02,-2.648394462801e-02,-2.040200345314e-02,-2.098979347906e-02,-1.770215593296e-02,-1.492382400793e-02,-2.489290832862e-02,1.517437118888e-02,-1.927916282022e-02,1.512958422597e-02,1.602528223669e-02,-1.970744444994e-02
b09,8.915924350267e-03,3.880500477499e-03,-8.061844001737e-03,-8.061844218452e-03,-5.249075569124e-03,-5.846965341255e-03,-1.996409931210e-02,-2.444225998629e-02,-4.080194569776e-02,-2.416513700011e-02,1.429437684610e-02,-7.225824262938e-03,-9.297566018068e-03,-2.641610788461e-02,-4.370802818271e-02,-4.377748487915e-02,-2.652989840802e-02,-4.381985959962e-02,1.999781805482e-02,1.790606815928e-02,-3.627923988749e-02,-3.919596705081e-02,-4.184392021815e-02,-4.095526528406e-02,-7.315203923808e-03,-4.513044029558e-02,-3.627923988749e-02,-2.859364249783e-02,-3.009804178913e-02,-2.440277560446e-02,-2.043738597843e-02,-3.346099776260e-02,2.912717818500e-02,-3.252765476783e-02,2.905866135932e-02,1.615174378663e-02,-3.209779880039e-02
b10,8.047203764553e-03,4.509630404671e-03,-4.524811778071e-03,-4.524812049341e-03,-2.655487634243e-03,-3.052620931092e-03,-8.148531408231e-03,-2.684193492938e-02,-3.724741971003e-02,-2.690954513801e-02,9.248243297749e-03,-3.375130785575e-03,-3.462570757802e-03,-1.626499024495e-02,-3.166213272243e-02,-2.635262051383e-02,-1.333414805511e-02,-2.637114444642e-02,1.903994052372e-02,1.016005942157e-02,-2.575790954460e-02,-2.748625001629e-02,-2.997724560923e-02,-2.977995690943e-02,-2.890079457804e-03,-3.095290957679e-02,-2.575790954460e-02,-1.997479915524e-02,-2.030820946713e-02,-1.776006333892e-02,-1.371628498928e-02,-2.393475600684e-02,1.345151840280e-02,-1.746159415813e-02,1.341113707517e-02,1.736334226225e-02,-1.863558938513e-02
