layer,n_points,dominant_freq,dominant_period,dominant_power,nearest_periodic_target,nearest_target_abs_diff,power_near_2,power_near_8,power_near_18,power_near_32,max_power_near_targets
b03,108,5.000000000000e-01,2.000000000000e+00,1.752086581270e+45,2.000000000000e+00,0.000000000000e+00,1.752086581270e+45,1.614927279566e+44,1.549381601495e+45,7.147315596153e+43,1.752086581270e+45
b04,108,5.000000000000e-01,2.000000000000e+00,1.752086292802e+45,2.000000000000e+00,0.000000000000e+00,1.752086292802e+45,1.614927152257e+44,1.549381767367e+45,7.147316363180e+43,1.752086292802e+45
b06,108,5.000000000000e-01,2.000000000000e+00,1.204803467779e+43,2.000000000000e+00,0.000000000000e+00,1.204803467779e+43,1.063083615616e+42,1.064612475235e+43,4.253556108335e+41,1.204803467779e+43
b05,108,5.000000000000e-01,2.000000000000e+00,2.875657026345e+41,2.000000000000e+00,0.000000000000e+00,2.875657026345e+41,2.818307348201e+40,2.543577272006e+41,1.238507879342e+40,2.875657026345e+41
b22,108,9.259259259259e-03,1.080000000000e+02,2.613509051141e+34,3.200000000000e+01,7.600000000000e+01,4.056967770948e+31,1.062564686616e+34,5.328902810475e+33,1.997999693891e+34,1.997999693891e+34
b21,108,9.259259259259e-03,1.080000000000e+02,3.237335082745e+34,3.200000000000e+01,7.600000000000e+01,4.201589693565e+32,9.238735137922e+33,5.161657732487e+33,1.930422176334e+34,1.930422176334e+34
b32,108,9.259259259259e-03,1.080000000000e+02,8.938044967548e+33,3.200000000000e+01,7.600000000000e+01,8.573545366071e+32,2.575101137381e+33,2.945112443308e+32,5.335257401302e+33,5.335257401302e+33
b23,108,9.259259259259e-03,1.080000000000e+02,3.258279912713e+33,3.200000000000e+01,7.600000000000e+01,7.691315889248e+31,2.674083492413e+32,2.730529513141e+31,1.479585872552e+33,1.479585872552e+33
b31,108,9.259259259259e-03,1.080000000000e+02,3.578216062342e+33,3.200000000000e+01,7.600000000000e+01,1.086814150117e+32,6.411109655701e+32,7.354712308112e+31,1.441296191577e+33,1.441296191577e+33
b24,108,9.259259259259e-03,1.080000000000e+02,1.624388760700e+33,3.200000000000e+01,7.600000000000e+01,1.439338754531e+31,1.155036708966e+33,5.201800196773e+32,1.381383334128e+33,1.381383334128e+33
b30,108,9.259259259259e-03,1.080000000000e+02,1.532570614297e+33,3.200000000000e+01,7.600000000000e+01,7.595534825552e+31,2.158248765723e+32,1.100009515807e+32,7.836903205531e+32,7.836903205531e+32
b29,108,9.259259259259e-03,1.080000000000e+02,1.159537291718e+33,3.200000000000e+01,7.600000000000e+01,2.630549768756e+32,2.122003102731e+32,1.074086265917e+32,3.671875280677e+32,3.671875280677e+32
b28,108,9.259259259259e-03,1.080000000000e+02,1.393871104798e+33,3.200000000000e+01,7.600000000000e+01,2.190986063965e+32,2.151127957657e+32,1.521021293473e+32,2.838754435608e+32,2.838754435608e+32
b20,108,9.259259259259e-03,1.080000000000e+02,1.003520378499e+33,3.200000000000e+01,7.600000000000e+01,1.996101760720e+32,1.366585605170e+32,8.118074619828e+31,4.262912098045e+31,1.996101760720e+32
b02,108,9.259259259259e-03,1.080000000000e+02,4.036102796921e+31,3.200000000000e+01,7.600000000000e+01,1.187349591404e+31,1.777230898622e+30,1.325710304926e+31,4.772584139466e+29,1.325710304926e+31
b08,108,3.333333333333e-01,3.000000000000e+00,4.802672622342e+22,2.000000000000e+00,1.000000000000e+00,3.880496547046e+22,3.240692717933e+22,4.006251900491e+22,4.364072450036e+22,4.364072450036e+22
b10,108,4.166666666667e-01,2.400000000000e+00,2.593857954705e+21,2.000000000000e+00,4.000000000000e-01,2.184687000961e+21,2.214933365283e+21,2.153073236152e+21,2.374109776794e+21,2.374109776794e+21
b25,108,9.259259259259e-03,1.080000000000e+02,5.824719405782e+17,3.200000000000e+01,7.600000000000e+01,3.188418395171e+17,7.310507762642e+16,3.018634060017e+16,1.105689940300e+17,3.188418395171e+17
b15,108,2.962962962963e-01,3.375000000000e+00,5.858251818347e+16,2.000000000000e+00,1.375000000000e+00,1.362060344329e+16,1.415806467753e+14,2.202379442542e+15,2.391268811694e+16,2.391268811694e+16
b09,108,4.166666666667e-01,2.400000000000e+00,2.865010955647e+16,2.000000000000e+00,4.000000000000e-01,1.826861837384e+15,4.276942141748e+15,6.107561943100e+15,2.242356334918e+16,2.242356334918e+16
b14,108,2.962962962963e-01,3.375000000000e+00,3.618566610505e+15,2.000000000000e+00,1.375000000000e+00,2.076816046014e+14,1.563854153427e+14,9.904470451313e+14,2.955344590051e+15,2.955344590051e+15
b13,108,1.203703703704e-01,8.307692307692e+00,3.056973763015e+14,8.000000000000e+00,3.076923076923e-01,3.415361000388e+13,1.127435294478e+14,1.648686321136e+14,2.612774563824e+14,2.612774563824e+14
b27,108,9.259259259259e-03,1.080000000000e+02,3.602021061281e+13,3.200000000000e+01,7.600000000000e+01,4.674899008060e+11,1.027947916907e+13,5.743118765380e+12,2.147884342705e+13,2.147884342705e+13
b26,108,9.259259259259e-03,1.080000000000e+02,2.919153089469e+12,3.200000000000e+01,7.600000000000e+01,9.031519197916e+10,3.924109928023e+11,2.931886229486e+10,2.348474041194e+12,2.348474041194e+12
