r,cum_explained_variance,residual_energy_fraction
1,2.358511096017e-01,7.641488903983e-01
2,4.081670634440e-01,5.918329365560e-01
3,5.218634154747e-01,4.781365845253e-01
4,6.177981707875e-01,3.822018292125e-01
5,6.917585919997e-01,3.082414080003e-01
6,7.637047484496e-01,2.362952515504e-01
7,8.152009600118e-01,1.847990399882e-01
8,8.464092619198e-01,1.535907380802e-01
9,8.735359403725e-01,1.264640596275e-01
10,8.980651200223e-01,1.019348799777e-01
11,9.196028389106e-01,8.039716108938e-02
12,9.374252680204e-01,6.257473197960e-02
13,9.522338773655e-01,4.776612263449e-02
14,9.651240958619e-01,3.487590413808e-02
15,9.747993089052e-01,2.520069109475e-02
16,9.824044785552e-01,1.759552144478e-02
17,9.875559066315e-01,1.244409336849e-02
18,9.908125978015e-01,9.187402198506e-03
19,9.931980780134e-01,6.801921986555e-03
20,9.950553172093e-01,4.944682790740e-03
21,9.964903804262e-01,3.509619573827e-03
22,9.975459397739e-01,2.454060226088e-03
23,9.984229724472e-01,1.577027552835e-03
24,9.990395630165e-01,9.604369835160e-04
25,9.994572790021e-01,5.427209979266e-04
26,9.998012904886e-01,1.987095113506e-04
27,9.998920954339e-01,1.079045660702e-04
28,9.999690175845e-01,3.098241554744e-05
29,9.999889246680e-01,1.107533199851e-05
30,9.999950217466e-01,4.978253404397e-06
