K,cumvar,delta_cumvar,cv_r2_predict_k_from_prev,delta_cv_r2
1,2.358511096017e-01,2.358511096017e-01,,0.000000000000e+00
2,4.081670634440e-01,1.723159538423e-01,-5.329448391052e-02,-5.329448391052e-02
3,5.218634154747e-01,1.136963520307e-01,-4.828384220128e+09,-4.828384220075e+09
4,6.177981707875e-01,9.593475531281e-02,-4.084358550785e+05,4.827975784273e+09
5,6.917585919997e-01,7.396042121221e-02,-4.453875590169e+05,-3.695170393832e+04
6,7.637047484496e-01,7.194615644993e-02,-1.582941604697e+04,4.295581429699e+05
7,8.152009600118e-01,5.149621156214e-02,-2.941421007400e-01,1.582912190487e+04
8,8.464092619198e-01,3.120830190805e-02,-1.265522489037e+02,-1.262581068029e+02
9,8.735359403725e-01,2.712667845264e-02,2.364468762125e-01,1.267886957799e+02
10,8.980651200223e-01,2.452917964983e-02,-1.306946243803e+01,-1.330590931424e+01
11,9.196028389106e-01,2.153771888833e-02,-6.576884808062e+02,-6.446190183681e+02
12,9.374252680204e-01,1.782242910977e-02,-8.146147395341e+07,-8.146081626493e+07
13,9.522338773655e-01,1.480860934511e-02,-2.109029938581e+06,7.935244401483e+07
14,9.651240958619e-01,1.289021849641e-02,-2.287743648321e+01,2.109007061145e+06
15,9.747993089052e-01,9.675213043330e-03,-4.874290495395e+00,1.800314598781e+01
16,9.824044785552e-01,7.605169649973e-03,5.148010465849e-01,5.389091541979e+00
17,9.875559066315e-01,5.151428076287e-03,6.118063859270e-01,9.700533934210e-02
18,9.908125978015e-01,3.256691169984e-03,9.346270648492e-01,3.228206789222e-01
19,9.931980780134e-01,2.385480211952e-03,-2.547976245132e-01,-1.189424689362e+00
20,9.950553172093e-01,1.857239195815e-03,-2.338733225315e-01,2.092430198169e-02
21,9.964903804262e-01,1.435063216913e-03,-7.417014064328e-01,-5.078280839014e-01
22,9.975459397739e-01,1.055559347740e-03,9.995461958992e-01,1.741247602332e+00
23,9.984229724472e-01,8.770326732529e-04,4.072724612613e-01,-5.922737346379e-01
24,9.990395630165e-01,6.165905693186e-04,-4.472563046930e-01,-8.545287659543e-01
25,9.994572790021e-01,4.177159855894e-04,7.399059228588e-01,1.187162227552e+00
26,9.998012904886e-01,3.440114865760e-04,9.720508729719e-01,2.321449501131e-01
27,9.998920954339e-01,9.080494528035e-05,9.981348666176e-01,2.608399364575e-02
28,9.999690175845e-01,7.692215052280e-05,6.194515906194e-01,-3.786832759982e-01
29,9.999889246680e-01,1.990708354893e-05,9.525985967697e-01,3.331470061503e-01
30,9.999950217466e-01,6.097078594114e-06,5.130420134947e-01,-4.395565832750e-01
31,9.999994991089e-01,4.477362315791e-06,-9.129660429709e-01,-1.426008056466e+00
32,9.999998339530e-01,3.348441207640e-07,-4.688827408055e+00,-3.775861365084e+00
33,9.999999991544e-01,1.652013679188e-07,4.180600798265e-01,5.106887487881e+00
34,1.000000000000e+00,8.456003675050e-10,4.444727937366e-01,2.641271391012e-02
35,1.000000000000e+00,0.000000000000e+00,9.975886341855e-01,5.531158404489e-01
36,1.000000000000e+00,0.000000000000e+00,4.040951437784e-01,-5.934934904071e-01
37,1.000000000000e+00,0.000000000000e+00,7.418486136976e-01,3.377534699192e-01
38,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.581513863024e-01
39,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
40,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
41,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
42,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
43,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
44,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
45,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
46,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
47,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
48,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
49,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
50,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
51,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
52,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
53,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
54,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
55,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
56,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
57,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
58,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
59,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
60,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
