property,layer,n_valid,partial_corr,abs_partial_corr,p_value,ci_low,ci_high
atomic_mass,b23,108,6.497369240132e-01,6.497369240132e-01,2.664535259100e-15,5.133879837533e-01,7.456754657073e-01
atomic_mass,b26,108,6.048615322315e-01,6.048615322315e-01,8.897327319346e-13,4.606870644265e-01,7.271325981958e-01
atomic_mass,b28,108,5.203445197584e-01,5.203445197584e-01,4.044768520117e-09,3.657970497002e-01,6.566128711453e-01
atomic_mass,b29,108,4.922661888277e-01,4.922661888277e-01,3.858216857111e-08,3.322246113383e-01,6.367284011200e-01
atomic_mass,b35,108,4.722791901359e-01,4.722791901359e-01,1.680564958306e-07,3.300792827351e-01,6.180508825534e-01
atomic_mass,b31,108,4.714883542798e-01,4.714883542798e-01,1.777515254986e-07,3.384668398272e-01,5.911309234614e-01
atomic_mass,b33,108,4.713076310341e-01,4.713076310341e-01,1.800404294539e-07,3.145401390308e-01,6.175382729447e-01
atomic_mass,b20,108,4.492577645613e-01,4.492577645613e-01,8.076697959325e-07,2.813393918747e-01,5.898255799540e-01
atomic_mass,b32,108,4.484388839769e-01,4.484388839769e-01,8.520692753589e-07,3.197831373550e-01,5.884417493945e-01
atomic_mass,b21,108,4.476023407168e-01,4.476023407168e-01,8.998039120467e-07,2.873632191659e-01,5.986684473783e-01
atomic_mass,b27,108,4.476023407167e-01,4.476023407167e-01,8.998039120467e-07,2.424855703562e-01,6.011418595506e-01
atomic_mass,b30,108,4.433385479229e-01,4.433385479229e-01,1.185019902650e-06,3.050439919068e-01,6.071178185472e-01
atomic_mass,b37,108,-4.174662852725e-01,4.174662852725e-01,5.780908262309e-06,-5.785868296183e-01,-2.406339163806e-01
atomic_mass,b22,108,3.944007046957e-01,3.944007046957e-01,2.113125074787e-05,1.696970351854e-01,5.533061807421e-01
atomic_mass,b24,108,3.913474013470e-01,3.913474013470e-01,2.489288751262e-05,1.470313023680e-01,5.635964853497e-01
atomic_mass,b02,108,-3.838809778251e-01,3.838809778251e-01,3.688672576652e-05,-5.114877667137e-01,-2.638327549144e-01
atomic_mass,b25,108,3.678387092870e-01,3.678387092870e-01,8.297507517696e-05,1.311529709088e-01,5.531325977657e-01
atomic_mass,b34,108,-2.879093099514e-01,2.879093099514e-01,2.515031320835e-03,-4.968166488675e-01,-1.062717387848e-01
atomic_mass,b07,108,-2.031248860749e-01,2.031248860749e-01,3.566803205570e-02,-3.466002625148e-01,-5.007189065644e-02
atomic_mass,b19,108,-1.814414618879e-01,1.814414618879e-01,6.133635449347e-02,-3.899479835706e-01,3.237881732976e-02
atomic_mass,b16,108,-1.736269642386e-01,1.736269642386e-01,7.365083368710e-02,-3.101945018330e-01,-3.486698991929e-02
atomic_mass,b18,108,-1.656678417883e-01,1.656678417883e-01,8.815653248027e-02,-3.021002596798e-01,-1.359480296875e-02
atomic_mass,b10,108,1.636889681216e-01,1.636889681216e-01,9.209279722998e-02,-1.427711863907e-01,3.126459230917e-01
atomic_mass,b08,108,1.525643341408e-01,1.525643341408e-01,1.168578473580e-01,-2.446818672429e-01,3.103661510091e-01
atomic_mass,b17,108,-1.265898932137e-01,1.265898932137e-01,1.943108164850e-01,-2.943291784167e-01,3.181887840367e-02
atomic_mass,b09,108,1.214185299830e-01,1.214185299830e-01,2.133633598384e-01,-2.355745227469e-01,3.015642597831e-01
atomic_mass,b12,108,-1.178040896792e-01,1.178040896792e-01,2.274418084551e-01,-2.314965278075e-01,1.429938046472e-01
atomic_mass,b11,108,1.119470283543e-01,1.119470283543e-01,2.516109017952e-01,-2.433827074167e-02,2.125196960074e-01
atomic_mass,b03,108,-1.029924833045e-01,1.029924833045e-01,2.918559400363e-01,-2.007819633562e-01,3.946518333177e-01
atomic_mass,b04,108,-1.029924588060e-01,1.029924588060e-01,2.918560556389e-01,-1.969863355868e-01,4.299878681169e-01
atomic_mass,b06,108,-9.335754674126e-02,9.335754674126e-02,3.396563872797e-01,-1.891143613062e-01,4.161899019259e-01
atomic_mass,b05,108,-8.929671438770e-02,8.929671438770e-02,3.611986238353e-01,-1.901379131790e-01,3.252819617401e-01
atomic_mass,b01,108,8.057882651475e-02,8.057882651475e-02,4.102058137355e-01,-1.296652938550e-01,2.536733730504e-01
atomic_mass,b13,108,-7.609377668967e-02,7.609377668967e-02,4.368577649493e-01,-2.167754570368e-01,2.408897285099e-01
atomic_mass,b14,108,-5.905556481986e-02,5.905556481986e-02,5.465402541778e-01,-2.199253328183e-01,1.628378540643e-01
atomic_mass,b15,108,-5.119537538438e-02,5.119537538438e-02,6.012879415943e-01,-2.375670543477e-01,1.094417063241e-01
atomic_mass,b36,108,3.976529677918e-02,3.976529677918e-02,6.849321769765e-01,-2.470043909156e-01,2.804306276764e-01
