property,layer,partial_corr_control_Z,abs_partial_corr_control_Z
atomic_mass,b23,6.497369240132e-01,6.497369240132e-01
atomic_mass,b26,6.048615322315e-01,6.048615322315e-01
atomic_mass,b28,5.203445197583e-01,5.203445197583e-01
atomic_mass,b29,4.922661888277e-01,4.922661888277e-01
atomic_mass,b35,4.722791901359e-01,4.722791901359e-01
atomic_mass,b31,4.714883542798e-01,4.714883542798e-01
atomic_mass,b33,4.713076310341e-01,4.713076310341e-01
atomic_mass,b20,4.492577645613e-01,4.492577645613e-01
atomic_mass,b32,4.484388839769e-01,4.484388839769e-01
atomic_mass,b27,4.476023407167e-01,4.476023407167e-01
atomic_mass,b21,4.476023407167e-01,4.476023407167e-01
atomic_mass,b30,4.433385479229e-01,4.433385479229e-01
atomic_mass,b37,-4.174662852725e-01,4.174662852725e-01
atomic_mass,b22,3.944007046957e-01,3.944007046957e-01
atomic_mass,b24,3.913474013469e-01,3.913474013469e-01
atomic_mass,b02,-3.838809778250e-01,3.838809778250e-01
atomic_mass,b25,3.678387092870e-01,3.678387092870e-01
atomic_mass,b34,-2.879093099514e-01,2.879093099514e-01
atomic_mass,b07,-2.031248860749e-01,2.031248860749e-01
atomic_mass,b19,-1.814414618879e-01,1.814414618879e-01
atomic_mass,b16,-1.736269642387e-01,1.736269642387e-01
atomic_mass,b18,-1.656678417883e-01,1.656678417883e-01
atomic_mass,b10,1.636889681216e-01,1.636889681216e-01
atomic_mass,b08,1.525643341408e-01,1.525643341408e-01
atomic_mass,b17,-1.265898932137e-01,1.265898932137e-01
atomic_mass,b09,1.214185299830e-01,1.214185299830e-01
atomic_mass,b12,-1.178040896792e-01,1.178040896792e-01
atomic_mass,b11,1.119470283543e-01,1.119470283543e-01
atomic_mass,b03,-1.029924833045e-01,1.029924833045e-01
atomic_mass,b04,-1.029924588060e-01,1.029924588060e-01
atomic_mass,b06,-9.335754674125e-02,9.335754674125e-02
atomic_mass,b05,-8.929671438770e-02,8.929671438770e-02
atomic_mass,b01,8.057882651475e-02,8.057882651475e-02
atomic_mass,b13,-7.609377668966e-02,7.609377668966e-02
atomic_mass,b14,-5.905556481986e-02,5.905556481986e-02
atomic_mass,b15,-5.119537538438e-02,5.119537538438e-02
atomic_mass,b36,3.976529677920e-02,3.976529677920e-02
atomic_radius,b01,,
atomic_radius,b02,,
atomic_radius,b03,,
atomic_radius,b04,,
atomic_radius,b05,,
atomic_radius,b06,,
atomic_radius,b07,,
atomic_radius,b08,,
atomic_radius,b09,,
atomic_radius,b10,,
atomic_radius,b11,,
atomic_radius,b12,,
atomic_radius,b13,,
atomic_radius,b14,,
atomic_radius,b15,,
atomic_radius,b16,,
atomic_radius,b17,,
atomic_radius,b18,,
atomic_radius,b19,,
atomic_radius,b20,,
atomic_radius,b21,,
atomic_radius,b22,,
atomic_radius,b23,,
atomic_radius,b24,,
atomic_radius,b25,,
atomic_radius,b26,,
atomic_radius,b27,,
atomic_radius,b28,,
atomic_radius,b29,,
atomic_radius,b30,,
atomic_radius,b31,,
atomic_radius,b32,,
atomic_radius,b33,,
atomic_radius,b34,,
atomic_radius,b35,,
atomic_radius,b36,,
atomic_radius,b37,,
electronegativity,b01,,
electronegativity,b02,,
electronegativity,b03,,
electronegativity,b04,,
electronegativity,b05,,
electronegativity,b06,,
electronegativity,b07,,
electronegativity,b08,,
electronegativity,b09,,
electronegativity,b10,,
electronegativity,b11,,
electronegativity,b12,,
electronegativity,b13,,
electronegativity,b14,,
electronegativity,b15,,
electronegativity,b16,,
electronegativity,b17,,
electronegativity,b18,,
electronegativity,b19,,
electronegativity,b20,,
electronegativity,b21,,
electronegativity,b22,,
electronegativity,b23,,
electronegativity,b24,,
electronegativity,b25,,
electronegativity,b26,,
electronegativity,b27,,
electronegativity,b28,,
electronegativity,b29,,
electronegativity,b30,,
electronegativity,b31,,
electronegativity,b32,,
electronegativity,b33,,
electronegativity,b34,,
electronegativity,b35,,
electronegativity,b36,,
electronegativity,b37,,
ionization_energy,b01,,
ionization_energy,b02,,
ionization_energy,b03,,
ionization_energy,b04,,
ionization_energy,b05,,
ionization_energy,b06,,
ionization_energy,b07,,
ionization_energy,b08,,
ionization_energy,b09,,
ionization_energy,b10,,
ionization_energy,b11,,
ionization_energy,b12,,
ionization_energy,b13,,
ionization_energy,b14,,
ionization_energy,b15,,
ionization_energy,b16,,
ionization_energy,b17,,
ionization_energy,b18,,
ionization_energy,b19,,
ionization_energy,b20,,
ionization_energy,b21,,
ionization_energy,b22,,
ionization_energy,b23,,
ionization_energy,b24,,
ionization_energy,b25,,
ionization_energy,b26,,
ionization_energy,b27,,
ionization_energy,b28,,
ionization_energy,b29,,
ionization_energy,b30,,
ionization_energy,b31,,
ionization_energy,b32,,
ionization_energy,b33,,
ionization_energy,b34,,
ionization_energy,b35,,
ionization_energy,b36,,
ionization_energy,b37,,
