layer,property,n_valid,partial_corr_control_Z,p_value,abs_partial_corr
b01,atomic_radius,0,,,
b02,atomic_radius,0,,,
b03,atomic_radius,0,,,
b04,atomic_radius,0,,,
b05,atomic_radius,0,,,
b06,atomic_radius,0,,,
b07,atomic_radius,0,,,
b08,atomic_radius,0,,,
b09,atomic_radius,0,,,
b10,atomic_radius,0,,,
b11,atomic_radius,0,,,
b12,atomic_radius,0,,,
b13,atomic_radius,0,,,
b14,atomic_radius,0,,,
b15,atomic_radius,0,,,
b16,atomic_radius,0,,,
b17,atomic_radius,0,,,
b18,atomic_radius,0,,,
b19,atomic_radius,0,,,
b20,atomic_radius,0,,,
b21,atomic_radius,0,,,
b22,atomic_radius,0,,,
b23,atomic_radius,0,,,
b24,atomic_radius,0,,,
b25,atomic_radius,0,,,
b26,atomic_radius,0,,,
b27,atomic_radius,0,,,
b28,atomic_radius,0,,,
b29,atomic_radius,0,,,
b30,atomic_radius,0,,,
b31,atomic_radius,0,,,
b32,atomic_radius,0,,,
b33,atomic_radius,0,,,
b34,atomic_radius,0,,,
b35,atomic_radius,0,,,
b36,atomic_radius,0,,,
b37,atomic_radius,0,,,
b01,electronegativity,0,,,
b02,electronegativity,0,,,
b03,electronegativity,0,,,
b04,electronegativity,0,,,
b05,electronegativity,0,,,
b06,electronegativity,0,,,
b07,electronegativity,0,,,
b08,electronegativity,0,,,
b09,electronegativity,0,,,
b10,electronegativity,0,,,
b11,electronegativity,0,,,
b12,electronegativity,0,,,
b13,electronegativity,0,,,
b14,electronegativity,0,,,
b15,electronegativity,0,,,
b16,electronegativity,0,,,
b17,electronegativity,0,,,
b18,electronegativity,0,,,
b19,electronegativity,0,,,
b20,electronegativity,0,,,
b21,electronegativity,0,,,
b22,electronegativity,0,,,
b23,electronegativity,0,,,
b24,electronegativity,0,,,
b25,electronegativity,0,,,
b26,electronegativity,0,,,
b27,electronegativity,0,,,
b28,electronegativity,0,,,
b29,electronegativity,0,,,
b30,electronegativity,0,,,
b31,electronegativity,0,,,
b32,electronegativity,0,,,
b33,electronegativity,0,,,
b34,electronegativity,0,,,
b35,electronegativity,0,,,
b36,electronegativity,0,,,
b37,electronegativity,0,,,
b01,first_ionization_energy,0,,,
b02,first_ionization_energy,0,,,
b03,first_ionization_energy,0,,,
b04,first_ionization_energy,0,,,
b05,first_ionization_energy,0,,,
b06,first_ionization_energy,0,,,
b07,first_ionization_energy,0,,,
b08,first_ionization_energy,0,,,
b09,first_ionization_energy,0,,,
b10,first_ionization_energy,0,,,
b11,first_ionization_energy,0,,,
b12,first_ionization_energy,0,,,
b13,first_ionization_energy,0,,,
b14,first_ionization_energy,0,,,
b15,first_ionization_energy,0,,,
b16,first_ionization_energy,0,,,
b17,first_ionization_energy,0,,,
b18,first_ionization_energy,0,,,
b19,first_ionization_energy,0,,,
b20,first_ionization_energy,0,,,
b21,first_ionization_energy,0,,,
b22,first_ionization_energy,0,,,
b23,first_ionization_energy,0,,,
b24,first_ionization_energy,0,,,
b25,first_ionization_energy,0,,,
b26,first_ionization_energy,0,,,
b27,first_ionization_energy,0,,,
b28,first_ionization_energy,0,,,
b29,first_ionization_energy,0,,,
b30,first_ionization_energy,0,,,
b31,first_ionization_energy,0,,,
b32,first_ionization_energy,0,,,
b33,first_ionization_energy,0,,,
b34,first_ionization_energy,0,,,
b35,first_ionization_energy,0,,,
b36,first_ionization_energy,0,,,
b37,first_ionization_energy,0,,,
