K,scheme,tau,num_edges,num_nodes
5,percentile_90,8.994801087222e-01,578,108
5,percentile_95,1.125479529746e+00,292,108
5,percentile_97,1.291469500021e+00,174,108
5,percentile_99,3.360795554682e+00,58,108
5,fixed_density,1.125479529746e+00,289,108
6,percentile_90,9.085879928543e-01,578,108
6,percentile_95,1.134904468005e+00,292,108
6,percentile_97,1.300894300325e+00,174,108
6,percentile_99,3.370220256426e+00,58,108
6,fixed_density,1.134904468005e+00,289,108
7,percentile_90,1.037977286911e+00,578,108
7,percentile_95,1.303479708505e+00,289,108
7,percentile_97,1.593222742021e+00,174,108
7,percentile_99,4.772329036419e+00,101,108
7,fixed_density,1.303780453418e+00,289,108
8,percentile_90,1.043855638418e+00,578,108
8,percentile_95,1.307103160540e+00,289,108
8,percentile_97,1.601718247008e+00,174,108
8,percentile_99,4.786376018474e+00,101,108
8,fixed_density,1.308923634139e+00,289,108
9,percentile_90,1.049016254707e+00,578,108
9,percentile_95,1.389352302677e+00,289,108
9,percentile_97,1.736308865293e+00,175,108
9,percentile_99,4.734413327339e+00,101,108
9,fixed_density,1.390348425121e+00,289,108
10,percentile_90,1.039493691952e+00,578,108
10,percentile_95,1.356108886575e+00,289,108
10,percentile_97,1.615370963803e+00,179,108
10,percentile_99,4.745802991721e+00,101,108
10,fixed_density,1.357226966142e+00,289,108
11,percentile_90,1.042996167682e+00,578,108
11,percentile_95,1.362924850957e+00,289,108
11,percentile_97,1.620905887363e+00,179,108
11,percentile_99,4.751406973939e+00,101,108
11,fixed_density,1.364234808020e+00,289,108
12,percentile_90,1.035733406685e+00,578,108
12,percentile_95,1.343959538892e+00,289,108
12,percentile_97,1.634370680303e+00,177,108
12,percentile_99,4.764872816854e+00,101,108
12,fixed_density,1.344838800504e+00,289,108
13,percentile_90,1.039331413383e+00,578,108
13,percentile_95,1.348096477512e+00,289,108
13,percentile_97,1.601319974587e+00,174,108
13,percentile_99,4.776161835393e+00,102,108
13,fixed_density,1.349974543650e+00,289,108
14,percentile_90,1.059296081431e+00,578,108
14,percentile_95,1.377223017836e+00,289,108
14,percentile_97,1.709609370054e+00,174,108
14,percentile_99,4.821425385220e+00,108,108
14,fixed_density,1.377706660012e+00,289,108
15,percentile_90,1.124460246309e+00,578,108
15,percentile_95,1.460438094207e+00,289,108
15,percentile_97,1.871006731373e+00,174,108
15,percentile_99,4.913698788228e+00,58,108
15,fixed_density,1.461872240729e+00,289,108
16,percentile_90,1.173706421735e+00,578,108
16,percentile_95,1.483128442181e+00,289,108
16,percentile_97,1.826089107536e+00,174,108
16,percentile_99,8.906286860358e+00,77,108
16,fixed_density,1.483913545057e+00,289,108
17,percentile_90,1.213913383167e+00,578,108
17,percentile_95,1.502544830572e+00,289,108
17,percentile_97,1.853988968006e+00,174,108
17,percentile_99,1.289616692568e+01,71,108
17,fixed_density,1.506090754588e+00,289,108
18,percentile_90,1.261514200681e+00,578,108
18,percentile_95,1.546500377627e+00,289,108
18,percentile_97,1.930996083252e+00,174,108
18,percentile_99,1.691421442565e+01,65,108
18,fixed_density,1.554637072847e+00,289,108
19,percentile_90,1.562553596990e+00,578,108
19,percentile_95,2.291248437076e+00,289,108
19,percentile_97,3.120377763244e+00,174,108
19,percentile_99,1.552936495358e+01,64,108
19,fixed_density,2.292527853308e+00,289,108
20,percentile_90,1.872976211435e+00,578,108
20,percentile_95,2.805912552391e+00,289,108
20,percentile_97,3.932769743389e+00,174,108
20,percentile_99,1.632579766944e+01,58,108
20,fixed_density,2.806530548227e+00,289,108
21,percentile_90,1.956968130391e+00,578,108
21,percentile_95,2.914467865470e+00,289,108
21,percentile_97,4.294724489982e+00,174,108
21,percentile_99,1.644374967569e+01,58,108
21,fixed_density,2.916367833926e+00,289,108
22,percentile_90,1.999431428482e+00,578,108
22,percentile_95,2.956714375182e+00,289,108
22,percentile_97,4.611574441377e+00,174,108
22,percentile_99,1.658807955757e+01,58,108
22,fixed_density,2.964557391783e+00,289,108
23,percentile_90,2.182738566551e+00,578,108
23,percentile_95,3.224384399759e+00,289,108
23,percentile_97,4.937504323938e+00,174,108
23,percentile_99,1.675037745478e+01,58,108
23,fixed_density,3.224828722450e+00,289,108
24,percentile_90,2.162622055807e+00,578,108
24,percentile_95,3.116360992468e+00,289,108
24,percentile_97,4.617530643431e+00,174,108
24,percentile_99,1.645117001728e+01,58,108
24,fixed_density,3.137671932590e+00,289,108
25,percentile_90,2.232875624906e+00,578,108
25,percentile_95,3.374482678591e+00,289,108
25,percentile_97,4.682519654273e+00,174,108
25,percentile_99,1.596845491987e+01,58,108
25,fixed_density,3.375511371256e+00,289,108
26,percentile_90,2.233196958775e+00,578,108
26,percentile_95,3.637909601436e+00,289,108
26,percentile_97,5.039676202270e+00,174,108
26,percentile_99,1.549392132276e+01,58,108
26,fixed_density,3.654805058034e+00,289,108
27,percentile_90,2.420302559390e+00,578,108
27,percentile_95,3.952031385898e+00,289,108
27,percentile_97,5.808792984582e+00,174,108
27,percentile_99,1.546504875897e+01,58,108
27,fixed_density,3.955509288934e+00,289,108
28,percentile_90,2.643036815034e+00,578,108
