src,dst,weight
Ac,Be,3.995518696126e+00
Ac,He,4.660489328655e+00
Ac,Na,5.103410275546e+00
Ac,O,4.100876123997e+00
Ag,He,6.832316455678e+00
Am,Ar,5.497454835529e+00
Am,At,7.963489889644e+00
Am,Be,5.048389986785e+00
Am,He,1.278966438193e+01
Am,Kr,5.035407306068e+00
Am,Na,5.141586467318e+00
Am,Ne,6.572964996344e+00
Ar,Bh,5.696538844050e+00
Ar,Bi,1.012474450173e+01
Ar,Bk,6.158114026809e+00
Ar,Cf,5.828322024624e+00
Ar,Cm,6.020562348677e+00
Ar,Db,5.078540204024e+00
Ar,Es,5.497152903909e+00
Ar,Fm,4.848997852017e+00
Ar,H,6.248642154855e+00
Ar,Hs,5.608253324046e+00
Ar,Md,4.910797716018e+00
Ar,Mo,2.525381051466e+01
Ar,No,4.941167934900e+00
Ar,Np,6.052860502354e+00
Ar,Pa,5.859420687479e+00
Ar,Pu,5.961442328798e+00
Ar,Rf,4.511747165603e+00
Ar,Sg,5.784824364054e+00
Ar,U,6.171599001697e+00
At,Ce,8.519583996672e+00
At,Cf,6.522411772745e+00
At,Dy,7.298882947752e+00
At,Er,6.757158763936e+00
At,Es,1.345201088202e+01
At,Eu,6.721123141759e+00
At,Gd,6.124494467965e+00
At,He,6.355948021612e+00
At,Ho,4.288766884759e+00
At,Ir,5.849271592436e+00
At,La,4.773689915857e+00
At,Lu,4.407817097585e+00
At,Mn,7.204956109186e+00
At,Nd,7.621439653747e+00
At,Ni,4.718491486618e+00
At,Os,5.397665078504e+00
At,Pm,7.815312461981e+00
At,Po,4.969256340176e+00
At,Pr,6.141574178037e+00
At,Re,5.161904974421e+00
At,Rh,3.998899006725e+00
At,Rn,4.739547783648e+00
At,Ru,4.519929984955e+00
At,Sm,6.108892810699e+00
At,Ta,4.565092308053e+00
At,Tb,6.159327486395e+00
At,Tc,4.412371120846e+00
At,Tm,6.847672064051e+00
At,Yb,6.329482893880e+00
Au,Ce,3.976448102234e+00
B,Ce,5.032539996495e+00
B,Co,4.048189043001e+00
B,Ge,3.955509288934e+00
B,Nb,4.048182780965e+00
B,Nd,4.395058280132e+00
B,Pd,4.057342536712e+00
B,Tb,4.025290815156e+00
B,Th,4.073026216424e+00
B,Ti,4.119926526049e+00
B,V,4.083932764065e+00
Ba,Bi,1.820473313411e+01
Ba,Br,4.324102102048e+00
Ba,F,7.239149498433e+00
Ba,Mo,8.070383321066e+00
Be,Bh,4.192472849753e+00
