src,dst,weight
Ac,Ar,6.206963458896e+00
Ac,B,3.793970886466e+00
Ac,Be,5.410091304545e+00
Ac,C,3.946205866081e+00
Ac,Ca,3.707798252757e+00
Ac,Cl,5.247116371900e+00
Ac,F,6.495625448826e+00
Ac,Ge,3.569316390297e+00
Ac,He,1.504697789263e+01
Ac,Kr,6.208416779572e+00
Ac,N,6.031631375006e+00
Ac,Na,4.465408936704e+00
Ac,Ne,8.492838859063e+00
Ac,O,8.166661521273e+00
Ac,S,3.495414052616e+00
Ac,Xe,4.116402862105e+00
Ag,He,4.814819848442e+00
Am,Ar,5.679098929153e+00
Am,At,7.938036196344e+00
Am,Be,5.098934866174e+00
Am,Ca,3.798121275475e+00
Am,Ce,3.680879144182e+00
Am,He,1.315561473330e+01
Am,Kr,5.183930229381e+00
Am,Mn,3.246149218456e+00
Am,Na,5.106225284337e+00
Am,Ne,6.874617196788e+00
Am,O,3.391925443462e+00
Ar,At,3.875442592216e+00
Ar,Ba,3.367567839665e+00
Ar,Bh,3.816588591993e+00
Ar,Bi,1.026974004920e+01
Ar,Bk,6.070160423038e+00
Ar,Cf,5.639249142826e+00
Ar,Cm,6.180023937795e+00
Ar,Co,8.758237049964e+00
Ar,Cs,4.272468968011e+00
Ar,Db,4.242963987268e+00
Ar,Es,5.203967866496e+00
Ar,Fm,4.401331991230e+00
Ar,Fr,4.148794924836e+00
Ar,Ho,4.558899540434e+00
Ar,Hs,3.877499362746e+00
Ar,Lr,5.156320994722e+00
Ar,Md,4.358694451701e+00
Ar,Mo,2.790110427073e+01
Ar,Nb,8.733629459818e+00
Ar,No,4.337741146563e+00
Ar,Np,5.883365157830e+00
Ar,Pa,6.142816651402e+00
Ar,Pd,8.781971816081e+00
Ar,Pm,3.580641427138e+00
Ar,Pr,4.114963184014e+00
Ar,Pu,6.080573176596e+00
Ar,Ra,4.788770281896e+00
Ar,Rf,4.634011135508e+00
Ar,Rh,3.899972986052e+00
Ar,Sg,3.755677821239e+00
Ar,U,6.088210804421e+00
Ar,Y,3.982388727384e+00
Ar,Zr,3.915636952263e+00
As,Ce,4.001758641916e+00
At,Ce,8.206287788079e+00
At,Cf,6.518815355054e+00
At,Dy,7.069684967821e+00
At,Er,6.540795701886e+00
At,Es,1.345455286163e+01
At,Eu,6.580157582080e+00
At,F,4.151999581067e+00
At,Gd,5.877417141474e+00
At,He,7.640879411383e+00
At,Ho,4.018784513855e+00
At,Ir,5.719706369568e+00
At,La,4.526023846329e+00
At,Lu,4.244403626313e+00
At,Mn,7.188550514136e+00
At,Nd,7.336988555694e+00
At,Ni,4.633214356052e+00
At,Os,5.241424457352e+00
At,Pm,7.565408614656e+00
At,Po,4.951999782033e+00
At,Pr,5.824560529772e+00
At,Re,5.033250329864e+00
At,Rh,3.795990683720e+00
At,Rn,4.974549252555e+00
At,Ru,4.310440111321e+00
At,Sm,5.834598764264e+00
At,Ta,4.338087149489e+00
At,Tb,5.866591637484e+00
At,Tc,4.196626378150e+00
At,Tm,6.694289483583e+00
At,Yb,6.255690144825e+00
At,Zr,3.606731294275e+00
Au,Ca,3.337665696084e+00
Au,Ce,4.001195370753e+00
Au,He,3.427513005454e+00
B,Ba,3.788835065620e+00
B,Ce,5.881934988475e+00
B,Co,5.224940878790e+00
B,Cs,3.687425384866e+00
B,Dy,4.504181344706e+00
B,Er,4.271773317587e+00
B,Fe,3.842187194591e+00
B,Gd,4.430832110834e+00
B,Ge,3.697982271697e+00
B,Ho,3.586720809009e+00
B,La,3.485706854618e+00
B,Nb,5.224934616754e+00
B,Nd,5.167791430167e+00
B,Pd,5.234094372501e+00
B,Pm,3.387507959497e+00
B,Pr,4.523802424212e+00
B,Ra,3.457327874673e+00
B,Sc,3.931718944331e+00
B,Si,3.252125389616e+00
B,Sm,4.410549247426e+00
B,Sr,3.313956658601e+00
B,Tb,4.827190132552e+00
B,Th,4.695696207806e+00
B,Ti,4.655028318472e+00
B,U,3.237637079538e+00
B,V,4.658458636462e+00
B,Zr,3.375701779459e+00
Ba,Be,3.571500796977e+00
Ba,Bi,1.817339727119e+01
Ba,Br,5.413003977644e+00
Ba,F,9.754184462546e+00
Ba,He,3.815900825132e+00
Ba,Mo,7.521359880048e+00
Be,Bh,3.674184373644e+00
Be,Bk,5.798566495597e+00
Be,Ce,5.140036221056e+00
Be,Cf,5.135736450864e+00
Be,Cm,5.897409893583e+00
Be,Co,7.634495118502e+00
Be,Cs,4.507508874417e+00
Be,Db,4.005030057577e+00
Be,Dy,3.850414070393e+00
Be,Er,3.763125848872e+00
Be,Es,4.495458930704e+00
Be,Fm,4.127915597324e+00
Be,Fr,4.055966463973e+00
Be,Gd,4.189060081411e+00
Be,Ho,4.914108171000e+00
Be,Hs,3.721448042777e+00
Be,In,3.477135811150e+00
Be,La,4.208113227489e+00
Be,Lr,4.713748776232e+00
Be,Lu,3.804757329501e+00
Be,Md,4.094831028931e+00
Be,Nb,7.659385007812e+00
Be,Nd,4.934067869243e+00
Be,No,4.078572326748e+00
Be,Np,5.536809351681e+00
Be,Pa,5.776313263880e+00
Be,Pd,7.645795802267e+00
Be,Pm,4.746136608107e+00
Be,Pr,5.417190403177e+00
Be,Pu,5.751342177335e+00
Be,Ra,4.538091888301e+00
Be,Rf,4.308462813413e+00
Be,Rh,3.693308597467e+00
Be,Ru,3.534278329088e+00
Be,Sg,3.626920704511e+00
Be,Sm,4.835232154188e+00
Be,Ta,3.727478557957e+00
Be,Tb,5.038194201391e+00
Be,Tc,3.504752902926e+00
Be,Th,3.997457011497e+00
Be,Ti,3.702662616471e+00
Be,U,5.843243183350e+00
Be,V,3.892194334543e+00
Be,Zr,4.459164881608e+00
Bh,Db,1.604499370316e+01
Bh,Fm,1.596292775938e+01
Bh,He,1.223914026334e+01
Bh,Hf,1.633337828448e+01
Bh,Hs,1.623437665034e+01
Bh,Kr,4.835419813689e+00
Bh,Lr,1.557169415433e+01
Bh,Md,1.598502243655e+01
Bh,Na,5.967797176311e+00
Bh,Ne,5.293186699404e+00
Bh,No,1.599588039219e+01
Bh,Rf,1.584235394968e+01
Bh,Sg,1.629750429940e+01
Bh,W,1.748810414221e+01
Bh,Xe,3.319332990164e+00
Bi,Br,1.331682201868e+01
Bi,F,4.235393756469e+01
Bi,Ge,3.928173221348e+00
Bi,In,3.306552486787e+00
Bi,Mo,6.820528246736e+01
Bi,Tm,1.427023598789e+01
Bi,Y,2.771127793700e+01
Bk,Ca,4.170028188231e+00
Bk,He,1.467478847017e+01
Bk,Kr,6.408309604709e+00
Bk,Li,3.577270197023e+00
Bk,Mg,3.512275992895e+00
Bk,Na,6.787833065114e+00
Bk,Ne,7.885784637810e+00
Bk,O,3.763602468767e+00
Bk,Xe,4.683535806586e+00
Br,Co,3.947395441742e+00
Br,Mo,4.495235924058e+00
Br,Nb,3.920492451848e+00
Br,Pd,3.968003266557e+00
Br,Y,3.713065691068e+00
C,Co,4.763149117786e+00
C,Fe,4.150862060352e+00
C,Nb,4.932098367862e+00
C,Pd,4.687859240095e+00
C,Th,7.875055588214e+00
C,Ti,3.795208277395e+00
C,V,4.392840815965e+00
Ca,Cf,3.819949715284e+00
Ca,Cm,4.274042402715e+00
Ca,Co,4.225008819952e+00
Ca,Es,3.276802926980e+00
Ca,Nb,4.225136273910e+00
Ca,Np,4.057786630473e+00
Ca,Pa,4.057444737807e+00
Ca,Pd,4.267699376190e+00
Ca,Po,3.722481149941e+00
Ca,Pu,4.147188494720e+00
Ca,Ra,3.382503446103e+00
Ca,Tl,3.584290206583e+00
Ca,U,4.160703654309e+00
Ce,Cf,3.472422285853e+00
Ce,Es,4.219335695509e+00
Ce,F,5.980534678741e+00
Ce,H,4.297143856486e+00
Ce,N,3.916832326650e+00
Ce,Ne,5.090096786070e+00
Ce,Po,4.169141383502e+00
Ce,Rn,4.126344483149e+00
Ce,Sb,3.282010260153e+00
Cf,He,1.320381959544e+01
Cf,Kr,5.347033225581e+00
Cf,Na,5.493707485032e+00
Cf,Ne,6.857399175195e+00
Cf,Xe,3.434757192053e+00
Cl,Co,6.679653094180e+00
Cl,Cs,3.862762487238e+00
Cl,Ho,3.898143269053e+00
Cl,La,3.469514655921e+00
Cl,Nb,6.655254011260e+00
Cl,Pd,6.698787664492e+00
Cl,Pm,3.418670645269e+00
Cl,Pr,4.073207419957e+00
Cl,Ra,3.812106472314e+00
Cl,Rh,3.674137481488e+00
Cl,Sm,3.385899717508e+00
Cl,Tb,3.420481842458e+00
Cl,Zr,3.936449221052e+00
Cm,He,1.482175247439e+01
Cm,Kr,6.431569468262e+00
Cm,Li,3.557849110928e+00
Cm,Mg,3.563959311143e+00
Cm,Na,6.709505565725e+00
Cm,Ne,8.054156344349e+00
Cm,O,3.968792510993e+00
Cm,Xe,4.681700024523e+00
Co,F,9.797573320169e+00
Co,Ge,4.164558699011e+00
Co,He,2.021877665671e+01
Co,Kr,8.218086943673e+00
Co,Mg,3.577994519068e+00
Co,N,8.230043422238e+00
Co,Na,5.098132126151e+00
Co,Ne,1.225892794624e+01
Co,O,1.047386498992e+01
Co,S,4.131551436683e+00
Co,Si,3.734370239806e+00
Co,Xe,5.302138852333e+00
Co,Zn,3.655561660538e+00
Cr,Fe,8.161065786624e+00
Cr,Th,1.303252624573e+01
Cs,F,3.267962407979e+00
Cs,He,1.069455364611e+01
Cs,Kr,4.747910486998e+00
Cs,N,4.061947968091e+00
Cs,Na,4.121455583037e+00
Cs,Ne,6.335605774944e+00
Cs,O,5.493722880154e+00
Cs,Xe,3.494672135978e+00
Db,Fm,1.569434405896e+01
Db,He,1.317665332367e+01
Db,Hf,1.618142191615e+01
Db,Hs,1.600846769856e+01
Db,Kr,5.217967298823e+00
Db,Lr,1.524160423190e+01
Db,Md,1.571991226218e+01
Db,Na,5.891825248663e+00
Db,Ne,6.012901331985e+00
Db,No,1.573247720777e+01
Db,Rf,1.555481472138e+01
Db,Sg,1.608151970776e+01
Db,W,1.740636175524e+01
Db,Xe,3.555110504454e+00
Dy,Es,3.288543886517e+00
Dy,F,4.014653852814e+00
Dy,Ne,3.257939664021e+00
Dy,Po,3.353803057707e+00
Er,F,3.737851302685e+00
Es,He,1.214157136717e+01
Es,Kr,4.573341184905e+00
Es,Mn,3.444076220227e+00
Es,Na,4.511156822344e+00
Es,Ne,5.989668226855e+00
F,Fr,4.136952085618e+00
F,Gd,4.765340599838e+00
F,Ho,5.711271924084e+00
F,Ir,3.279606068177e+00
F,La,5.256537357282e+00
F,Lu,3.822989197499e+00
F,Mo,5.616957968524e+01
F,Nb,9.719105185644e+00
F,Nd,5.662783510912e+00
F,Os,3.704850263784e+00
F,Pd,9.815256399600e+00
F,Pm,5.659337457784e+00
F,Pr,6.765029700811e+00
F,Rh,5.038837128220e+00
F,Ru,4.597430727375e+00
F,Sm,5.633003017455e+00
F,Ta,4.638510449262e+00
