condition,K,threshold_scheme,tau,num_edges,gcc_fraction,num_components,avg_shortest_path_gcc,global_efficiency,clustering_coeff,modularity,lambda2_unweighted,lambda2_weighted,spectral_gap_unweighted,spectral_gap_weighted,effective_rank_unweighted,effective_rank_weighted
baseline,5,fixed_density,1.125479529746e+00,289,4.074074074074e-01,3.800000000000e+01,1.841437632135e+00,1.227933541018e-01,5.540421911565e-01,2.712385402161e-03,-3.601132013985e-15,2.841302984446e-14,1.745416481984e+00,8.526512829121e-14,2.122016722618e+01,1.419118802032e+01
baseline,6,fixed_density,1.134904468005e+00,289,4.074074074074e-01,3.800000000000e+01,1.841437632135e+00,1.227933541018e-01,5.540421911565e-01,2.726641538184e-03,-3.601132013985e-15,-3.719146626032e-15,1.745416481984e+00,8.526512829121e-14,2.122016722618e+01,1.295014333926e+01
baseline,7,fixed_density,1.303780453418e+00,289,3.796296296296e-01,4.100000000000e+01,1.809756097561e+00,1.118899273105e-01,5.274964505357e-01,1.983676703963e-01,-3.615482898335e-15,7.219112061183e-01,1.733486277783e+00,4.481789298154e-04,2.401472474088e+01,1.656039014089e+01
baseline,8,fixed_density,1.308923634139e+00,289,5.277777777778e-01,3.900000000000e+01,2.812030075188e+00,1.411993769470e-01,5.188461981793e-01,4.245194480209e-04,-3.584085838621e-15,6.926307772796e-01,1.793356651100e+00,3.915678705937e-04,2.399859911945e+01,1.720957975074e+01
baseline,9,fixed_density,1.390348425121e+00,289,3.796296296296e-01,3.300000000000e+01,1.852439024390e+00,1.459991923388e-01,5.309536452419e-01,1.141775942973e-01,-3.286762122953e-15,1.581010899127e+00,2.279039628287e+00,2.352965226066e-03,2.610835578131e+01,1.660950982403e+01
baseline,10,fixed_density,1.357226966142e+00,289,3.796296296296e-01,3.600000000000e+01,1.823170731707e+00,1.288969655013e-01,5.267164834660e-01,7.088581331081e-03,-3.379956889129e-15,1.594527745725e+00,5.681497263533e-02,2.442141725453e-03,2.724197401183e+01,1.662109543390e+01
baseline,11,fixed_density,1.364234808020e+00,289,6.759259259259e-01,3.500000000000e+01,3.871385083714e+00,1.729559165307e-01,5.261730625522e-01,2.569700669447e-03,-4.459118162987e-15,1.642564033838e+00,5.825846290369e-03,2.531636390927e-03,2.762548104113e+01,1.672066141049e+01
baseline,12,fixed_density,1.344838800504e+00,289,6.851851851852e-01,3.400000000000e+01,3.884116993706e+00,1.765348310779e-01,5.261937023173e-01,1.181588427175e-01,-3.818071745475e-15,1.723977105648e+00,2.252913113271e-02,2.756128203600e-03,2.626066211977e+01,1.809610041557e+01
baseline,13,fixed_density,1.349974543650e+00,289,5.277777777778e-01,3.700000000000e+01,2.749373433584e+00,1.437262028384e-01,5.302588352058e-01,1.140899528838e-02,-2.804198552136e-15,1.671779091125e+00,1.585121363689e-01,2.720043175202e-03,2.636124081915e+01,1.835100206576e+01
baseline,14,fixed_density,1.377706660012e+00,289,5.555555555556e-01,3.700000000000e+01,2.841242937853e+00,1.501912014373e-01,5.427793854910e-01,3.441996532394e-03,-3.210334933413e-15,2.249103895219e+00,1.162178274316e+00,6.782787008113e-01,2.526788605179e+01,1.946738992969e+01
baseline,15,fixed_density,1.461872240729e+00,289,5.925925925926e-01,3.300000000000e+01,2.988591269841e+00,1.613818424566e-01,5.689884142552e-01,9.386159595828e-03,-2.652647455721e-15,2.705219421489e+00,6.391525186587e-01,1.108707840281e+01,2.759083019478e+01,1.991187131257e+01
baseline,16,fixed_density,1.483913545057e+00,289,6.203703703704e-01,3.100000000000e+01,2.932609678878e+00,1.755793733208e-01,5.597131488360e-01,5.643184937903e-03,-2.708696830573e-15,3.154443393385e+00,1.955596213141e+00,1.115998640400e+01,2.692834707571e+01,2.160382850462e+01
baseline,17,fixed_density,1.506090754588e+00,289,6.018518518519e-01,3.400000000000e+01,2.969230769231e+00,1.639577049234e-01,5.525991506502e-01,5.045246185283e-04,-3.926419738370e-15,1.609439506597e+00,3.310687149052e+00,1.127151673608e+01,2.896619098957e+01,2.265884238898e+01
baseline,18,fixed_density,1.554637072847e+00,289,6.111111111111e-01,3.300000000000e+01,2.960839160839e+00,1.686104105886e-01,5.520287960826e-01,1.338505733258e-03,-3.584001081043e-15,9.114751384567e-01,3.320679308983e+00,8.742179743975e-01,2.915785986238e+01,2.312535840228e+01
baseline,19,fixed_density,2.292527853308e+00,289,7.777777777778e-01,2.500000000000e+01,3.027251864601e+00,2.436170037416e-01,2.877770325041e-01,3.250947370214e-03,-3.330088024138e-15,7.659498955565e+00,9.629064277750e-01,7.137415090015e+00,3.369698640725e+01,2.228556599842e+01
baseline,20,fixed_density,2.806530548227e+00,289,7.777777777778e-01,2.500000000000e+01,3.047905909352e+00,2.420968699006e-01,3.383929027524e-01,9.512085940240e-05,-3.318343284230e-15,1.182243842625e+01,4.170064477022e+00,5.066284817486e+00,3.579847908815e+01,2.647443608023e+01
baseline,21,fixed_density,2.916367833926e+00,289,8.240740740741e-01,2.000000000000e+01,3.064862104188e+00,2.660769915443e-01,3.649298164115e-01,1.696481844855e-03,-2.229957430205e-15,1.157737593752e+01,3.663407230142e+00,5.271491055747e+00,3.844359363701e+01,2.853317983014e+01
baseline,22,fixed_density,2.964557391783e+00,289,8.333333333333e-01,1.900000000000e+01,3.042197253433e+00,2.729693088727e-01,3.619936099013e-01,4.798912730369e-03,-1.669852027541e-15,1.124943333777e+01,3.286297623884e+00,5.997858605178e+00,3.783333403874e+01,2.943237613506e+01
baseline,23,fixed_density,3.224828722450e+00,289,8.518518518519e-01,1.700000000000e+01,3.263497372193e+00,2.755583576456e-01,4.193073568891e-01,1.077893438729e-03,-1.594406739842e-15,1.143531483464e+01,3.359109317880e+00,6.873170996282e+00,3.930211090828e+01,3.048317194729e+01
baseline,24,fixed_density,3.137671932590e+00,289,8.518518518519e-01,1.700000000000e+01,3.183468705208e+00,2.792175575665e-01,3.721913870947e-01,6.382692170857e-04,-9.476125374271e-16,1.177404646812e+01,3.432803847487e+00,5.442278781298e+00,3.942362212385e+01,2.907811304331e+01
baseline,25,fixed_density,3.375511371256e+00,289,8.240740740741e-01,2.000000000000e+01,2.942032686415e+00,2.721703011423e-01,2.334434396665e-01,6.704818985156e-05,-4.437669048302e-15,1.496809328374e+01,5.056408209724e+00,8.072107402579e+00,3.763944908259e+01,2.748319291838e+01
baseline,26,fixed_density,3.654805058034e+00,289,7.962962962963e-01,2.300000000000e+01,2.990971272230e+00,2.558930425753e-01,2.093052147030e-01,-1.121333554554e-04,-3.132330306198e-15,1.496673820805e+01,5.125443275614e+00,1.008299438787e+01,3.216991813470e+01,2.645531667034e+01
baseline,27,fixed_density,3.955509288934e+00,289,7.870370370370e-01,2.400000000000e+01,2.983193277311e+00,2.505276582769e-01,1.904410639075e-01,-2.532348059879e-04,-3.306744633789e-15,1.589149009052e+01,4.376487361150e+00,1.303771270509e+01,2.897636309565e+01,2.560209500339e+01
baseline,28,fixed_density,4.194747968413e+00,289,7.962962962963e-01,2.300000000000e+01,2.778112175103e+00,2.672176070151e-01,1.953196599847e-01,9.895861999949e-04,-2.828618577900e-15,2.291698505323e+01,3.844753446607e+00,1.122394659377e+01,3.038845438516e+01,2.523319267236e+01
baseline,29,fixed_density,5.058860196950e+00,289,7.592592592593e-01,2.700000000000e+01,2.530864197531e+00,2.584717895466e-01,1.726448850395e-01,-2.191102953753e-05,-2.643157935720e-15,2.883465250650e+01,2.870888499258e+00,1.765236592078e+01,3.028214313293e+01,2.497790947504e+01
baseline,30,fixed_density,5.832892827119e+00,289,7.222222222222e-01,3.100000000000e+01,2.430569430569e+00,2.428781585324e-01,1.519529386082e-01,4.817899475268e-03,-2.759151394827e-15,3.414091937583e+01,1.965014880309e+00,3.239248649551e+01,3.089933914222e+01,2.436389741390e+01
baseline,31,fixed_density,5.588665089617e+00,289,7.407407407407e-01,2.900000000000e+01,2.467721518987e+00,2.517797392408e-01,1.611680231714e-01,5.720374855151e-04,-1.577338799956e-15,3.654948244423e+01,2.061265021795e+00,2.803270128254e+01,3.142363458324e+01,2.491557004200e+01
baseline,32,fixed_density,6.293566367934e+00,289,7.037037037037e-01,3.300000000000e+01,2.368771929825e+00,2.357620860736e-01,1.401633747488e-01,-9.571689797311e-04,-2.694025595370e-15,3.615773210026e+01,1.899622106266e+00,3.657027435208e+01,2.762223726267e+01,2.454308653031e+01
baseline,33,fixed_density,6.072146639513e+00,289,7.314814814815e-01,3.000000000000e+01,2.399221032132e+00,2.507586246683e-01,1.570362281018e-01,3.885926163410e-03,-4.351027802936e-15,3.759352834932e+01,1.093003581353e+00,4.733720924424e+01,3.143640456963e+01,2.656223084837e+01
baseline,34,fixed_density,6.089147685045e+00,289,7.222222222222e-01,3.100000000000e+01,2.381951381951e+00,2.463366793585e-01,1.631320022607e-01,1.633477083259e-03,-3.306570225020e-15,3.861671160916e+01,1.057212837476e+00,5.761793876348e+01,3.242738621049e+01,2.742581560048e+01
baseline,35,fixed_density,7.897420601283e+00,289,6.203703703704e-01,4.200000000000e+01,2.506105834464e+00,1.808959270797e-01,2.386504502498e-01,4.382258831516e-03,-3.723791957963e-15,3.713523101814e+01,9.714437594987e+00,9.975561363281e+01,2.821552908964e+01,2.810595725758e+01
baseline,36,fixed_density,7.912912440087e+00,289,7.037037037037e-01,3.300000000000e+01,2.695438596491e+00,2.190521518403e-01,2.215014079921e-01,8.828438336762e-04,-4.436416234175e-15,4.366007203986e+01,7.917003826398e+00,1.019891027524e+02,2.951156688615e+01,2.835027504412e+01
baseline,37,fixed_density,6.908388254859e+00,289,7.500000000000e-01,2.800000000000e+01,2.474691358025e+00,2.580448828891e-01,2.122936900450e-01,7.683893356383e-05,-2.054411042692e-15,4.445237080327e+01,1.763176692302e+00,6.574968187249e+01,3.518370912733e+01,2.859471277801e+01
baseline,5,percentile_90,8.994801087222e-01,578,7.129629629630e-01,3.100000000000e+01,3.053315105947e+00,2.331775700935e-01,5.816704142125e-01,3.171530328036e-03,-9.230605559808e-15,2.841302984446e-14,3.905350987315e+00,8.526512829121e-14,3.262287454005e+01,1.419118802032e+01
baseline,6,percentile_90,9.085879928543e-01,578,7.129629629630e-01,3.100000000000e+01,3.053656869446e+00,2.331487250490e-01,5.832045153596e-01,1.228923481535e-01,-8.754190798107e-15,-3.719146626032e-15,3.845845571585e+00,8.526512829121e-14,3.229422258792e+01,1.295014333926e+01
baseline,7,percentile_90,1.037977286911e+00,578,7.037037037037e-01,3.200000000000e+01,3.378245614035e+00,2.182877581631e-01,5.561116874387e-01,3.174862667995e-03,-5.343602461613e-15,7.219112061183e-01,1.278818898264e+01,4.481789298154e-04,3.311245551670e+01,1.656039014089e+01
baseline,8,percentile_90,1.043855638418e+00,578,7.037037037037e-01,3.200000000000e+01,3.367719298246e+00,2.191526974237e-01,5.500538891518e-01,1.244532893614e-01,-7.757236959766e-15,6.926307772796e-01,1.302512298843e+01,3.915678705937e-04,3.373343316469e+01,1.720957975074e+01
baseline,9,percentile_90,1.049016254707e+00,578,8.333333333333e-01,1.800000000000e+01,3.173283395755e+00,2.987740856121e-01,5.367061254517e-01,1.117948380937e-01,-4.518867424199e-15,1.581010899127e+00,9.042487774292e+00,2.352965226066e-03,3.418390592704e+01,1.660950982403e+01
baseline,10,percentile_90,1.039493691952e+00,578,7.870370370370e-01,2.300000000000e+01,3.467787114846e+00,2.611918772355e-01,5.585212299912e-01,2.031448076061e-03,-9.105411429141e-15,1.594527745725e+00,1.138225196395e+01,2.442141725453e-03,3.390888442574e+01,1.662109543390e+01
baseline,11,percentile_90,1.042996167682e+00,578,7.870370370370e-01,2.300000000000e+01,3.434453781513e+00,2.627379716165e-01,5.482784856166e-01,2.786788955079e-03,-4.241213183551e-15,1.642564033838e+00,1.141036022473e+01,2.531636390927e-03,3.432397829248e+01,1.672066141049e+01
baseline,12,percentile_90,1.035733406685e+00,578,8.055555555556e-01,2.100000000000e+01,3.453087409783e+00,2.717145494404e-01,5.428888803936e-01,1.186065915910e-01,-7.550358292926e-15,1.723977105648e+00,1.138402377026e+01,2.756128203600e-03,3.687953968144e+01,1.809610041557e+01
baseline,13,percentile_90,1.039331413383e+00,578,7.870370370370e-01,2.300000000000e+01,3.466106442577e+00,2.605628492311e-01,5.430869578913e-01,3.809653913305e-03,-4.771266649412e-15,1.671779091125e+00,1.188703724706e+01,2.720043175202e-03,3.621740679057e+01,1.835100206576e+01
baseline,14,percentile_90,1.059296081431e+00,578,7.407407407407e-01,2.900000000000e+01,3.426582278481e+00,2.345773102133e-01,5.603861087669e-01,2.501492986786e-03,-1.033412726600e-14,2.249103895219e+00,1.359843042013e+01,6.782787008113e-01,3.772767467082e+01,1.946738992969e+01
baseline,15,percentile_90,1.124460246309e+00,578,7.592592592593e-01,2.700000000000e+01,3.489912676905e+00,2.403577197580e-01,5.967901681281e-01,3.597365066435e-03,-7.148653351517e-15,2.705219421489e+00,1.331747944031e+01,1.108707840281e+01,3.927827899934e+01,1.991187131257e+01
baseline,16,percentile_90,1.173706421735e+00,578,7.592592592593e-01,2.700000000000e+01,3.469135802469e+00,2.416897427022e-01,5.961780483229e-01,5.296136777437e-03,-6.164644448241e-15,3.154443393385e+00,1.330690462657e+01,1.115998640400e+01,3.900883890602e+01,2.160382850462e+01
baseline,17,percentile_90,1.213913383167e+00,578,6.481481481481e-01,2.900000000000e+01,2.911801242236e+00,2.085066096359e-01,5.883306453346e-01,3.284964249912e-03,-8.327640324053e-15,1.609439506597e+00,1.488800607321e+01,1.127151673608e+01,4.169814611816e+01,2.265884238898e+01
baseline,18,percentile_90,1.261514200681e+00,578,6.574074074074e-01,2.800000000000e+01,2.882897384306e+00,2.147874120226e-01,5.843096893974e-01,8.042492665731e-03,-5.595975204259e-15,9.114751384567e-01,1.526403616822e+01,8.742179743975e-01,4.079793237908e+01,2.312535840228e+01
baseline,19,percentile_90,1.562553596990e+00,578,8.796296296296e-01,1.400000000000e+01,2.532810750280e+00,3.628533517942e-01,3.531052839141e-01,2.813005946400e-03,-5.855704912949e-15,7.659498955565e+00,2.591410928553e+00,7.137415090015e+00,4.411851220143e+01,2.228556599842e+01
baseline,20,percentile_90,1.872976211435e+00,578,8.611111111111e-01,1.600000000000e+01,2.637914913511e+00,3.427174504277e-01,3.972759650969e-01,2.165426105532e-03,-6.180308541291e-15,1.182243842625e+01,2.113256736109e+00,5.066284817486e+00,4.727187986840e+01,2.647443608023e+01
baseline,21,percentile_90,1.956968130391e+00,578,8.981481481481e-01,1.200000000000e+01,2.644544673540e+00,3.667733933310e-01,4.216400007714e-01,7.098693718141e-04,-3.055441713796e-15,1.157737593752e+01,1.891329595069e+00,5.271491055747e+00,4.984963148394e+01,2.853317983014e+01
baseline,22,percentile_90,1.999431428482e+00,578,9.166666666667e-01,1.000000000000e+01,2.645227788085e+00,3.796094380985e-01,4.201917883736e-01,3.132088061771e-04,-3.164787021936e-15,1.124943333777e+01,2.071835596288e+00,5.997858605178e+00,4.929183099160e+01,2.943237613506e+01
baseline,23,percentile_90,2.182738566551e+00,578,9.166666666667e-01,1.000000000000e+01,2.656153370439e+00,3.785537094727e-01,4.388987091069e-01,6.927809131586e-05,-2.394370003505e-15,1.143531483464e+01,2.383826178762e+00,6.873170996282e+00,5.138485805856e+01,3.048317194729e+01
baseline,24,percentile_90,2.162622055807e+00,578,9.259259259259e-01,9.000000000000e+00,2.680000000000e+00,3.828833506404e-01,4.099183878640e-01,1.991936788312e-03,-4.134348788670e-15,1.177404646812e+01,1.701910162005e+00,5.442278781298e+00,4.887914132237e+01,2.907811304331e+01
baseline,25,percentile_90,2.232875624906e+00,578,9.537037037037e-01,6.000000000000e+00,2.506567675614e+00,4.198021229953e-01,2.912957544148e-01,3.977413057744e-05,-8.740656686666e-16,1.496809328374e+01,3.024024337834e+00,8.072107402579e+00,4.883300637501e+01,2.748319291838e+01
baseline,26,percentile_90,2.233196958775e+00,578,9.259259259259e-01,9.000000000000e+00,2.505656565657e+00,3.992384908273e-01,2.483685962325e-01,1.804900991644e-03,-4.281344847361e-15,1.496673820805e+01,3.287993029939e+00,1.008299438787e+01,4.580122741419e+01,2.645531667034e+01
baseline,27,percentile_90,2.420302559390e+00,578,9.351851851852e-01,8.000000000000e+00,2.308514851485e+00,4.301748009692e-01,2.482832829823e-01,-1.997894383138e-04,-1.247835992885e-15,1.589149009052e+01,3.852745884192e+00,1.303771270509e+01,4.289824768959e+01,2.560209500339e+01
baseline,28,percentile_90,2.643036815034e+00,578,9.444444444444e-01,7.000000000000e+00,2.298971073578e+00,4.382254528672e-01,2.296304711931e-01,-1.637895766056e-05,-4.852587637194e-15,2.291698505323e+01,2.540281733253e+00,1.122394659377e+01,4.651251942422e+01,2.523319267236e+01
baseline,29,percentile_90,3.237367964116e+00,578,9.166666666667e-01,1.000000000000e+01,2.324675324675e+00,4.120110764971e-01,2.095713187694e-01,1.235255558994e-05,-5.095537176022e-15,2.883465250650e+01,2.163047262628e+00,1.765236592078e+01,3.881521341727e+01,2.497790947504e+01
