iter,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength
1,2.197218815854e+00,1.625507395768e+00,2.636682402886e+44
2,1.593545588942e+00,1.469389949029e+00,3.393974678309e+44
3,3.294710997864e+00,1.192651632137e+00,3.516521042451e+44
4,2.072205379381e+00,2.465220471850e+00,2.895999503951e+44
5,2.782944895651e+00,2.423469078906e+00,3.516498545790e+44
6,1.371535460249e+00,1.251456791682e+00,3.279846527576e+44
7,3.055091267536e+00,2.024930515383e+00,3.396502416605e+44
8,2.307028652778e+00,1.933262034052e+00,2.630673628836e+44
9,2.098840718041e+00,1.766935975027e+00,3.516515604243e+44
10,1.609359695681e+00,1.763176470838e+00,3.516522013451e+44
11,1.641988247475e+00,1.671887223250e+00,2.630668606789e+44
12,1.773067070275e+00,1.809344852367e+00,3.503370883060e+44
13,1.325148366683e+00,4.084479506229e+00,3.516497699058e+44
14,1.571116119590e+00,2.035331683273e+00,3.496341029391e+44
15,1.586340974567e+00,2.850302239273e+00,3.496319976037e+44
16,3.211505656834e+00,1.200177188809e+00,3.516509131748e+44
17,1.785147669286e+00,1.476383885432e+00,3.275176687642e+44
18,2.765809332506e+00,2.689447841008e+00,3.489222349375e+44
19,1.758460262500e+00,1.592181586413e+00,3.496326821550e+44
20,2.207333969982e+00,1.506391927032e+00,3.264710143658e+44
21,1.651869874126e+00,1.777898291655e+00,2.879613101633e+44
22,1.419909466626e+00,1.904868263277e+00,2.630427959170e+44
23,2.012855810485e+00,2.961253656303e+00,2.630665023115e+44
24,1.907557168201e+00,1.030156246308e+00,3.516532757003e+44
25,1.462131876518e+00,1.177071236073e+00,3.271269155894e+44
26,2.519365375024e+00,2.052853595584e+00,3.404295977884e+44
27,2.941295574923e+00,1.317688031629e+00,3.516500918581e+44
28,2.998155925341e+00,1.279171235570e+00,2.646997015434e+44
29,2.085573885885e+00,1.290805562192e+00,2.633955614754e+44
30,1.690739291625e+00,1.740610757800e+00,3.496336929265e+44
31,2.516759613010e+00,2.545539089665e+00,3.410512921746e+44
