K,phi_raw,phi_norm,dphi_dK,phi_control_within_layer,phi_control_block_preserving,phi_control_random_matched,phi_norm_baseline_block_mean
1,0.000000000000e+00,0.000000000000e+00,8.514433213929e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,1.800291028949e-01,8.514433213929e-01,2.006918301929e-01,7.185557604951e-02,1.341303977820e-01,1.752429832031e-01,2.114399142863e-01
3,1.715251506005e-01,4.013836603857e-01,9.274464103069e-02,1.570316514331e-01,7.085023026816e-01,4.253535917029e-01,4.273346613951e-01
4,6.672732006094e-01,1.036932603454e+00,5.672976670351e-01,1.635776838918e-01,6.553946284671e-01,6.232077811601e-01,6.435068184630e-01
5,1.345245679462e+00,1.535978994456e+00,4.509720098224e-01,1.675490554429e-01,4.895074891547e-01,8.408369945914e-01,8.758229665364e-01
6,2.136257709441e+00,1.938876623099e+00,5.542098323019e-02,2.045991432649e-01,8.451862352248e-01,1.237363000774e+00,1.101801777375e+00
7,2.183517243487e+00,1.646820960916e+00,-3.397153653110e-01,2.997630612555e-01,1.238831832767e+00,1.546893430967e+00,1.325898379549e+00
8,1.956566154799e+00,1.259445892477e+00,-2.543825236583e-01,3.066912699785e-01,1.677179353215e+00,1.791692750418e+00,1.553513466903e+00
9,2.020201614868e+00,1.138055913600e+00,-7.205041444878e-02,3.801633144879e-01,1.839559082168e+00,2.115678687479e+00,1.775133884660e+00
10,2.246150888467e+00,1.115345063579e+00,-4.970445422741e-02,3.905998252161e-01,2.047686892930e+00,2.302128865261e+00,2.013861863752e+00
11,2.082931657856e+00,1.038647005145e+00,-6.203216039723e-02,4.077412254303e-01,1.987188522877e+00,2.523380585648e+00,2.005427876399e+00
12,1.989008783519e+00,9.912807427849e-01,-1.394383913363e-02,4.387235569701e-01,2.068466645308e+00,2.908864173937e+00,2.006504008069e+00
13,2.059198213454e+00,1.010759326878e+00,5.584266622365e-02,4.741121776255e-01,2.178217066458e+00,3.272213804036e+00,2.037278468471e+00
14,2.295017293165e+00,1.102966075232e+00,8.303592130927e-02,5.001558749323e-01,2.173734996971e+00,3.471113864353e+00,2.080768706039e+00
15,2.537464470698e+00,1.176831169496e+00,3.331206196220e-02,5.615690783151e-01,2.043216904034e+00,3.650031779206e+00,2.156183942497e+00
16,2.619539196750e+00,1.169590199157e+00,9.263891292631e-03,6.622342382096e-01,2.207002325245e+00,3.865510980978e+00,2.239706863685e+00
17,2.781369755954e+00,1.195358952081e+00,3.991112800486e-02,7.462517572578e-01,2.261367840126e+00,4.116284845235e+00,2.326807149527e+00
18,3.041696060302e+00,1.249412455166e+00,1.115571142821e-02,8.347338338480e-01,2.566105853877e+00,4.435782834599e+00,2.434501151101e+00
19,3.105610535277e+00,1.217670374938e+00,-2.825225441831e-02,9.437517181767e-01,2.664744777890e+00,4.601896752413e+00,2.550452568443e+00
20,3.185642946130e+00,1.192907946330e+00,-1.939436886645e-02,1.084232771808e+00,2.769961586353e+00,5.027482362630e+00,2.670485141734e+00
21,3.142579177726e+00,1.178881637205e+00,-8.044674249312e-03,1.128420040559e+00,2.743250417579e+00,5.435538881107e+00,2.665729178017e+00
22,3.198570597877e+00,1.176818597831e+00,-1.382653253083e-03,1.178035042817e+00,2.793637744705e+00,5.796665194631e+00,2.717981007244e+00
23,3.321513945448e+00,1.176116330699e+00,-1.708521168323e-03,1.254923874753e+00,2.909581571042e+00,6.113108945020e+00,2.824137254752e+00
24,3.491472001274e+00,1.173401555494e+00,8.605811997608e-04,1.342033756367e+00,3.058308083581e+00,6.292580054998e+00,2.975513356809e+00
25,3.730751589871e+00,1.177837493098e+00,9.957905010725e-03,1.410057940743e+00,3.267271912285e+00,6.505768719106e+00,3.167458678920e+00
26,4.049633838213e+00,1.193317365516e+00,8.039743915377e-03,1.498636627600e+00,3.494945999525e+00,6.801279203950e+00,3.393593318289e+00
27,4.358067719903e+00,1.193916980929e+00,-1.313209647495e-02,1.555751505082e+00,3.753023185832e+00,7.087837794233e+00,3.650226765777e+00
28,4.583768027661e+00,1.167053172566e+00,-2.264514747892e-02,1.633740175117e+00,3.968226636925e+00,7.452463171093e+00,3.927642831888e+00
29,4.860746580272e+00,1.148626685971e+00,-1.604694122455e-02,1.712652930744e+00,4.240518110198e+00,7.539821374032e+00,4.231789701248e+00
30,5.174340900267e+00,1.134959290117e+00,1.730151809304e-02,1.743418300358e+00,4.617452513706e+00,7.997210210913e+00,4.559054183991e+00
31,5.468995604259e+00,1.183229722157e+00,4.765349850212e-02,1.821822030396e+00,4.687007046337e+00,8.206201181147e+00,4.622091130611e+00
32,5.762468543877e+00,1.230266287121e+00,3.636022263587e-02,1.860144514378e+00,4.737548872243e+00,8.305192531091e+00,4.683919736890e+00
33,5.955777251119e+00,1.255950167429e+00,3.188179053319e-02,1.963472315454e+00,4.793292581113e+00,8.532575148579e+00,4.742049012431e+00
34,6.223868468951e+00,1.294029868188e+00,3.795723127741e-02,2.069787365986e+00,4.928580626582e+00,8.903615125400e+00,4.809679144167e+00
35,6.497593567977e+00,1.331864629984e+00,3.214863075441e-02,2.177487004550e+00,4.970981926450e+00,9.172279411000e+00,4.878569054016e+00
36,6.717175179842e+00,1.358327129696e+00,2.986008388447e-02,2.261148639800e+00,4.988124795150e+00,9.538846413739e+00,4.945182226717e+00
37,6.972597515436e+00,1.391584797753e+00,8.244675490419e-03,2.359772770124e+00,5.021522733425e+00,9.749216069723e+00,5.010544471811e+00
