K,phi_raw,phi_shuffled,phi_norm,dphi_dk
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.172242781608e-01
2,1.800291028949e-01,2.202933854340e-01,8.172242781608e-01,2.995115916078e-01
3,1.715251506005e-01,2.863414228473e-01,5.990231832156e-01,3.281107050961e-01
4,6.672732006094e-01,4.528658272809e-01,1.473445688353e+00,7.428623603390e-01
5,1.345245679462e+00,6.452797851239e-01,2.084747903894e+00,1.087546995944e+00
6,2.136257709441e+00,5.855103402081e-01,3.648539680241e+00,1.908016278857e-01
7,2.183517243487e+00,8.853229334072e-01,2.466351159665e+00,-6.665988153396e-01
8,1.956566154799e+00,8.450441070550e-01,2.315342049562e+00,-2.764700285620e-01
9,2.020201614868e+00,1.055811588103e+00,1.913411102541e+00,-1.656943153123e-01
10,2.246150888467e+00,1.132159085504e+00,1.983953418937e+00,-2.442085926040e-02
11,2.082931657856e+00,1.117111369363e+00,1.864569384020e+00,-9.335541562980e-02
12,1.989008783519e+00,1.106700229093e+00,1.797242587678e+00,-6.730818554018e-02
13,2.059198213454e+00,1.190320313934e+00,1.729953012940e+00,-6.617630446397e-02
14,2.295017293165e+00,1.378479852998e+00,1.664889978750e+00,4.178223597728e-03
15,2.537464470698e+00,1.459731151955e+00,1.738309460135e+00,1.353856270899e-01
16,2.619539196750e+00,1.353304572198e+00,1.935661232930e+00,1.086158219377e-01
17,2.781369755954e+00,1.422301863279e+00,1.955541104011e+00,5.214637068600e-02
18,3.041696060302e+00,1.491061121290e+00,2.039953974302e+00,-7.052156908484e-03
19,3.105610535277e+00,1.599645453801e+00,1.941436790194e+00,-4.528530726801e-02
20,3.185642946130e+00,1.634179819055e+00,1.949383359766e+00,-3.309723192517e-02
21,3.142579177726e+00,1.675825643213e+00,1.875242326343e+00,-6.686669400153e-02
22,3.198570597877e+00,1.761666977458e+00,1.815649971763e+00,-6.182631136867e-02
23,3.321513945448e+00,1.896285379281e+00,1.751589703606e+00,-4.194667374674e-02
24,3.491472001274e+00,2.016144735550e+00,1.731756624269e+00,1.265272438484e-02
25,3.730751589871e+00,2.099590167086e+00,1.776895152376e+00,3.809427832549e-02
26,4.049633838213e+00,2.239909639380e+00,1.807945180920e+00,2.836533842843e-02
27,4.358067719903e+00,2.376748653092e+00,1.833625829233e+00,3.082364420488e-02
28,4.583768027661e+00,2.451747160334e+00,1.869592469330e+00,4.599053197598e-03
29,4.860746580272e+00,2.637661952559e+00,1.842823935628e+00,-7.108277563922e-03
30,5.174340900267e+00,2.788836947090e+00,1.855375914202e+00,6.318566476897e-02
31,5.468995604259e+00,2.777274402901e+00,1.969195265166e+00,6.356713282622e-02
32,5.762468543877e+00,2.906652688310e+00,1.982510179855e+00,7.252529379618e-03
33,5.955777251119e+00,3.002357351707e+00,1.983700323925e+00,-9.857151472611e-03
34,6.223868468951e+00,3.170919881262e+00,1.962795876909e+00,4.613471446695e-02
35,6.497593567977e+00,3.129907629448e+00,2.075969752859e+00,7.545661165889e-02
36,6.717175179842e+00,3.177909003240e+00,2.113709100227e+00,3.526966605632e-02
37,6.972597515436e+00,3.248342885783e+00,2.146509084972e+00,-8.372224601330e-03
38,6.972597515436e+00,3.325090631370e+00,2.096964651024e+00,-5.999113154256e-02
39,6.972597515436e+00,3.440663819562e+00,2.026526821886e+00,-6.507621634439e-02
40,6.972597515436e+00,3.545126194781e+00,1.966812218336e+00,-5.222515192290e-02
41,6.972597515436e+00,3.627637843754e+00,1.922076518041e+00,-4.699706958911e-02
42,6.972597515436e+00,3.723051156455e+00,1.872818079157e+00,-3.695479272395e-02
43,6.972597515436e+00,3.772709809094e+00,1.848166932593e+00,-3.434808418831e-02
44,6.972597515436e+00,3.864815051450e+00,1.804121910781e+00,-4.248229406556e-02
45,6.972597515436e+00,3.954507851772e+00,1.763202344462e+00,-4.775198818901e-02
46,6.972597515436e+00,4.080840646141e+00,1.708617934403e+00,-5.586714195122e-02
47,6.972597515436e+00,4.222060166925e+00,1.651468060559e+00,-5.138955798138e-02
48,6.972597515436e+00,4.342028250512e+00,1.605838818440e+00,-3.600296516819e-02
49,6.972597515436e+00,4.414539216874e+00,1.579462130223e+00,-2.829959541293e-02
50,6.972597515436e+00,4.500657865416e+00,1.549239627614e+00,-2.667591898091e-02
51,6.972597515436e+00,4.568868679279e+00,1.526110292261e+00,-3.462304387521e-02
52,6.972597515436e+00,4.711235101795e+00,1.479993539864e+00,-2.758737031145e-02
53,6.972597515436e+00,4.740246782173e+00,1.470935551638e+00,-1.381825558793e-02
54,6.972597515436e+00,4.800883927098e+00,1.452357028688e+00,-3.055091772610e-02
55,6.972597515436e+00,4.945687874666e+00,1.409833716186e+00,-4.283015163676e-02
56,6.972597515436e+00,5.101788411267e+00,1.366696725414e+00,-3.560999245723e-02
57,6.972597515436e+00,5.208819656148e+00,1.338613731271e+00,-3.341204707864e-02
58,6.972597515436e+00,5.364062099448e+00,1.299872631257e+00,-3.435220583192e-02
59,6.972597515436e+00,5.490626305184e+00,1.269909319608e+00,-2.606929661996e-02
60,6.972597515436e+00,5.588208146118e+00,1.247734038017e+00,-2.217528159043e-02
