band_index,domain,freq_lo_hz,freq_hi_hz,fraction_transitions,mean_upper_energy_cm1,mean_lower_energy_cm1,core_like_fraction,valence_like_fraction,band,hypothesized_regime
1,lines,4.943807025066e+06,3.669030138638e+07,8.349336227770e-05,1.064294769293e+05,1.064294765186e+05,1.000000000000e+00,0.000000000000e+00,b01,core-dominant
2,lines,3.669030138638e+07,2.722958661206e+08,8.349336227770e-05,1.046924790650e+05,1.046924745250e+05,1.000000000000e+00,0.000000000000e+00,b02,core-dominant
3,lines,2.722958661206e+08,2.020834822957e+09,1.252400434165e-04,9.990249369932e+04,9.990246663393e+04,1.000000000000e+00,0.000000000000e+00,b03,core-dominant
4,lines,2.020834822957e+09,1.499755923531e+10,4.174668113885e-05,9.241464134847e+04,9.241446243343e+04,1.000000000000e+00,0.000000000000e+00,b04,core-dominant
5,lines,1.499755923531e+10,1.113038930553e+11,1.391556037962e-05,1.972160869560e+05,1.972129869245e+05,1.000000000000e+00,0.000000000000e+00,b05,core-dominant
6,lines,1.113038930553e+11,8.260381849391e+11,4.870446132866e-04,1.715447964203e+05,1.715292384912e+05,1.000000000000e+00,0.000000000000e+00,b06,core-dominant
7,lines,8.260381849391e+11,6.130415246472e+12,1.266315994545e-03,1.388472171162e+05,1.387553977348e+05,8.351648351648e-01,6.593406593407e-02,b07,core-dominant
8,lines,6.130415246472e+12,4.549667531040e+13,2.176393643372e-02,1.517447586253e+05,1.509336868590e+05,8.893861892583e-01,8.951406649616e-03,b08,core-dominant
9,lines,4.549667531040e+13,3.376520808263e+14,2.542651192564e-01,5.817013336248e+04,5.241878325139e+04,2.800459719790e-01,2.994198774081e-01,b09,mixed
10,lines,3.376520808263e+14,2.505873822834e+15,6.844090061507e-01,4.576449032195e+04,2.234997448244e+04,1.326474594880e-01,1.737388935201e-01,b10,valence-dominant
11,lines,2.505873822834e+15,1.859726023485e+16,3.235367788261e-02,1.350694706111e+05,9.675082536414e+02,5.832258064516e-01,1.182795698925e-01,b11,core-dominant
12,lines,1.859726023485e+16,1.380189557396e+17,1.558542762517e-03,7.970136480000e+05,4.398114973333e+03,4.464285714286e-01,2.232142857143e-01,b12,core-dominant
13,lines,1.380189557396e+17,1.024303144812e+18,7.236091397401e-04,2.690384615385e+00,1.115384615385e+00,0.000000000000e+00,1.000000000000e+00,b13,valence-dominant
14,lines,1.024303144812e+18,7.601832131316e+18,7.236091397401e-04,3.078846153846e+00,1.346153846154e+00,0.000000000000e+00,1.000000000000e+00,b14,valence-dominant
15,lines,7.601832131316e+18,5.641674737151e+19,7.514402604993e-04,3.659259259259e+00,1.666666666667e+00,0.000000000000e+00,1.000000000000e+00,b15,valence-dominant
16,lines,5.641674737151e+19,4.186950368016e+20,4.313823717681e-04,6.312903225806e+00,2.935483870968e+00,0.000000000000e+00,1.000000000000e+00,b16,valence-dominant
17,lines,4.186950368016e+20,3.107331457589e+21,6.262002170827e-04,5.928888888889e+00,3.111111111111e+00,0.000000000000e+00,1.000000000000e+00,b17,valence-dominant
18,lines,3.107331457589e+21,2.306095830769e+22,2.783112075923e-04,4.340000000000e+00,3.400000000000e+00,0.000000000000e+00,1.000000000000e+00,b18,valence-dominant
19,levels,4.582927305446e+11,8.430067193410e+11,6.667111140743e-05,1.585185650000e+01,,0.000000000000e+00,1.000000000000e+00,b19,valence-dominant
20,levels,8.430067193410e+11,1.550668997105e+12,3.333555570371e-05,4.341345670000e+01,,0.000000000000e+00,1.000000000000e+00,b20,valence-dominant
21,levels,1.550668997105e+12,2.852378615039e+12,3.333555570371e-05,7.711500000000e+01,,0.000000000000e+00,1.000000000000e+00,b21,valence-dominant
22,levels,2.852378615039e+12,5.246808815240e+12,1.666777785186e-04,1.492357800000e+02,,0.000000000000e+00,1.000000000000e+00,b22,valence-dominant
23,levels,5.246808815240e+12,9.651244262786e+12,2.333488899260e-04,2.395677142857e+02,,0.000000000000e+00,1.000000000000e+00,b23,valence-dominant
24,levels,9.651244262786e+12,1.775298454737e+13,4.333622241483e-04,4.781372546154e+02,,0.000000000000e+00,1.000000000000e+00,b24,valence-dominant
25,levels,1.775298454737e+13,3.265573347411e+13,4.000266684446e-04,8.688443666667e+02,,0.000000000000e+00,1.000000000000e+00,b25,valence-dominant
26,levels,3.265573347411e+13,6.006860006479e+13,6.333755583706e-04,1.522461994737e+03,,0.000000000000e+00,1.000000000000e+00,b26,valence-dominant
27,levels,6.006860006479e+13,1.104932068546e+14,1.666777785186e-03,2.753876210340e+03,,0.000000000000e+00,1.000000000000e+00,b27,valence-dominant
28,levels,1.104932068546e+14,2.032467669938e+14,3.933595573038e-03,5.292801108407e+03,,0.000000000000e+00,1.000000000000e+00,b28,valence-dominant
29,levels,2.032467669938e+14,3.738623347931e+14,1.503433562237e-02,1.001406911619e+04,,0.000000000000e+00,1.000000000000e+00,b29,valence-dominant
30,levels,3.738623347931e+14,6.877011991103e+14,7.760517367825e-02,1.860797745272e+04,,0.000000000000e+00,1.000000000000e+00,b30,valence-dominant
31,levels,6.877011991103e+14,1.264992205004e+15,2.951863457564e-01,3.279024704937e+04,,0.000000000000e+00,5.073969508752e-01,b31,valence-dominant
32,levels,1.264992205004e+15,2.326890342478e+15,3.578571904794e-01,5.551279532390e+04,,9.222170470424e-03,0.000000000000e+00,b32,high-Z-relativistic growth
33,levels,2.326890342478e+15,4.280199233245e+15,1.721114740983e-01,1.037941361617e+05,,1.000000000000e+00,0.000000000000e+00,b33,high-Z-relativistic growth
34,levels,4.280199233245e+15,7.873213937860e+15,5.693712914194e-02,1.850785499515e+05,,1.000000000000e+00,0.000000000000e+00,b34,high-Z-relativistic growth
35,levels,7.873213937860e+15,1.448238606041e+16,1.206747116474e-02,3.359790091713e+05,,1.000000000000e+00,0.000000000000e+00,b35,core-dominant
36,levels,1.448238606041e+16,2.663962997297e+16,3.766917794520e-03,5.464224646018e+05,,1.000000000000e+00,0.000000000000e+00,b36,high-Z-relativistic growth
37,levels,2.663962997297e+16,4.900227642993e+16,1.833455563704e-03,1.114280418182e+06,,1.000000000000e+00,0.000000000000e+00,b37,core-dominant
