band,pearson_r_vs_Z,abs_r_vs_Z
b33,-3.793384284099e-01,3.793384284099e-01
b11,-3.661211971329e-01,3.661211971329e-01
b32,-3.185131312372e-01,3.185131312372e-01
b12,-3.081811172212e-01,3.081811172212e-01
b07,-2.671653032182e-01,2.671653032182e-01
b22,-2.621958326045e-01,2.621958326045e-01
b34,-2.621833688390e-01,2.621833688390e-01
b36,-2.372599113769e-01,2.372599113769e-01
b08,-2.361984460065e-01,2.361984460065e-01
b19,-2.158955199799e-01,2.158955199799e-01
b06,-2.115952694989e-01,2.115952694989e-01
b24,-1.984744537062e-01,1.984744537062e-01
b15,-1.927915513730e-01,1.927915513730e-01
b37,-1.895676600904e-01,1.895676600904e-01
b14,-1.791995644782e-01,1.791995644782e-01
b35,-1.715366044619e-01,1.715366044619e-01
b13,-1.662220126027e-01,1.662220126027e-01
b03,-1.659003790828e-01,1.659003790828e-01
b04,-1.659003790828e-01,1.659003790828e-01
b02,-1.659003790828e-01,1.659003790828e-01
b01,-1.659003790828e-01,1.659003790828e-01
b05,-1.627994374177e-01,1.627994374177e-01
b20,-1.503956707573e-01,1.503956707573e-01
b09,-1.429188978371e-01,1.429188978371e-01
b21,-1.255881374365e-01,1.255881374365e-01
b18,-1.187698068747e-01,1.187698068747e-01
b16,-1.153785600140e-01,1.153785600140e-01
b17,-1.153277630116e-01,1.153277630116e-01
b23,-9.952443639516e-02,9.952443639516e-02
b10,-9.721845713342e-02,9.721845713342e-02
b25,-7.143979856483e-02,7.143979856483e-02
b30,5.346042315177e-02,5.346042315177e-02
b28,5.150344870226e-02,5.150344870226e-02
b31,4.811202439821e-02,4.811202439821e-02
b29,4.160246199247e-02,4.160246199247e-02
b26,-2.823904750229e-02,2.823904750229e-02
b27,1.497923056049e-03,1.497923056049e-03
