band,anova_f_group,anova_f_period
b07,1.153286212759e+00,9.921625183124e+01
b06,9.493575037377e-01,4.882191861245e+01
b08,9.614722791315e-01,2.131013189123e+01
b02,8.251633986928e-01,1.652160493827e+01
b01,8.251633986928e-01,1.652160493827e+01
b03,8.251633986928e-01,1.652160493827e+01
b04,8.251633986928e-01,1.652160493827e+01
b05,1.000000000000e+00,1.652160493827e+01
b34,2.302756600803e+00,1.324376321193e+01
b32,2.812109322102e+00,8.479568231247e+00
b33,3.917781254562e+00,6.666290385861e+00
b12,1.523830799196e+00,5.761574890818e+00
b19,1.200980392157e+00,5.195473251029e+00
b31,1.869489350514e+00,4.846525693698e+00
b30,1.363752155983e+00,3.874967318245e+00
b11,1.884221730565e+00,3.837428727682e+00
b37,9.870976692564e-01,3.510454899344e+00
b29,8.802907842480e-01,2.721013983705e+00
b35,8.622242388555e-01,2.653399918357e+00
b36,1.130762436765e+00,2.355413352448e+00
b20,1.262254901961e+00,2.226631393298e+00
b21,1.262254901961e+00,2.226631393298e+00
b13,9.450410123106e-01,2.199259990855e+00
b14,1.238890521969e+00,2.092156326990e+00
b22,9.105147435318e-01,2.053740014524e+00
b28,6.135110475680e-01,1.883853371577e+00
b15,1.713800904977e+00,1.788541666667e+00
b26,8.278423385648e-01,1.740125955915e+00
b10,6.196015506766e-01,1.418462840847e+00
b27,7.559988528674e-01,1.410363075699e+00
b25,1.841155234657e+00,1.265866666667e+00
b09,5.428769512745e-01,1.234765695344e+00
b24,8.390332877337e-01,9.728132387707e-01
b23,7.157429445767e-01,9.561534628799e-01
b16,8.899910506664e-01,8.156137382179e-01
b17,7.988804478209e-01,7.845399698341e-01
b18,5.386869693948e-01,6.728255404726e-01
