symA,symB,S_cos,S_dot,S_wdot,same_group,same_period
H,He,7.274846356258e-01,4.840111940665e+01,1.316437577908e+03,0,1
H,Li,1.672144505093e-01,8.682405337501e+00,2.498491521763e+02,1,0
H,Be,1.328749350086e-01,9.158261541766e+00,4.060214896434e+02,0,0
H,B,-1.273683274799e-02,-9.136277115489e-01,3.033475702189e+02,0,0
H,C,-8.593816525179e-03,-7.373826237695e-01,2.607795664415e+02,0,0
H,N,6.865910212155e-01,1.317987138964e+01,4.438675245939e+02,0,0
H,O,3.656595583623e-01,8.872814569724e+00,3.459054027204e+02,0,0
H,F,2.290066217999e-01,9.284960190171e+00,4.611627302687e+02,0,0
H,Ne,8.412239968836e-01,3.727162359904e+01,1.145622127509e+03,0,0
H,Na,2.877989771944e-01,1.606789232028e+01,2.762235344619e+02,1,0
H,Mg,1.667848573432e-01,4.955471028253e+00,2.555557968440e+02,0,0
H,Al,-2.332326948666e-01,-2.232909553599e+00,8.888134432086e+01,0,0
H,Si,-1.198337959231e-01,-1.300720609058e+00,4.231327791544e+01,0,0
H,P,6.149222900803e-01,5.887567296028e+00,2.694469583943e+02,0,0
H,S,2.812910755337e-01,3.724397231131e+00,2.533830319182e+02,0,0
H,Cl,4.076074377825e-01,6.765899709021e+00,3.423017611576e+02,0,0
H,Ar,7.843405118027e-01,2.718412814291e+01,7.173130068763e+02,0,0
H,K,-4.906732006499e-02,-3.559920195899e+00,4.997660072044e+01,1,0
H,Ca,2.695650503410e-02,4.520001047399e-01,-2.941149165984e+01,0,0
H,Sc,-4.169215107934e-01,-4.858417532877e+00,-5.878506680289e+01,0,0
H,Ti,-3.849592607713e-01,-6.242742925640e+00,-1.058721596038e+02,0,0
H,V,-4.297397547813e-01,-6.857993668108e+00,-1.229314886572e+02,0,0
H,Cr,-1.756396089694e-01,-3.120651424043e+00,-3.075953488893e+01,0,0
H,Mn,1.500564212042e-01,2.324669745041e+00,-5.004580647599e+01,0,0
H,Fe,-1.319369826211e-01,-4.095139705196e+00,-9.111899394926e+01,0,0
H,Co,-4.215670799903e-01,-1.100114306987e+01,-4.547982977105e+02,0,0
H,Ni,-5.133402231397e-01,-5.421881138325e+00,-9.942423628652e+01,0,0
H,Cu,3.605898495872e-01,3.321846917187e+00,1.741269472268e+02,0,0
H,Zn,6.537024674722e-01,9.213204059315e+00,3.143907607003e+02,0,0
H,Ga,-2.932270400330e-01,-2.548247742666e+00,3.415909158612e+01,0,0
H,Ge,-8.011787061567e-02,-1.024758302610e+00,2.474302342070e+01,0,0
H,As,1.542627492026e-01,1.363068959595e+00,1.268738666292e+02,0,0
H,Se,1.510321752974e-01,1.535736029104e+00,2.018608692060e+02,0,0
H,Br,2.895176211190e-01,4.737647705941e+00,2.968944865125e+02,0,0
H,Kr,5.138378818709e-01,1.802996996238e+01,6.226689117020e+02,0,0
H,Rb,-3.264768952409e-01,-3.643208721725e+00,2.435095195463e+00,1,0
H,Sr,1.031466608394e-01,1.052196832799e+00,3.702584113257e+01,0,0
H,Y,-1.561760697875e-01,-1.169549010524e+01,-8.047059238835e+01,0,0
H,Zr,-6.353700894362e-01,-9.044230171913e+00,-2.314434112552e+02,0,0
H,Nb,-4.221127217079e-01,-1.103370272059e+01,-4.544330748315e+02,0,0
H,Mo,-1.101609944484e-01,-8.926692700043e+00,-1.870174448636e+02,0,0
H,Tc,-5.756068209072e-01,-7.015956832015e+00,-1.905600444278e+02,0,0
H,Ru,-5.963244557785e-01,-7.501424099275e+00,-1.909411596921e+02,0,0
H,Rh,-5.685967226736e-01,-7.727516553345e+00,-1.505217349125e+02,0,0
H,Pd,-4.213842360918e-01,-1.102771809930e+01,-4.563038031541e+02,0,0
H,Ag,5.507959047918e-01,5.124028414523e+00,2.490032111403e+02,0,0
H,Cd,6.099792482261e-01,5.564040187948e+00,2.811575360938e+02,0,0
H,In,-3.775687237173e-01,-4.215188713633e+00,2.795814509570e+01,0,0
H,Sn,-2.031097506997e-01,-1.806126171374e+00,7.193795213703e+01,0,0
H,Sb,-2.406484058832e-02,-2.314349550738e-01,9.018917430975e+01,0,0
H,Te,6.757006778937e-02,6.493060082798e-01,1.744968410976e+02,0,0
H,I,4.833774626578e-01,4.993205462611e+00,2.923643092474e+02,0,0
H,Xe,8.368577639579e-01,1.857020723716e+01,5.434005367951e+02,0,0
H,Cs,-3.175092964171e-01,-3.646527851099e+00,-3.396939602625e+00,1,0
H,Ba,-1.282262548432e-01,-2.021202582871e+00,-2.868247153981e+01,0,0
H,La,-6.205589882304e-01,-8.305686881080e+00,-2.294275881927e+02,0,0
H,Ce,-4.997071544990e-01,-1.029555588249e+01,-4.210485702624e+02,0,0
H,Pr,-6.111536179374e-01,-9.569499787679e+00,-3.031929989135e+02,0,0
H,Nd,-4.988478371276e-01,-8.634963010356e+00,-3.413962726399e+02,0,0
H,Pm,-6.098641257514e-01,-9.290718226326e+00,-2.640182389494e+02,0,0
H,Sm,-6.250516822801e-01,-9.466685431969e+00,-2.970011718046e+02,0,0
H,Eu,-4.748686607778e-02,-7.806519717273e-01,-1.572786444953e+02,0,0
H,Gd,-5.898978583200e-01,-9.006865602818e+00,-2.998313630370e+02,0,0
H,Tb,-6.124976646101e-01,-9.950029890621e+00,-3.300652074054e+02,0,0
H,Dy,-3.144528890370e-01,-5.498937796966e+00,-2.890962581930e+02,0,0
H,Ho,-5.579558861629e-01,-7.902361333141e+00,-2.154645557799e+02,0,0
H,Er,-3.008298309583e-01,-5.095988921868e+00,-2.696537298253e+02,0,0
H,Tm,-2.353340086102e-01,-4.130222960093e+00,-2.174888385523e+02,0,0
H,Yb,-1.492931185618e-01,-1.523564509471e+00,-5.376567498116e+01,0,0
H,Lu,-5.155787774076e-01,-6.572693284611e+00,-1.408267588430e+02,0,0
H,Hf,-1.187246266983e-01,-3.576964879863e+00,-3.130833471937e+00,0,0
H,Ta,-5.843752316439e-01,-7.524669954561e+00,-2.074853222772e+02,0,0
H,W,-8.957459439584e-02,-2.702782029905e+00,-9.973416298081e+00,0,0
H,Re,-3.211103737089e-01,-3.523453554490e+00,-1.033702673054e+02,0,0
H,Os,-5.376021771174e-01,-6.414502453605e+00,-1.519092546606e+02,0,0
H,Ir,-5.154027348238e-01,-5.842756268905e+00,-1.258288300688e+02,0,0
H,Pt,-3.805937646092e-01,-3.675799454052e+00,-1.937839623453e+01,0,0
H,Au,-1.595652666869e-01,-1.673197555181e+00,2.762233804153e+01,0,0
H,Hg,8.935405732737e-01,1.165264771784e+01,3.967794482015e+02,0,0
H,Tl,-3.284714722237e-01,-3.613143014416e+00,1.552921877698e+01,0,0
