symbol,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,lines_total_count,levels_total_count,Z,group,period,block
H,-9.188640485650e-02,-1.018948209795e+00,-1.368171562626e-01,-1.368170903224e-01,-1.371326020608e-01,-1.372915712052e-01,-2.521340952666e-01,-1.183820314983e-01,-2.274298302702e-01,-1.065395677080e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127118921283e-01,-2.546972311323e-01,2.782973728016e-01,3.667296682003e-01,2.753259735381e-01,-7.345822981828e-01,2.164316472849e+00,-1.100586706883e-01,-4.019732507995e-01,9.027356539775e-01,-2.977768653510e-01,-3.241958248180e-01,9.438740707853e-01,-1.100586706882e-01,1.778466552132e+00,1.723647790275e+00,1.283138760304e+00,6.475506962762e-01,2.005058511769e-01,-3.972017178817e-01,4.462793328996e-01,-3.982271378193e-01,2.095419077505e+00,-1.242043841893e+00,5.090000000000e+02,1.050000000000e+02,1,1,1,s
He,9.357398110200e-01,-1.018437022975e+00,-1.368150121096e-01,-1.368149462023e-01,-1.371458205213e-01,-1.372932208362e-01,2.322331917890e-02,-1.185189530100e-01,-2.279523997253e-01,-1.067219353329e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.627945229376e-01,3.828083929902e-01,2.598411962145e-01,2.399184054382e+00,4.885140316453e+00,1.778117696862e+00,1.147970881297e+00,2.896675948888e+00,-4.557360998538e-03,6.288786103839e+00,2.875972768571e+00,1.778117696861e+00,4.726899047815e+00,4.711108627892e+00,3.606420793849e+00,2.118520881492e+00,9.682484378033e-01,-4.201991586150e-01,5.130175691778e-01,-4.212327463363e-01,4.989159222200e+00,-1.507564803387e+00,2.258000000000e+03,8.420000000000e+02,2,18,1,s
Li,-1.888322742788e-01,-1.011452506438e+00,-1.156523979406e-01,-1.156523325663e-01,-5.239753355482e-02,-1.024017882750e-01,4.296227336863e-01,-9.228566143763e-02,-8.064656724524e-02,-9.180173918962e-02,-1.045630519915e-01,-1.160333704056e-01,-1.130071643762e-01,-9.673878699277e-02,-6.982028214030e-02,2.960470297477e-01,1.989951415677e-01,5.806738478795e-01,-4.114259307541e-01,-1.973942970710e-01,1.906339557095e+00,1.959858164842e+00,3.186295880003e+00,3.395075057013e+00,8.306764843700e-01,3.135094320842e+00,1.906339557094e+00,-2.366046960170e-01,-3.164535272928e-01,-3.992851670600e-01,7.212435852744e+00,3.888586129821e+00,-4.077336806922e-01,4.205415629071e-01,-3.699470919912e-01,-4.868998621469e-01,-4.708505712446e-01,3.440000000000e+02,1.810000000000e+02,3,1,2,s
Be,-5.604581070644e-02,-5.001696399615e-01,-1.368064466364e-01,-1.368064139893e-01,-1.370878131013e-01,-1.372680126769e-01,3.259289840959e-01,-1.185198206966e-01,-2.279527769313e-01,-1.067223607849e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502582051313e-01,-2.127501434742e-01,-2.548461821062e-01,2.709141507136e-01,3.631222416412e-01,2.896489253172e-01,-2.540998045059e-01,5.066765560164e-02,4.583391222467e+00,4.641599144364e+00,4.350296266685e+00,5.672491064663e+00,1.662705092538e+00,4.252736858339e+00,4.583391222467e+00,6.397892155959e-01,6.455327002269e-01,4.379669699452e-01,6.052284404408e-01,7.839424670046e+00,-4.142303405132e-01,4.956961464428e-01,-4.152618083457e-01,-4.447859542992e-01,-4.813330795464e-01,5.700000000000e+02,2.180000000000e+02,4,2,2,s
B,-1.770812598034e-01,-9.336019622150e-01,-1.368011137938e-01,-1.368010533308e-01,-1.370585219752e-01,-1.372525346097e-01,1.890424340052e-01,-1.185197882947e-01,-2.279523286379e-01,-1.067223248772e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127516984070e-01,-2.548444232072e-01,2.600527055022e-01,3.856520590494e-01,2.571025750692e-01,-6.537932063256e-01,-7.194326846235e-01,6.962487658997e+00,7.157750513316e+00,3.031115712957e+00,6.768643806208e+00,2.807149003117e-01,2.976162538789e+00,6.962487658997e+00,3.544155303842e-01,3.871600828278e-01,2.048239601125e-01,3.301846968282e-01,1.547701466814e-01,-4.222844187850e-01,5.190689636592e-01,-4.233187471084e-01,-8.118309987076e-01,8.469677645638e-01,3.640000000000e+02,1.240000000000e+02,5,13,2,p
C,8.387939415977e-01,-1.015518310325e+00,-1.368169064801e-01,-1.368168407601e-01,-1.371266518494e-01,-1.372913688082e-01,-4.037075813671e-02,1.030568419019e+01,9.392268443232e+00,1.033915590946e+01,-1.045630519915e-01,-1.160333704056e-01,-1.473812780782e-01,-1.934711541289e-01,-2.159662749767e-01,2.644896551708e-01,3.810502927131e-01,2.615343523371e-01,6.643446081861e-01,-7.193930729377e-01,-7.037759066127e-04,9.579634239154e-02,5.292811101097e-01,-1.578931412349e-01,8.330623367978e-01,6.014136290424e-01,-7.037759066353e-04,1.082442128255e+00,1.113197657013e+00,7.732810688787e-01,3.327993932296e-01,3.636308534463e-02,-4.182388218652e-01,5.073287006337e-01,-4.192717133522e-01,-5.040603106262e-01,8.469677645638e-01,2.093000000000e+03,4.340000000000e+02,6,14,2,p
N,-3.045797668618e-01,-9.656500664176e-02,-1.368166818293e-01,-1.368166750837e-01,-1.371163898021e-01,-1.372908657565e-01,3.423662734337e-01,-1.185199568171e-01,-2.279531604076e-01,-1.067223703603e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.811106094823e-01,3.638119299292e-01,2.781359306713e-01,3.837088154191e-01,-4.589180898238e-02,1.391042014129e-01,1.472336965570e-01,1.111695727088e+00,-8.484038054498e-02,1.007424611675e+00,1.158881990790e+00,1.391042014130e-01,1.839405828853e+00,1.891263922673e+00,1.436198479863e+00,7.628210880012e-01,4.821755586371e-01,-4.127420869199e-01,4.636855489507e-01,-3.946815843331e-01,5.114444569384e-01,-5.254369844849e-01,1.470000000000e+02,3.680000000000e+02,7,15,2,p
O,-2.898909987675e-01,-3.890717550085e-01,-1.368167725316e-01,-1.368167470141e-01,-1.371252033202e-01,-1.372908649581e-01,2.612346568175e-02,-1.185199554602e-01,-2.279531604076e-01,-1.067223703603e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.600527055022e-01,3.856520590494e-01,2.571025750692e-01,1.297901170645e+00,-7.144193762804e-01,7.837495182803e-02,1.753293806981e-01,1.301244704337e+00,-5.972550005134e-02,2.278280289794e+00,1.343124646886e+00,7.837495182812e-02,1.859459959700e+00,1.835211836895e+00,1.836671965970e+00,1.123055289744e+00,5.449303497176e-01,-3.966854358735e-01,4.797400894068e-01,-4.218123897753e-01,-2.019076940218e-01,8.469677645638e-01,1.720000000000e+02,5.830000000000e+02,8,16,2,p
F,-2.963540567290e-01,4.992009607220e-01,-1.368169601516e-01,-1.368169916396e-01,-1.371281088527e-01,-1.372912918486e-01,-2.451079086468e-01,6.384541828928e-02,1.959949051792e+00,2.341586299431e-02,-1.045630519915e-01,-1.160333704056e-01,3.168620045204e+00,4.016664792789e+00,3.013002009138e+00,3.177330511876e-01,3.258290966767e-01,3.147156795451e-01,1.030730226521e-01,-7.057981044613e-01,5.917929979618e-01,6.948725369560e-01,1.629610079314e+00,-1.273689324407e-01,9.920614665122e-01,1.653577094257e+00,5.917929979618e-01,2.580479052882e+00,2.654726778786e+00,2.083746943811e+00,1.165619480526e+00,6.299871512851e-01,-4.164705477147e-01,4.853254262209e-01,-4.058709393248e-01,-5.166952890268e-01,8.469677645638e-01,1.610000000000e+02,3.020000000000e+02,9,17,2,p
Ne,5.426683768168e-01,-7.187423930794e-01,-1.368141879389e-01,-1.368141412647e-01,-1.371293000740e-01,-1.372898439011e-01,2.756386706418e-01,-1.183787921241e-01,-2.277816570032e-01,-1.067006083315e-01,-1.006491854429e-01,-1.159157438403e-01,-1.501836996632e-01,-2.125346297934e-01,-2.545694795201e-01,2.658969696026e-01,3.795907016281e-01,2.629400261836e-01,4.092211602161e-01,3.980006644129e+00,1.190532731637e+00,6.734804367577e-01,2.393626457213e+00,1.918224173472e-01,1.980824240464e+00,2.387719086809e+00,1.190532731638e+00,3.703587770100e+00,3.807301537766e+00,2.924182687080e+00,1.700033130601e+00,7.550433652049e-01,-4.175897956214e-01,5.054452359772e-01,-4.186224565998e-01,1.973389526776e+00,-1.386079506563e+00,1.589000000000e+03,3.740000000000e+02,10,18,2,p
Na,1.078808412258e-01,-9.967926143007e-01,-1.368115798155e-01,-1.368115152972e-01,-1.370463551909e-01,-1.372755292361e-01,1.353185849086e-01,-1.185126224310e-01,-2.279365605057e-01,-1.067049607807e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127513874204e-01,-2.548447009281e-01,2.709909100426e-01,3.743075396830e-01,2.680280283319e-01,6.430843208552e-01,-1.254261148294e-01,2.333884902591e+00,2.383812408814e+00,3.798162631994e+00,2.069051486801e+00,3.575483721243e+00,3.735666327118e+00,2.333884902591e+00,-2.175385013324e-01,-3.608538197132e-01,6.362609433175e+00,4.474850993662e+00,2.465386613075e+00,-4.161452961862e-01,5.012533197670e-01,-4.171774441354e-01,7.131804656643e-02,-2.293330290675e-01,8.490000000000e+02,4.290000000000e+02,11,1,3,s
Mg,-1.001121149893e-01,-8.963827541136e-01,-1.368124693244e-01,-1.368124112499e-01,-1.370923123821e-01,-1.372779098061e-01,4.894500760738e-01,-1.185199379296e-01,-2.279531604076e-01,-1.067223703603e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.663062648666e-01,3.791662025227e-01,2.633488443093e-01,1.881141719754e-01,4.618285931390e-02,1.957591195929e+00,1.979159627427e+00,1.639509317934e+00,2.342381610568e+00,1.116711476367e+00,1.663651822329e+00,1.957591195929e+00,3.285390274913e-01,2.355268112472e-01,5.951980262936e-02,3.597945578947e-01,3.274146359830e+00,-4.168316577190e-01,5.032451308854e-01,-4.178640494367e-01,-8.304170665941e-02,-3.996943746789e-01,4.950000000000e+02,3.220000000000e+02,12,2,3,s
Al,-1.647426946042e-01,-8.819184155134e-01,-1.368110616983e-01,-1.368110045521e-01,-1.370818824852e-01,-1.372748831031e-01,1.103571448064e-01,-1.185199438998e-01,-2.279531604076e-01,-1.067223703603e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.841735773347e-01,3.606351838752e-01,2.811953278505e-01,-3.689053560924e-01,-7.160394499889e-01,-1.172403088669e-01,-2.284290766368e-02,-1.317312293636e-01,-1.015364889537e-01,-3.273058503527e-01,-3.588209085291e-02,-1.172403088669e-01,-1.025356948342e-01,-1.808320701593e-01,-2.762316005875e-01,1.168649812640e-01,-2.574563542212e-02,-4.176881123367e-01,5.057305496458e-01,-4.187208082333e-01,-6.716241967312e-01,6.681881940460e-01,3.850000000000e+02,1.910000000000e+02,13,13,3,p
Si,-2.464122452084e-01,-2.717096232677e-01,-1.368174731876e-01,-1.368174552019e-01,-1.371253328455e-01,-1.372930753597e-01,4.406830522914e-01,-1.185199514439e-01,-2.279531604076e-01,-1.067223703603e-01,-1.045630519915e-01,-1.160333704056e-01,-1.502590517844e-01,-2.127520093936e-01,-2.548471078425e-01,2.852194687956e-01,3.595504413203e-01,2.822400000571e-01,1.119314757066e+00,-7.172647788741e-01,-1.529559294247e-01,-5.890069119618e-02,-1.392761976450e-02,-2.573291561351e-01,6.559132289321e-01,8.114909874652e-02,-1.529559294247e-01,3.710168327867e-01,3.429023238832e-01,1.679335819595e-01,-7.214196338401e-02,-1.773552838082e-01,-4.174162420848e-01,5.049415861552e-01,-4.184488414239e-01,-2.806869648804e-01,8.469677645638e-01,2.460000000000e+02,5.410000000000e+02,14,14,3,p
