ablation,variant,phi37,sync37,phi37_delta_vs_base,sync37_delta_vs_base
baseline,none,6.972597515436e+00,5.601612862557e-01,0.000000000000e+00,0.000000000000e+00
A1_remove_diagonal,diag0_renorm,1.130029310347e+01,6.537640675724e-01,4.327695588030e+00,9.360278131674e-02
A2_near_diagonal,w=1,3.849287150592e+00,4.751443431615e-01,-3.123310364844e+00,-8.501694309421e-02
A2_near_diagonal,w=2,4.442304150315e+00,5.248312850031e-01,-2.530293365121e+00,-3.533000125258e-02
A2_near_diagonal,w=3,4.758910358311e+00,5.469683607524e-01,-2.213687157125e+00,-1.319292550329e-02
A2_near_diagonal,w=4,4.730795551317e+00,5.403521973308e-01,-2.241801964119e+00,-1.980908892485e-02
A2_near_diagonal,w=5,5.219263445044e+00,5.362823422813e-01,-1.753334070392e+00,-2.387894397435e-02
A3_long_range_only,w=1,9.891865757001e+00,3.284060882758e-01,2.919268241565e+00,-2.317551979799e-01
A3_long_range_only,w=2,9.697216956924e+00,3.609483098203e-01,2.724619441487e+00,-1.992129764354e-01
A3_long_range_only,w=3,1.025129174664e+01,4.445050806436e-01,3.278694231204e+00,-1.156562056121e-01
A3_long_range_only,w=4,9.792257431758e+00,4.174383108291e-01,2.819659916322e+00,-1.427229754266e-01
A3_long_range_only,w=5,8.652345147658e+00,3.999855067138e-01,1.679747632222e+00,-1.601757795419e-01
A4_rankk,k=1_core,2.142235440021e+01,9.999985900106e-01,1.444975688477e+01,4.398373037549e-01
A4_rankk,k=1_residual,7.160177791777e+00,4.912025314668e-01,1.875802763412e-01,-6.895875478889e-02
A4_rankk,k=2_core,1.574813495889e+01,8.580476390929e-01,8.775537443450e+00,2.978863528372e-01
A4_rankk,k=2_residual,6.475778970682e+00,4.615547012250e-01,-4.968185447538e-01,-9.860658503068e-02
A4_rankk,k=3_core,1.386676650771e+01,7.757031362183e-01,6.894168992269e+00,2.155418499626e-01
A4_rankk,k=3_residual,7.603217954633e+00,4.538253854462e-01,6.306204391969e-01,-1.063359008095e-01
A4_rankk,k=4_core,1.386277309555e+01,7.273129570143e-01,6.890175580110e+00,1.671516707586e-01
A4_rankk,k=4_residual,7.757924635550e+00,4.499266877190e-01,7.853271201138e-01,-1.102345985367e-01
A4_rankk,k=5_core,1.229051704103e+01,7.163203012983e-01,5.317919525591e+00,1.561590150426e-01
A4_rankk,k=5_residual,8.475652256982e+00,4.391484928918e-01,1.503054741546e+00,-1.210127933639e-01
A4_rankk,k=6_core,1.044545440644e+01,6.629832873110e-01,3.472856891003e+00,1.028220010553e-01
A4_rankk,k=6_residual,6.071508726341e+00,4.157381648869e-01,-9.010887890951e-01,-1.444231213688e-01
A4_rankk,k=7_core,8.852538443925e+00,6.374241541443e-01,1.879940928489e+00,7.726286788864e-02
A4_rankk,k=7_residual,6.226769058200e+00,3.758721314529e-01,-7.458284572359e-01,-1.842891548028e-01
A4_rankk,k=8_core,8.989772863980e+00,6.286374683840e-01,2.017175348544e+00,6.847618212828e-02
A4_rankk,k=8_residual,5.379192766616e+00,3.764489442546e-01,-1.593404748820e+00,-1.837123420011e-01
A4_rankk,k=9_core,9.465761513769e+00,6.261727144358e-01,2.493163998333e+00,6.601142818010e-02
A4_rankk,k=9_residual,6.417470787944e+00,4.124688896048e-01,-5.551267274924e-01,-1.476923966509e-01
A4_rankk,k=10_core,8.237282489533e+00,6.080968134399e-01,1.264684974097e+00,4.793552718421e-02
A4_rankk,k=10_residual,7.095328943413e+00,4.719104735845e-01,1.227314279771e-01,-8.825081267121e-02
A4_rankk,k=11_core,8.449350661214e+00,6.253913713740e-01,1.476753145778e+00,6.523008511832e-02
A4_rankk,k=11_residual,6.964161144067e+00,4.721691999728e-01,-8.436371369476e-03,-8.799208628291e-02
A4_rankk,k=12_core,9.687358224709e+00,6.190963799027e-01,2.714760709273e+00,5.893509364701e-02
A4_rankk,k=12_residual,6.482212909942e+00,4.050631987360e-01,-4.903846054937e-01,-1.550980875197e-01
A4_rankk,k=13_core,7.748104080753e+00,6.099980269364e-01,7.755065653171e-01,4.983674068073e-02
A4_rankk,k=13_residual,6.724826805044e+00,4.994637921387e-01,-2.477707103918e-01,-6.069749411697e-02
A4_rankk,k=14_core,7.064596350673e+00,5.574936945915e-01,9.199883523719e-02,-2.667591664235e-03
A4_rankk,k=14_residual,6.608569875440e+00,5.984128365517e-01,-3.640276399958e-01,3.825155029598e-02
A4_rankk,k=15_core,8.598614981246e+00,6.091062471722e-01,1.626017465810e+00,4.894496091652e-02
A4_rankk,k=15_residual,7.163773662991e+00,5.931273505362e-01,1.911761475551e-01,3.296606428048e-02
A4_rankk,k=16_core,8.598510721558e+00,5.814962764877e-01,1.625913206122e+00,2.133499023199e-02
A4_rankk,k=16_residual,7.950420179915e+00,5.862127156742e-01,9.778226644794e-01,2.605142941846e-02
A4_rankk,k=17_core,7.545374036686e+00,5.522256157116e-01,5.727765212500e-01,-7.935670544087e-03
A4_rankk,k=17_residual,7.331490973343e+00,5.057436479414e-01,3.588934579065e-01,-5.441763831429e-02
A4_rankk,k=18_core,7.966691401821e+00,5.686437745099e-01,9.940938863850e-01,8.482488254210e-03
A4_rankk,k=18_residual,7.224032793888e+00,5.302454283572e-01,2.514352784517e-01,-2.991585789851e-02
A4_rankk,k=19_core,7.799556567252e+00,5.711696112586e-01,8.269590518164e-01,1.100832500290e-02
A4_rankk,k=19_residual,8.162511992988e+00,5.399107302660e-01,1.189914477552e+00,-2.025055598971e-02
A4_rankk,k=20_core,8.101954335467e+00,5.610613577124e-01,1.129356820031e+00,9.000714567361e-04
A4_rankk,k=20_residual,7.692601824747e+00,5.466683025350e-01,7.200043093112e-01,-1.349298372073e-02
