layer,coef_standardized,abs_coef_standardized
b06,4.236717248060e+03,4.236717248060e+03
b05,-3.367745845093e+03,3.367745845093e+03
b16,-1.163028678675e+03,1.163028678675e+03
b18,1.153552808700e+03,1.153552808700e+03
b33,7.749451017791e+02,7.749451017791e+02
b35,-7.590771568305e+02,7.590771568305e+02
b03,-4.417814286411e+02,4.417814286411e+02
b04,-4.417814275020e+02,4.417814275020e+02
b26,-6.718747929627e+01,6.718747929627e+01
b23,5.598956107422e+01,5.598956107422e+01
b29,-3.813280203706e+01,3.813280203706e+01
b28,2.763106083549e+01,2.763106083549e+01
b34,2.641047317966e+01,2.641047317966e+01
b31,-2.029354896967e+01,2.029354896967e+01
b08,1.983560883455e+01,1.983560883455e+01
b30,1.520817233512e+01,1.520817233512e+01
b19,-1.240671948952e+01,1.240671948952e+01
b10,-1.238093438856e+01,1.238093438856e+01
b15,1.034586706180e+01,1.034586706180e+01
b07,9.983727459366e+00,9.983727459366e+00
b02,9.828053272136e+00,9.828053272136e+00
b09,-8.810977092745e+00,8.810977092745e+00
b12,-8.662159774125e+00,8.662159774125e+00
b13,8.492709220008e+00,8.492709220008e+00
b14,-7.197013736120e+00,7.197013736120e+00
b37,-7.132541987513e+00,7.132541987513e+00
b24,-6.679105629786e+00,6.679105629786e+00
b17,-5.040174100940e+00,5.040174100940e+00
b01,4.808290897392e+00,4.808290897392e+00
b36,4.543302174738e+00,4.543302174738e+00
b21,2.156052595068e+00,2.156052595068e+00
b27,2.156052593850e+00,2.156052593850e+00
b22,1.997499584676e+00,1.997499584676e+00
b32,-1.546504958142e+00,1.546504958142e+00
b20,1.409802005414e+00,1.409802005414e+00
b11,6.732300810530e-01,6.732300810530e-01
b25,-5.351596480313e-01,5.351596480313e-01
