symbol,pc1,pc2,pc3
Ac,-1.2468109906356891e+17,-2.3600187729974394e+17,-1.2907367421036174e+17
Ag,-1.2446983457990488e+17,-2.902072167406757e+16,-1.2607966936501104e+17
Al,-1.3044727663602776e+17,-7.549038491046443e+16,1.1393733795683278e+16
Am,-1.2331294389845946e+17,-2.3149819577090122e+17,-1.6069054433217078e+17
Ar,2.2363343081514132e+16,1.542316487042959e+18,9.1622751590529e+16
As,-1.2428325199293578e+17,-584756556502194.0,-1.2936785174804755e+17
At,-1.2337621728235179e+17,-2.2944336749309757e+17,-1.5913894868471696e+17
Au,-1.24103353448572e+17,-1.3181567980198066e+17,-1.3851098097070098e+17
B,-1.2350290989154674e+17,-3481605659208736.5,-2.1421103081095446e+17
Ba,-1.4030468903907138e+17,-2.87382249238074e+17,2.3293772885187744e+17
Be,-9.987728660432534e+16,1.7818982884003744e+17,-3.3378741956253306e+17
Bh,-1.2326037347413229e+17,-2.2945837803650733e+17,-1.6183785998146467e+17
Bi,-1.2430491149958682e+17,-1.2086353940387109e+17,-1.3340977437811355e+17
Bk,-1.2325882161799294e+17,-2.2981494613413802e+17,-1.6188750287690378e+17
Br,-1.2629220373472054e+17,4.671591227054054e+17,-6.485172153371786e+16
C,-6.087079539335479e+16,8.430908972165798e+17,-7883491534944994.0
Ca,2.191387367455669e+17,6.795219114366452e+17,2.0709841024575014e+17
Cd,-2.756144024000665e+16,-2.5912591686171256e+16,-1.251680949552269e+17
Ce,-1.4356636638879861e+17,-2.981926909679277e+17,3.068656426821512e+17
Cf,-1.2325890918655646e+17,-2.29794825611796e+17,-1.6188470161399376e+17
Cl,-1.4267882260912908e+16,8.247098229445098e+17,-1.0045001128829918e+16
Cm,-1.2331313083930422e+17,-2.3149881057461085e+17,-1.6068621319927123e+17
Co,-1.2325236289377723e+17,-2.3129895934140333e+17,-1.6209411337562218e+17
Cr,-1.1127168653945418e+17,3.414863885480379e+17,2.374059827618713e+17
Cs,-1.297038583730775e+17,-2.3950143802358355e+17,-1.2154341840382676e+16
Cu,-1.2748458944493794e+17,4.942706880518646e+17,-3.606264022397007e+16
Db,-1.2325946905376966e+17,-2.2966618560318912e+17,-1.6186679181628893e+17
Dy,-1.5091589087520685e+17,-3.222918655060978e+17,4.785497276126915e+17
Er,-1.4990783553154534e+17,-3.174891937848855e+17,4.5533015057630195e+17
Es,-1.2325899934693046e+17,-2.2977410957234147e+17,-1.618818174407114e+17
Eu,-1.493202603684906e+17,-2.951723377487458e+17,4.4255223580912346e+17
F,9.863316686934326e+17,-8.054075587837891e+16,-9.196470971252877e+16
Fe,-1.3872420603541192e+17,7.267672899984545e+17,2.34492395255831e+17
Fm,-1.2325913312620635e+17,-2.2974337127081382e+17,-1.618775379263665e+17
Fr,-1.2791758742313138e+17,-2.466431610716479e+17,-5.403530897699478e+16
