symbol,pc1,pc2,pc3
Ac,-0.8169275861567932,-0.733562986823823,-0.37065752491212156
Ag,-0.7755791653812635,-0.15838845218307623,-0.2264407101939528
Al,-0.8279899576683526,-0.7534571174984455,-0.4217700980485091
Am,-0.7840644327150702,-0.7055529071160416,-0.34404806687692585
Ar,-0.7363339272164791,0.20276250323904954,0.24922889238321286
As,-0.7900459644681209,-0.7281686482511707,-0.3559011057861529
At,-0.7841556037328195,-0.7054750710576143,-0.34385226340437036
Au,-0.7863896579860608,-0.7209857786577384,-0.351837312539322
B,-0.7531122416328194,-0.4884383962582407,-0.5386309378296715
Ba,-0.8458983203822509,0.2894806781282588,0.13134542103573663
Be,-0.7914094977560433,-0.3184325228934683,-0.6727838367751161
Bh,-0.7837260182443938,-0.7054433210046577,-0.34397964103529627
Bi,-0.7613224579014408,-0.6904234603700639,-0.34861070538604094
Bk,-0.7844513364509215,-0.7067908372117377,-0.34496059532505075
Br,-0.7840407968438065,-0.3584832654680122,-0.27933452027299
C,-0.14006216485408476,-0.11469069629130657,0.5684847910660007
Ca,-0.836755836039741,-0.8017269994242523,-0.3507821920314721
Cd,-0.7852045975567687,-0.7236493549119587,-0.3422432298392296
Ce,-1.324883131893247,-1.1603328189080881,-0.770954028519955
Cf,-0.7838925775868931,-0.7057166769783373,-0.3441818214095727
Cl,-0.8137922901786084,-0.8160972882556766,-0.39058081264591576
Cm,-0.7846383083805822,-0.7070272500867748,-0.3450058794367809
Co,-0.7830746295826087,-0.7100930428475275,-0.3469284507846122
Cr,-0.8587150536130037,-0.8336509269134147,-0.3853623224238445
Cs,-0.8113828769820888,-0.6747117837203279,-0.3051207341078592
Cu,-0.7396533583761989,-0.007305433980828385,0.3502870662933418
Db,-0.7837267594568522,-0.7054366565788472,-0.34397552390591113
Dy,-0.9340517670732217,-0.7361765647726988,-0.32289830424874677
Er,-0.9219637714070497,-0.730663214760762,-0.32041736391389414
Es,-0.7837949716074785,-0.7055442197147345,-0.3440704833846982
Eu,-0.8999689601452158,-0.7228714716995898,-0.3191095216440323
F,-0.7471842720928632,-0.0036271110710306203,-0.0372632156203645
Fe,-0.9189861128091824,-1.081442110038887,-0.5248636945203455
Fm,-0.7837270347643366,-0.705434181220688,-0.34397399468642464
Fr,-0.8039332848140636,-0.4882477014729391,-0.258132621772205
Ga,-0.8421780226669051,-0.7424612754033054,-0.2821077278495284
Gd,-1.0263994945798216,-0.865290469941838,-0.45836534023249564
Ge,-0.896044795914306,-0.8661805823067109,-0.41790127632443796
H,68.08845064106606,-8.555444214345625,1.1508632622563828
He,7.488889629831556,-1.4846577557427265,0.2871223049941038
Hf,-0.877041108853202,-0.759377206876819,-0.37726125446202313
Hg,-0.7878893656967565,-0.7466688453481874,-0.26513139362898414
Ho,-0.8390645409843746,-0.7283831752981705,-0.35071169648510503
Hs,-0.7837261241318886,-0.7054423689438283,-0.34397905287395597
I,-0.7643972757238588,-0.7751988208049635,-0.3644911685871999
In,-0.8389080755456857,-0.7290716070018893,-0.3537521966323621
Ir,-0.828104373019979,-0.749021340990835,-0.37147291614395883
K,0.47118956685877944,18.957150752100652,42.25665679564616
Kr,-0.7705886264259004,-0.6631379667788462,-0.4070074846941847
La,-0.8832192013912222,-0.7632971175027214,-0.38022700864468667
Li,8.971629138192696,58.72485032859694,-13.939346300416778
Lr,-0.7838777865980594,-0.7052756846057058,-0.3438233721162828
Lu,-0.843866286229001,-0.730338328257763,-0.35623250046372007
Md,-0.7837269606430896,-0.7054348476632689,-0.3439744063993633
Mg,-0.6464436347101883,0.104761310644347,-0.7998697724457511
Mn,-0.8295958373296622,-0.7853612071686639,-0.37748738086211364
Mo,-0.9117814358488058,-0.4237385991497291,-0.20283235756846008
N,-0.7875255554440921,-0.7802333572045826,-0.35589668794603846
Na,-0.037286210535251274,0.8459806554819018,-0.04284949519578587
Nb,-0.7869160088507812,-0.7108299023534979,-0.347991671912597
Nd,-1.0069060515646626,-0.8374603256864692,-0.4342329350798281
Ne,-0.6656726125766877,-0.504379913538848,0.10988873622501383
Ni,-0.9307987204926934,-0.8747794641589428,-0.4869233347599571
No,-0.7837269242177912,-0.7054351751721943,-0.34397460872686464
Np,-0.7843824029123397,-0.7066734927457267,-0.3445610833072133
O,-0.8183238497055146,-0.8510368590005286,-0.3065627098286974
Os,-0.8413105947127008,-0.7539237015452758,-0.3738235544269047
P,-0.7960168134468513,-0.764809738794444,-0.374113349310162
Pa,-0.7842550128573288,-0.7059625536418446,-0.34418841876988593
Pb,-0.791288039491794,-0.7291138816265509,-0.3548590591209906
Pd,-0.7841642892021032,-0.7061063864873434,-0.3445045941880526
Pm,-0.8856186859685167,-0.7824261765650056,-0.39919780302069313
Po,-0.7869232778658188,-0.7109294073999144,-0.3469074335884596
