repeat,k,inertia,silhouette,status,inertia_mean,silhouette_mean
1,2,3.286462308877569e+37,0.775325115016004,ok,2.428629133523292e+37,0.7312250832990758
1,3,2.057483847375915e+37,0.5557681153212904,ok,1.5089677427952098e+37,0.5827242791365342
1,4,1.2630208599894287e+37,0.5696927837207592,ok,1.07554527067415e+37,0.527422354897821
1,5,1.0662902731876681e+37,0.3648895256132877,ok,8.854974884152811e+36,0.4055367717462099
1,6,8.927338842322324e+36,0.3858941927868049,ok,7.222339174764584e+36,0.4249635766347423
1,7,7.56683768176356e+36,0.3902237387822137,ok,5.798365363225266e+36,0.42939590139164174
1,8,5.86531743609036e+36,0.4743619772236535,ok,4.560729962149595e+36,0.474785112705692
2,2,2.6941880694491406e+37,0.870641250862483,ok,2.428629133523292e+37,0.7312250832990758
2,3,1.5200576860786087e+37,0.5907775193167989,ok,1.5089677427952098e+37,0.5827242791365342
2,4,1.0551378451397951e+37,0.6154868440676955,ok,1.07554527067415e+37,0.527422354897821
2,5,8.58488064834796e+36,0.45083020816942676,ok,8.854974884152811e+36,0.4055367717462099
2,6,6.869297115659029e+36,0.41884888695426853,ok,7.222339174764584e+36,0.4249635766347423
2,7,5.49300592235964e+36,0.4268451766095137,ok,5.798365363225266e+36,0.42939590139164174
2,8,4.3793442373546897e+36,0.4935852383388776,ok,4.560729962149595e+36,0.474785112705692
3,2,1.748318587236968e+37,0.5714376650655086,ok,2.428629133523292e+37,0.7312250832990758
3,3,1.2236860473475096e+37,0.5941684687436054,ok,1.5089677427952098e+37,0.5827242791365342
3,4,1.0222707960504413e+37,0.4175191879139051,ok,1.07554527067415e+37,0.527422354897821
3,5,8.473375847036538e+36,0.38853110778954686,ok,8.854974884152811e+36,0.4055367717462099
3,6,6.740260401483185e+36,0.47734900893130705,ok,7.222339174764584e+36,0.4249635766347423
3,7,5.2255963414095716e+36,0.4386432728524443,ok,5.798365363225266e+36,0.42939590139164174
3,8,4.0278294564547117e+36,0.44886035529436763,ok,4.560729962149595e+36,0.474785112705692
4,2,2.9953293042231194e+37,0.8610628608321,ok,2.428629133523292e+37,0.7312250832990758
4,3,1.751100037474759e+37,0.5626072992403577,ok,1.5089677427952098e+37,0.5827242791365342
4,4,1.229650724374662e+37,0.58558649823435,ok,1.07554527067415e+37,0.527422354897821
4,5,1.0212418535782711e+37,0.4123855943932676,ok,8.854974884152811e+36,0.4055367717462099
4,6,8.700687311125495e+36,0.383241191083674,ok,7.222339174764584e+36,0.4249635766347423
4,7,6.739024076093153e+36,0.43573151827926526,ok,5.798365363225266e+36,0.42939590139164174
4,8,5.223845759857091e+36,0.4844952910273178,ok,4.560729962149595e+36,0.474785112705692
5,2,1.4188473978296618e+37,0.5776585247192834,ok,2.428629133523292e+37,0.7312250832990758
5,3,9.925110956992563e+36,0.6102999930606188,ok,1.5089677427952098e+37,0.5827242791365342
5,4,8.076461278164226e+36,0.44882646055239517,ok,1.07554527067415e+37,0.527422354897821
5,5,6.341296657720161e+36,0.4110474227655207,ok,8.854974884152811e+36,0.4055367717462099
5,6,4.8741122032328863e+36,0.4594846034176571,ok,7.222339174764584e+36,0.4249635766347423
5,7,3.9673627945004054e+36,0.4555358004347718,ok,5.798365363225266e+36,0.42939590139164174
5,8,3.3073129209911196e+36,0.4726227016442435,ok,4.560729962149595e+36,0.474785112705692
