symbol,pc1,pc2,pc3
Ag,-1.3744916019215541e+17,-4.712499672944843e+16,6.105734734959034e+16
Al,-1.431270925322373e+17,-9.472521179798218e+16,-2.289853513716286e+16
Am,-1.3348944766761458e+17,-2.4929673235500045e+17,8.089045854601083e+16
Ar,-1.22482293913344e+16,1.524362843305641e+18,-7.057597135523959e+16
At,-1.3358400281436269e+17,-2.4725491824540906e+17,7.995859278167982e+16
B,-1.3721122155556168e+17,-2.2616318040559024e+16,1.1239043695185734e+17
Ba,-1.5066089616269168e+17,-3.08426099736446e+17,-1.5904203795699706e+17
Be,-1.1663341870186942e+17,1.577054036476746e+17,1.813185924458577e+17
Bh,-1.334615772897789e+17,-2.472476421380664e+17,8.16011893358244e+16
Bi,-1.3603273088473083e+17,-1.3889840517340026e+17,6.4956536685411704e+16
Bk,-1.3345511632205245e+17,-2.4760376519152835e+17,8.162923351356533e+16
Br,-1.460842079363339e+17,4.4850038373879066e+17,2.6811920579348236e+16
C,-8.584995633299866e+16,8.248453682717276e+17,-9381056052921140.0
Ca,1.9584733160802544e+17,6.634803453971398e+17,-1.576165483577165e+17
Cd,-4.058539329361316e+16,-4.269760422138237e+16,5.503411481457409e+16
Ce,-1.5395947917810755e+17,-3.19867925716144e+17,-2.045119485096059e+17
Cf,-1.3345548090331016e+17,-2.4758366978226064e+17,8.16276510290174e+16
Cl,-3.8995235005910344e+16,8.071211235898477e+17,-1.0810524515588216e+16
Cm,-1.33489636584815e+17,-2.492973828607076e+17,8.088781866595936e+16
Co,-1.3342822619502918e+17,-2.4908592615393894e+17,8.174595155545133e+16
Cr,-1.3008964571097243e+17,3.207300430310739e+17,-1.5952367574310013e+17
Cs,-1.401240460403317e+17,-2.5852598660979494e+17,-9570590021409098.0
Cu,-1.4770903929749552e+17,4.753714141723507e+17,9451755376456196.0
Dy,-1.613846227663491e+17,-3.453634404215213e+17,-3.088039665452934e+17
Er,-1.603858609588256e+17,-3.403684541454081e+17,-2.9462241635182515e+17
Es,-1.3345585627526072e+17,-2.475629795991645e+17,8.162602170688675e+16
Eu,-1.6006769720621702e+17,-3.179474319478173e+17,-2.8669339014645546e+17
F,9.739559776240152e+17,-8.36941120067117e+16,-2.2983731984818428e+16
Fe,-1.627128621737527e+17,7.056104572644982e+17,-1.5381767873090403e+17
Fm,-1.3345641324930157e+17,-2.4753227966310474e+17,8.162360413112146e+16
Gd,-1.5508770615990227e+17,-3.221300485145235e+17,-2.2046940874033456e+17
Ge,-1.5454432495274368e+17,8.754231755039743e+17,-1.638518093228496e+16
H,-1.3942266403949848e+17,8.132239646200086e+16,5.572677184650238e+16
He,4.801746948496383e+18,-1.878021472412326e+17,-2.713413659308062e+17
Hf,-1.4738343449932563e+17,-1.9977647547299834e+17,-9.720132275249114e+16
Hg,-4.285528499942695e+16,4.395905889800857e+17,1.6796055783949196e+16
Ho,-1.4043794740519467e+17,-2.7323235459402544e+17,-1.6134778996434518e+16
Hs,-1.3346103936889582e+17,-2.4727729188025792e+17,8.160352421033451e+16
I,-1.4306654743011458e+17,2.8213627091462464e+17,3.990609696885469e+16
In,-1.3944510684185738e+17,-2.5416697376426397e+17,239835090403456.75
K,5.001524165354374e+17,-2.6836869972943136e+17,-8.299341217304954e+16
Kr,-4.020926548312965e+16,1.4047969075497764e+18,8.470668112882765e+16
La,-1.447485866166138e+17,-2.4933862746071683e+17,-6.995623625507693e+16
Li,-6.649413677543649e+16,-2.825215103850884e+17,7.957652676368424e+17
Lu,-1.4298269173469638e+17,-2.8198576931613203e+17,-5.176123028433781e+16
Md,-1.334567897939197e+17,-2.475115248435707e+17,8.162196971896437e+16
Mg,-7.715653317416851e+16,2.1534272765939318e+17,7.092558645281728e+17
Mn,-1.5295461711420605e+17,5.1412159829749875e+17,-5.449199647394566e+16
Mo,-1.5043321292104054e+17,-5.2733701648728e+16,-1.1391604258043026e+17
N,3.5536490969576876e+16,8.27002350667778e+17,-2.031219208052493e+16
Na,1.7135137446743347e+18,-2.6496019709819427e+17,7.541682497088685e+17
Nb,-1.3342822619502918e+17,-2.4908592615393894e+17,8.174595155545131e+16
Nd,-1.5189208004594298e+17,-3.12712675921691e+17,-1.7589549249496534e+17
Ne,1.7208759497999132e+18,-2.272383165423493e+17,1.876792072042592e+16
Ni,-1.4302829693687587e+17,5.890433812587453e+16,3710894598900565.5
No,-1.3345697483870342e+17,-2.475013253322568e+17,8.162116652213291e+16
Np,-1.3345541031733189e+17,-2.4758756042143107e+17,8.162795741125061e+16
O,1.1245943432463566e+18,6.558171910805172e+17,-9.539813963206734e+16
Os,-1.427813219516849e+17,-1.0483572476581506e+17,-1.988558990943209e+16
P,-1.4543823033190093e+17,4.1000572723731955e+17,2.914466339896315e+16
Pa,-1.3348858109826715e+17,-2.492937484641467e+17,8.090256776174376e+16
Pb,-1.3780688657383074e+17,-4.7263012033642664e+16,5.624181735274584e+16
Pd,-1.3342822619502918e+17,-2.4908592615393894e+17,8.174595155545133e+16
Pm,-1.4027139922868715e+17,-2.7265008186880106e+17,-1.3872484981815684e+16
Po,-1.3441798755857498e+17,-2.0537574749902646e+17,7.567034974963318e+16
Pr,-1.4193990682652088e+17,-2.7843317747334762e+17,-3.690635238771419e+16
Pt,-1.4044713149222358e+17,2.5055544111273516e+16,3.274792381564005e+16
Ra,-1.3704247596000016e+17,-2.6153345996178762e+17,3.125957117194922e+16
Rb,-1.076483901028157e+17,-2.8139876839144064e+17,-5.413731865888685e+16
Rf,-1.3348995337817234e+17,-2.4929847368719978e+17,8.08833918775921e+16
Rh,-1.3849397997514702e+17,-2.1946563353193594e+17,1.873363159800361e+16
Rn,-1.380581664046797e+17,6112445765814388.0,6.164944718219578e+16
Ru,-1.4568500812121514e+17,-2.1373404435348074e+17,-7.670411061435162e+16
S,-1.5140015891255747e+17,7.398201289185815e+17,3461216645892733.5
Sb,-1.386264178347011e+17,2.217489859866103e+16,5.6679156960680936e+16
Sc,-1.5246154444080538e+17,4.119998316546984e+16,-1.2563169136540018e+17
Se,-1.4007981305661672e+17,1.1224559605492854e+17,5.200457630439897e+16
Sg,-1.3346211521066189e+17,-2.4721799239587488e+17,8.159885446131434e+16
Si,-1.5229758960920598e+17,7.485951476184716e+17,-7126307915968948.0
Sm,-1.474680086597397e+17,-2.974594335973978e+17,-1.1422092461840862e+17
Sn,-1.4099759210268438e+17,9.264157552178598e+16,3.647781847908047e+16
Sr,-1.5045196071098995e+17,-5.7012506233366536e+16,-1.1488421644917107e+17
Ta,-1.450019309107317e+17,-2.4823341077552208e+17,-7.32382992619612e+16
Tb,-1.4895355481940902e+17,-3.025769897643998e+17,-1.349613712864322e+17
Tc,-1.4501666391282214e+17,-2.1020897140190707e+17,-6.716891105607948e+16
Te,-1.376031049299913e+17,-2.750951559705644e+16,6.222201170787077e+16
Th,-1.6417926166292304e+17,-3.533880028392384e+17,-3.475613364684404e+17
Ti,-1.5721439647400438e+17,-2.0054713544928096e+17,-2.290860342295527e+17
Tl,-1.3672695124516462e+17,-2.307642274342738e+17,4.053406608868941e+16
Tm,-1.604045828933007e+17,-1.5016415443064624e+17,-2.6363177425102618e+17
U,-1.3345509986167338e+17,-2.4760467247363936e+17,8.162930496072538e+16
W,-1.523907280417857e+17,1.172373846834767e+17,-1.1219082425420546e+17
Xe,1.547455518890065e+17,8.762661666072659e+17,-3.2360014707242748e+16
Y,-1.4126105412292442e+17,-2.7290222067053075e+17,-2.7128198243677304e+16
Yb,-1.4375901210592878e+17,-1.0588486448419997e+17,-3.320022917725873e+16
Zn,4.067759627544826e+17,3.5308821107140326e+17,-1.3822092985636702e+16
Zr,-1.421081006130908e+17,-2.7413343242619418e+17,-3.863480041261486e+16
