symbol,pc1,pc2,pc3
Ac,-2.4638000764535613e+17,-3.150014752918226e+16,-1.336440180096618e+17
Ag,-4.2031927906086664e+16,-6.249946634331846e+16,-1.2783104554652176e+17
Al,-9.072691123350795e+16,-6.338850656394212e+16,7465571154733563.0
Am,-2.412865054211372e+17,-3.035984521009214e+16,-1.648502480495237e+17
Ar,1.529541415687538e+18,-1.7047947683694214e+17,1.0873412984560827e+17
As,-1.3882695092301448e+16,-6.655324768438789e+16,-1.3068894071759424e+17
At,-2.392888591463733e+17,-3.0754237809461372e+16,-1.6328761756001408e+17
B,-1.6519867226767332e+16,-7.32328457958988e+16,-2.4451694538697075e+17
Ba,-3.0450237018411194e+17,-4.441328283629469e+16,2.236130018093342e+17
Be,1.6661861351590864e+17,-9.110087894741899e+16,-4.050321623470503e+17
Bh,-2.3924865331962128e+17,-3.0598599237965932e+16,-1.6595659372510115e+17
Bi,-1.3258367757046635e+17,-4.839898675731466e+16,-1.3634631535635147e+17
Bk,-2.3959977637332435e+17,-3.0542643243869276e+16,-1.6601060403669088e+17
Br,4.467310078730241e+17,-1.3991834239276544e+17,-6.043795798391074e+16
C,8.274264749814505e+17,-1.3852152488994686e+17,910228681017174.6
Cd,-2.370394177886476e+16,2.4413468591500052e+16,-1.2713640622175208e+17
Ce,-3.167090614412352e+17,-4.72944434853838e+16,2.966590988480135e+17
Cf,-2.395799631054135e+17,-3.054580074404066e+16,-1.6600755632802518e+17
Cl,8.166522178972744e+17,-9.368669391951298e+16,-1600985758243468.8
Cm,-2.4128720089175254e+17,-3.0359999769067004e+16,-1.6484597377450698e+17
Co,-2.410611276622733e+17,-3.0309758039564924e+16,-1.662353914370782e+17
Cr,3.209017363215148e+17,-1.129407190216635e+17,2.3663795791852355e+17
Cu,4.7291836406513926e+17,-1.4559672011363245e+17,-3.159551936597287e+16
Db,-2.3945328751959814e+17,-3.0565988134920644e+16,-1.6598807088613088e+17
Dy,-3.439892415223171e+17,-5.321267023100548e+16,4.660133567838079e+17
Er,-3.387717093071831e+17,-5.259453040417067e+16,4.431148641399171e+17
Es,-2.3955956341435235e+17,-3.054905169831597e+16,-1.6600441841480954e+17
Eu,-3.1647085136774374e+17,-5.51825173785413e+16,4.3078407234675686e+17
F,8.168720666655027e+16,9.464153245499526e+17,-9.767289003380779e+16
Fe,6.970073729197219e+17,-1.9562893830051123e+17,2.391498732488934e+17
Fr,-2.5841823622251987e+17,-3.416994583085865e+16,-5.959366712623452e+16
Ga,-5.0934846877785864e+16,-2.5146383459574524e+16,9.257316580580406e+16
Gd,-3.192686077255113e+17,-4.829541567347991e+16,3.229455519969484e+17
Ge,8.674672729057596e+17,-2.0791429287846422e+17,1.9869337402142948e+16
H,8.470823233284762e+16,-8.222531354785826e+16,-1.1612502570027414e+17
Hf,-1.9596275946414864e+17,-5.4778598549373064e+16,1.2567574274927802e+17
Hg,4.52747318710288e+17,-4.550689543525645e+16,-5.418545531337646e+16
Ho,-2.6687366162992205e+17,-3.606551579248062e+16,-7820771500029669.0
I,2.82702537851793e+17,-1.1377948692992262e+17,-8.56592633884574e+16
In,-2.4771736057944646e+17,-3.732642207568141e+16,-3.391187959064653e+16
Ir,-6.557723518949989e+16,-6.441740721500943e+16,-3.8077311906908344e+16
K,-1.7007348785620438e+17,5.413675606098734e+17,4.000838510660925e+16
Kr,1.4105814331861059e+18,-1.1711894347260978e+17,9.580109541581142e+16
La,-2.4435908800993274e+17,-4.479254566467072e+16,8.01652137696287e+16
Li,-2.470300583521201e+17,3.785459441383683e+17,6772671205681991.0
Lr,-2.4124825640834755e+17,-3.035134488230601e+16,-1.6508532167619e+17
Lu,-2.762349204350975e+17,-3.812785709287365e+16,4.9924278852173896e+16
Md,-2.395088310881633e+17,-3.0557136549808348e+16,-1.6599661468698173e+17
Mg,2.4149888021229904e+17,2.474090281372791e+17,-4.775774040853446e+16
Mn,5.099005196942979e+17,-1.5749985532874323e+17,7.321858766412459e+16
Mo,-5.1087858186547656e+16,-7.836757847557677e+16,1.5633280981950006e+17
N,8.470078822700628e+17,-2.9229161013306572e+16,7179370902965597.0
Na,2.8895107567262244e+16,2.034374589974621e+18,1.0398105097877666e+17
Nb,-2.410611276622733e+17,-3.0309758039564924e+16,-1.662353914370782e+17
Nd,-3.090706470340351e+17,-4.552333233701055e+16,2.5057724681669984e+17
Ni,6.152392717332818e+16,-8.383982981028704e+16,-3.2144961700107e+16
No,-2.3949877477890733e+17,-3.0558739152586544e+16,-1.65995067809354e+17
Np,-2.395837991196594e+17,-3.054518942562043e+16,-1.6600814638989232e+17
O,8.344017808644992e+17,9.783475413453974e+17,2.1923136926181964e+16
Os,-1.0065048227959918e+17,-6.1604413376705944e+16,2294140669639349.0
Pa,-2.4128331527478493e+17,-3.035913624304456e+16,-1.6486985428816714e+17
Pb,-4.226499408960981e+16,-6.293961891888443e+16,-1.2001226175613659e+17
