layer_feature,pearson_r_mean,abs_pearson_r_mean
levels_count_b21,-0.3357586383544784,0.5036379575317176
levels_energy_sum_b21,-0.3338639511520622,0.5007959267280933
levels_total_count,-0.29702699761364976,0.4455404964204746
lines_count_b21,-0.26735836761721105,0.40103755142581654
levels_count_b22,-0.21159946442181918,0.31739919663272875
levels_energy_sum_b22,-0.20901772266375437,0.31352658399563155
lines_count_b17,-0.19937432459979973,0.2990614868996996
lines_count_b24,-0.17747525276464504,0.26621287914696756
lines_intensity_max_b18,-0.17408782273225856,0.26113173409838786
lines_count_b13,-0.17203052723319137,0.25804579084978707
