symbol,pc1,pc2,pc3
Ac,-1.242005940446454e+17,-2.3504027958445872e+17,-1.3025254252959514e+17
Ag,-1.2690108274001533e+17,-3.148224995054637e+16,-1.2757324909823973e+17
Al,-1.3169456804773506e+17,-8.081899833238904e+16,1.1910123194328346e+16
Am,-1.2798248636992773e+17,-2.3329385875405213e+17,-1.639324502854735e+17
Ar,3.621595532683245e+16,1.5399280802834985e+18,9.062335798721622e+16
As,-1.2915334007495845e+17,-787989523808781.5,-1.2813719311221338e+17
At,-1.246288326866306e+17,-2.2375948621471478e+17,-1.5743307759781354e+17
Au,-1.3130249131472283e+17,-1.2799934534197914e+17,-1.3667466152046603e+17
B,-1.2274917596993342e+17,-3832098183940737.5,-2.114917413685263e+17
Ba,-1.436199584876913e+17,-2.840520512049587e+17,2.3038976150972106e+17
Be,-8.946572982190192e+16,1.811223471211057e+17,-3.235978105860933e+17
Bh,-1.0835856715509298e+17,-2.2983381241346886e+17,-1.6227397757391338e+17
Bi,-1.1835904744509342e+17,-1.29530620586638e+17,-1.3191103403587112e+17
Bk,-1.2895703319868989e+17,-2.3507842182679427e+17,-1.627623629547939e+17
Br,-1.1770506067687768e+17,4.6291892944433683e+17,-6.4410749101045944e+16
C,-5.595808116236001e+16,8.398499887529212e+17,-8934264806447826.0
Ca,2.146181143450165e+17,6.74723275499817e+17,2.0530561582814314e+17
Cd,-3.40229837084159e+16,-3.030319606296947e+16,-1.2839462623649128e+17
Ce,-1.5877745350564995e+17,-2.9426581313157946e+17,3.0715479774298394e+17
Cf,-1.3102025405937208e+17,-2.3099042180194147e+17,-1.6323749390641168e+17
Cl,-4866440350789571.0,8.259218070065732e+17,-1.091690696380921e+16
Cm,-1.3081562211161629e+17,-2.2748154966551014e+17,-1.6302150512711747e+17
Co,-1.2807696159159853e+17,-2.238304650125852e+17,-1.623251776316387e+17
Cr,-1.1682875599073184e+17,3.3933111313894746e+17,2.3896501971563373e+17
Cs,-1.2308966914436147e+17,-2.3297118552637763e+17,-9880199031011874.0
Cu,-1.1915063264898534e+17,5.0214786935052486e+17,-3.650494688778295e+16
Db,-1.2672730486632464e+17,-2.2912096009567027e+17,-1.5933650383004006e+17
Dy,-1.6535984926881866e+17,-3.1937205452153254e+17,4.8204535853906726e+17
Er,-1.570305832412605e+17,-3.212110556913148e+17,4.5473533083057786e+17
Es,-1.2493305172971906e+17,-2.293790483227715e+17,-1.610873998336631e+17
Eu,-1.4655226488584646e+17,-2.901761612138123e+17,4.423562681290539e+17
F,9.81476919680976e+17,-8.839004731176533e+16,-9.316966873821861e+16
Fe,-1.40079535526847e+17,7.244910359469221e+17,2.3216024899622557e+17
Fm,-1.316843398142447e+17,-2.2458526494511277e+17,-1.6596599561565446e+17
Fr,-1.2653240514579742e+17,-2.5234346874458486e+17,-5.389819297421963e+16
Ga,-9.19534461292663e+16,-3.931528315351723e+16,1.0003115152863053e+17
Gd,-1.4355665575061674e+17,-3.015627469556437e+17,3.3377243128855104e+17
Ge,-1.2192852046139237e+17,8.915510813990797e+17,1.098847515245827e+16
H,-1.1459842746508958e+17,1.0234031771620491e+17,-1.1422824572511003e+17
He,4.822210401301697e+18,-2.508412958409143e+17,5.4165685603947864e+16
Hf,-1.4136507186765422e+17,-1.785056128182727e+17,1.3440042522451093e+17
Hg,-1.529150870703725e+16,4.607325798174046e+17,-5.648901067372098e+16
Ho,-1.3289129326898397e+17,-2.5195437255823405e+17,-1263543806415227.0
Hs,-1.2093670033921187e+17,-2.3053328840224784e+17,-1.618685945546127e+17
I,-1.1661689590609762e+17,2.9921548977423264e+17,-8.782482900344122e+16
In,-1.3212424536073466e+17,-2.2726740743642474e+17,-2.8473507587840496e+16
Ir,-1.2485509546880622e+17,-5.433608040987573e+16,-3.565712913474264e+16
K,5.051569386070251e+17,-2.609607433484859e+17,4.623781743224953e+16
Kr,2274756212829239.0,1.4250301945409352e+18,6.749872127651264e+16
