layer_feature,pearson_r_mean,abs_pearson_r_mean
levels_count_b21,-0.32874863535221005,0.4931229530283151
levels_energy_sum_b21,-0.32824126413781873,0.4923618962067281
levels_total_count,-0.3164257681579403,0.4746386522369105
lines_count_b21,-0.25607080022281525,0.3841062003342229
levels_count_b22,-0.22162537369804083,0.33243806054706126
levels_energy_sum_b22,-0.21582302575697868,0.323734538635468
lines_count_b17,-0.20403603699072917,0.30605405548609377
levels_energy_sum_b23,-0.17865860572873357,0.26798790859310034
levels_count_b23,-0.173323892868691,0.2599858393030365
lines_count_b24,-0.17192217407281016,0.2578832611092152
