K,spectral_norm,eigen_entropy,effective_rank,modularity
10,4.062184351387e+00,1.462221242930e+00,4.315534741003e+00,5.214264980073e-01
11,4.062709259065e+00,1.633323863045e+00,5.120867524335e+00,1.641796467360e-01
12,4.063228030575e+00,1.777863905732e+00,5.917203205326e+00,1.642420259420e-01
13,4.063587878341e+00,1.821056658290e+00,6.178383442014e+00,1.642767710073e-01
14,4.098805437456e+00,1.854047510603e+00,6.385613124279e+00,1.652164898361e-01
15,4.203223467630e+00,1.896489102643e+00,6.662462111473e+00,9.074882244111e-03
16,4.203224030194e+00,1.948028547452e+00,7.014844506518e+00,1.745377873109e-01
17,4.203901298489e+00,1.968585179623e+00,7.160538442585e+00,1.721827861221e-01
18,4.204542071928e+00,1.963355219914e+00,7.123186873771e+00,1.726405445381e-01
19,4.204560872917e+00,2.045773230771e+00,7.735137272301e+00,1.865700409254e-01
20,4.228076928736e+00,2.128355906801e+00,8.401043352787e+00,1.899570373388e-01
21,4.228596567401e+00,2.210210962856e+00,9.117639673470e+00,1.928326060243e-01
22,4.235708859698e+00,2.229854592766e+00,9.298513909992e+00,2.441561746310e-01
23,4.238869912537e+00,2.257040689154e+00,9.554771747741e+00,2.524524736917e-01
24,4.296422230669e+00,2.261517744488e+00,9.597644890664e+00,2.505725067352e-01
25,4.560745437630e+00,2.282528749270e+00,9.801434468187e+00,2.458731877290e-01
26,5.294001632339e+00,2.273165128407e+00,9.710085896048e+00,2.427552093109e-01
27,6.128394363272e+00,2.254640607073e+00,9.531867008902e+00,2.426426629044e-01
28,6.394887121837e+00,2.275888988123e+00,9.736570862153e+00,2.404493349486e-01
29,6.780392352730e+00,2.278542099588e+00,9.762437368121e+00,2.488222883355e-01
30,7.305422021290e+00,2.290667689047e+00,9.881533270556e+00,2.407594630739e-01
31,7.803659607469e+00,2.313351340039e+00,1.010824411633e+01,2.288402149499e-01
32,8.347507936555e+00,2.328566900591e+00,1.026322277035e+01,2.406283233657e-01
33,8.387147028283e+00,2.357563644473e+00,1.056517953685e+01,2.370242099773e-01
34,8.514624274994e+00,2.374836654597e+00,1.074925720092e+01,2.327637709681e-01
35,8.614872119900e+00,2.375277241123e+00,1.075399422226e+01,2.687562209612e-01
36,8.801185556623e+00,2.396468405562e+00,1.098431565280e+01,3.394000390153e-01
37,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
38,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
39,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
40,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
41,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
42,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
43,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
44,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
45,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
46,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
47,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
48,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
49,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
50,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
51,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
52,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
53,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
54,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
55,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
56,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
57,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
58,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
59,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
60,8.808047046432e+00,2.409543797694e+00,1.112888296474e+01,2.761583028707e-01
