K,transition_base,transition_shuffled,delta
1,7.923496944543e-01,5.707515694918e-01,2.215981249625e-01
2,5.851126663594e-01,6.948845098920e-01,-1.097718435326e-01
3,2.890252182758e-01,6.211976241945e-01,-3.321724059187e-01
4,2.833236087668e-01,4.303960018376e-01,-1.470723930708e-01
5,3.148226906695e-01,5.117697465921e-01,-1.969470559226e-01
6,2.423922503130e-01,4.424780251761e-01,-2.000857748631e-01
7,3.055978188895e-01,5.647236056950e-01,-2.591257868055e-01
8,2.035755519548e-01,4.959997388295e-01,-2.924241868747e-01
9,5.670399638249e-02,3.424461617714e-01,-2.857421653889e-01
10,2.225177641200e-01,4.828841409621e-01,-2.603663768420e-01
11,3.498471046793e-01,3.008469391995e-01,4.900016547972e-02
12,1.673470668962e-01,4.083162180298e-01,-2.409691511336e-01
13,1.142455892894e-01,2.191019665376e-01,-1.048563772482e-01
14,1.285982044221e-01,4.220306124939e-01,-2.934324080719e-01
15,1.495724662411e-01,2.535981312538e-01,-1.040256650128e-01
16,1.141445891657e-01,1.938478764252e-01,-7.970328725956e-02
17,1.342805568500e-02,1.852170139456e-01,-1.717889582606e-01
18,8.807352523482e-02,3.302754205928e-01,-2.422018953580e-01
19,1.987228660835e-01,2.781722884877e-01,-7.944942240423e-02
20,2.094478220342e-01,2.794438085605e-01,-6.999598652637e-02
21,1.450059923614e-01,2.660511690288e-01,-1.210451766673e-01
22,7.714912208325e-02,4.117742657953e-01,-3.346251437121e-01
23,4.972318735001e-02,2.950601991397e-01,-2.453370117897e-01
24,7.493399415748e-02,2.492881496964e-01,-1.743541555389e-01
25,1.409569980170e-01,3.407015231842e-01,-1.997445251672e-01
26,2.353260388648e-01,2.279283021941e-01,7.397736670635e-03
27,1.399310601627e-01,2.545094369196e-01,-1.145783767569e-01
28,1.142859898439e-01,1.826755090458e-01,-6.838951920189e-02
29,1.328448618570e-01,1.918525976017e-01,-5.900773574476e-02
30,1.816370927941e-01,2.316318483833e-01,-4.999475558915e-02
31,1.843008367586e-01,1.947167543360e-01,-1.041591757734e-02
32,1.390810761041e-01,1.985120189978e-01,-5.943094289368e-02
33,9.039023214928e-02,1.734143671574e-01,-8.302413500809e-02
34,8.271113039291e-02,1.136379881712e-01,-3.092685777830e-02
35,9.306665180859e-02,5.562932624008e-02,3.743732556851e-02
36,8.909208817572e-02,1.065357341865e-01,-1.744364601080e-02
37,7.740432022498e-02,1.487011492441e-01,-7.129682901913e-02
