domain_type,subdomain,n_elements,n_bands,pc1,pc2,pc3,best_k,best_silhouette,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,p_mean_top10_anova_block,p_mean_top10_anova_period,p_periodicity_strength,ci_block_low,ci_block_high,ci_period_low,ci_period_high,ci_periodicity_low,ci_periodicity_high
block,d,34,36,2.715543246780e-01,1.715126438377e-01,1.267502037210e-01,3.000000000000e+00,4.706684814521e-01,,3.528762059325e+00,1.956262078334e+07,,7.992007992008e-03,5.694305694306e-02,,,2.846846002745e+00,1.135151240408e+01,2.032113077968e+06,6.941987254956e+07
block,d,34,37,2.790732800573e-01,1.766095712182e-01,1.242432349548e-01,3.000000000000e+00,4.009269472380e-01,,3.311712532822e+00,1.965357158921e+07,,1.798201798202e-02,5.294705294705e-02,,,2.690693104373e+00,1.119182011265e+01,1.913649769515e+06,7.105227372334e+07
block,d,34,38,2.731308571726e-01,1.702887115058e-01,1.195486957622e-01,1.200000000000e+01,5.105772510406e-01,,3.222005862640e+00,1.640771379028e+07,,2.297702297702e-02,6.093906093906e-02,,,2.707935423388e+00,1.038138838725e+01,1.740714519563e+06,6.385084058359e+07
block,f,30,36,5.393040556372e-01,2.571008500472e-01,5.140396696492e-02,3.000000000000e+00,6.479606490286e-01,,8.838927850366e+00,2.444175620436e+06,,9.990009990010e-04,8.991008991009e-03,,,5.133864897162e+00,4.195046313159e+01,5.565317517233e+05,1.465823754157e+07
block,f,30,37,5.091674469805e-01,2.615173801305e-01,5.563289883112e-02,8.000000000000e+00,5.825727964729e-01,,8.777846436864e+00,2.408715671673e+06,,9.990009990010e-04,1.198801198801e-02,,,5.174128688781e+00,3.785734400774e+01,5.753148451388e+05,1.456520818731e+07
block,f,30,38,5.211284694957e-01,2.546385047583e-01,5.420619046450e-02,8.000000000000e+00,5.797433690842e-01,,8.777846436864e+00,2.316354391265e+06,,9.990009990010e-04,1.298701298701e-02,,,4.909281914391e+00,3.568679125109e+01,5.528312822791e+05,1.385531652218e+07
block,p,30,36,2.249151576753e-01,1.477673799698e-01,1.088002365289e-01,3.000000000000e+00,2.847450664790e-01,,1.777168091800e+00,1.102760474946e+06,,2.907092907093e-01,3.996003996004e-02,,,2.452217222930e+00,1.243585666580e+01,5.045521372216e+05,1.786003032775e+06
block,p,30,37,2.207251395766e-01,1.515949209480e-01,1.020448253613e-01,1.000000000000e+01,3.318656860258e-01,,1.728507202733e+00,1.097258853381e+06,,3.546453546454e-01,7.392607392607e-02,,,2.395861914369e+00,1.045416541741e+01,4.950155278931e+05,1.908829846766e+06
block,p,30,38,2.233470052947e-01,1.562722246726e-01,1.073088073936e-01,1.000000000000e+01,3.189011538707e-01,,1.748867802039e+00,1.075981302894e+06,,3.946053946054e-01,6.093906093906e-02,,,2.379005394790e+00,1.069955243616e+01,5.629099944373e+05,2.054364931418e+06
block,s,14,36,2.025797867853e-01,1.533157604973e-01,1.424021323622e-01,1.200000000000e+01,7.238316838730e-01,,6.443957028944e+00,5.015213276742e+05,,1.498501498501e-02,1.568431568432e-01,,,9.993174190373e+00,7.912715351816e+03,1.210000577542e+05,2.205402844383e+06
block,s,14,37,1.963604413311e-01,1.580564943179e-01,1.377199047204e-01,1.200000000000e+01,7.587005681955e-01,,4.712662814309e+00,4.876966669737e+05,,1.008991008991e-01,1.728271728272e-01,,,8.431687370321e+00,1.133095385882e+04,1.229192748175e+05,2.171438070461e+06
block,s,14,38,1.993050301479e-01,1.578838466439e-01,1.492647367419e-01,1.200000000000e+01,7.751378033945e-01,,2.338225449232e+00,4.880006661737e+05,,3.316683316683e-01,1.008991008991e-01,,,5.575067075469e+00,5.273952253778e+03,1.283355744971e+05,2.919151938684e+06
period,2,8,36,4.278066754063e-01,2.002688619440e-01,1.292342874305e-01,7.000000000000e+00,7.486233118132e-01,5.963078164217e+00,,4.554406096150e+05,2.207792207792e-01,,9.990009990010e-04,2.252753517040e+00,1.636809736039e+02,,,6.564605372093e+04,5.904684739960e+05
period,2,8,37,3.997436756046e-01,2.088052225221e-01,1.375224764865e-01,7.000000000000e+00,7.481388447814e-01,6.673539829580e+00,,4.507723625492e+05,2.167832167832e-01,,3.996003996004e-03,5.744144916391e+00,1.688087522613e+03,,,5.826806942044e+04,5.679116148227e+05
period,2,8,38,4.062008705465e-01,2.002501798745e-01,1.600084487225e-01,7.000000000000e+00,7.482815424388e-01,5.541664075660e+00,,4.149934645531e+05,1.578421578422e-01,,4.995004995005e-03,4.852989130435e+00,1.592194117275e+03,,,6.718061863419e+04,5.429254260773e+05
period,3,8,36,4.023020303941e-01,2.087740187885e-01,1.361785554019e-01,7.000000000000e+00,7.351207533765e-01,4.226966665085e+00,,1.633826088141e+05,3.226773226773e-01,,1.628371628372e-01,2.955935911886e+00,1.122382044834e+03,,,7.004635584378e+04,2.521967136853e+05
period,3,8,37,4.049843380141e-01,2.032309925992e-01,1.441846274452e-01,7.000000000000e+00,7.493450984090e-01,4.692795952446e+00,,1.509272855443e+05,2.917082917083e-01,,1.558441558442e-01,2.392618970907e+00,1.803187339178e+03,,,5.738774092858e+04,2.435831684123e+05
period,3,8,38,3.816362994057e-01,2.147475334056e-01,1.573139639954e-01,7.000000000000e+00,7.433771648564e-01,5.240785726616e+00,,1.527310461283e+05,2.387612387612e-01,,1.638361638362e-01,3.273797309983e+00,4.773429631786e+02,,,5.642097664341e+04,2.543157425449e+05
period,4,18,36,3.691597901008e-01,2.263043622648e-01,9.819157582696e-02,2.000000000000e+00,6.228186864198e-01,1.054928198433e+01,,1.622139138359e+07,1.498501498501e-02,,5.594405594406e-02,3.059085427340e+00,7.717287151019e+01,,,2.383462390413e+06,3.998216145496e+07
period,4,18,37,3.477320181282e-01,2.121921532176e-01,1.028780896287e-01,2.000000000000e+00,6.030055863051e-01,1.286607848301e+01,,1.627153694408e+07,4.995004995005e-03,,5.194805194805e-02,2.391368594539e+00,2.054084565347e+02,,,2.324249774516e+06,4.096946107959e+07
period,4,18,38,3.376016684209e-01,2.080411484273e-01,1.015533769320e-01,2.000000000000e+00,5.949524435710e-01,1.286607848301e+01,,1.378755662709e+07,1.998001998002e-03,,5.894105894106e-02,2.130426766540e+00,6.454059250520e+01,,,2.763040947844e+06,3.448845384563e+07
period,5,18,36,2.875242597557e-01,1.745294522967e-01,1.320176307530e-01,1.200000000000e+01,4.639420160696e-01,3.158710694870e+00,,6.329794528139e+05,2.047952047952e-01,,9.990009990010e-03,2.708691194280e+00,2.394850512557e+01,,,2.565167261546e+05,1.486554046246e+06
period,5,18,37,2.816923390008e-01,1.717991065464e-01,1.286277180234e-01,1.200000000000e+01,4.585809593641e-01,2.828224974951e+00,,6.233615586832e+05,3.326673326673e-01,,1.398601398601e-02,2.292244639133e+00,2.540609121547e+01,,,2.858713260617e+05,1.492849388193e+06
period,5,18,38,2.744179526974e-01,1.651586227060e-01,1.285130109664e-01,8.000000000000e+00,4.502332635521e-01,3.629010430126e+00,,6.658000873330e+05,1.328671328671e-01,,1.298701298701e-02,3.093230310303e+00,4.557696904910e+01,,,3.468029733542e+05,1.287848489659e+06
period,6,32,36,3.015605602268e-01,2.114620213028e-01,1.208608190563e-01,1.100000000000e+01,2.929184484844e-01,3.587749334684e+01,,1.145386813098e+06,9.990009990010e-04,,9.990009990010e-04,7.273845033874e+00,1.871398665752e+03,,,7.588889984783e+05,1.723906713999e+06
period,6,32,37,2.946768231233e-01,2.068138980513e-01,1.184843260336e-01,2.000000000000e+00,2.834541079844e-01,3.607157906692e+01,,1.035597505290e+06,9.990009990010e-04,,9.990009990010e-04,8.080329868785e+00,1.871937695186e+03,,,6.948875657789e+05,1.531097576633e+06
period,6,32,38,2.928327174562e-01,2.193333139164e-01,1.167663094065e-01,2.000000000000e+00,2.851513323986e-01,1.303314582381e+02,,1.027427718338e+06,9.990009990010e-04,,9.990009990010e-04,8.691789143730e+00,2.198776784381e+03,,,6.681147730116e+05,1.558006273873e+06
period,7,22,36,9.459813075006e-01,2.882797816499e-02,1.105750885175e-02,2.000000000000e+00,9.405805745754e-01,9.889477637715e-01,,1.788254936824e+06,3.186813186813e-01,,1.598401598402e-02,5.611382943335e-01,2.272964538692e+03,,,7.991480252039e+03,1.422760332315e+07
period,7,22,37,9.411133123109e-01,2.757245978456e-02,1.489538615484e-02,1.000000000000e+01,7.740724828942e-01,1.184624718082e+00,,1.788254936824e+06,3.236763236763e-01,,2.497502497502e-02,5.383214955587e-01,2.278258969482e+03,,,6.857454260258e+03,1.422210364195e+07
period,7,22,38,9.403058848476e-01,2.696582506886e-02,1.466590727151e-02,4.000000000000e+00,7.710130351439e-01,1.231907915430e+00,,1.674682905054e+06,3.386613386613e-01,,1.198801198801e-02,5.913197208182e-01,1.483326123880e+03,,,6.991360154785e+03,1.331201231065e+07
z_range,1-20,20,36,1.733410806973e-01,1.391196742443e-01,1.229857699009e-01,1.200000000000e+01,3.659385810031e-01,3.662019650783e+00,7.828449484640e+00,1.826839490535e+06,1.198801198801e-02,2.597402597403e-02,1.398601398601e-02,3.600309054330e+00,1.417535529134e+01,5.803324990908e+00,8.897929181031e+02,5.426803144266e+05,2.772348550212e+06
z_range,1-20,20,37,1.694377263403e-01,1.385043161888e-01,1.207812757855e-01,1.100000000000e+01,4.246054105471e-01,4.564300613766e+00,8.505375970411e+00,1.983107815637e+06,2.997002997003e-03,2.797202797203e-02,6.993006993007e-03,4.432087341636e+00,1.739771837961e+01,4.492552292539e+00,7.858679209081e+02,5.916147024892e+05,3.304034452140e+06
z_range,1-20,20,38,1.758024697510e-01,1.445248012976e-01,1.286677434525e-01,1.100000000000e+01,3.864701192393e-01,4.661570535213e+00,7.591250651434e+00,2.171816287093e+06,3.996003996004e-03,4.395604395604e-02,3.996003996004e-03,4.303184557477e+00,1.637092819861e+01,4.897481337138e+00,9.027022726020e+02,6.134101052794e+05,3.479334113115e+06
z_range,21-40,20,36,2.749597523362e-01,1.636061881630e-01,1.289808617763e-01,1.200000000000e+01,4.219299514014e-01,2.282725267956e+00,3.240217882161e+00,1.810731853688e+07,4.815184815185e-01,2.497502497502e-01,3.796203796204e-02,1.420305894736e+00,1.202874870151e+01,8.401303493039e-01,1.574572675922e+01,2.855757505122e+06,5.173680418179e+07
z_range,21-40,20,37,2.636959922882e-01,1.483489464521e-01,1.280648880605e-01,9.000000000000e+00,3.875678134814e-01,2.235848817236e+00,2.792380471948e+00,1.810028866521e+07,5.424575424575e-01,3.786213786214e-01,5.094905094905e-02,1.520745219666e+00,1.077168269509e+01,7.018958971822e-01,2.865014565140e+01,2.732948263110e+06,5.332091103210e+07
z_range,21-40,20,38,2.610622204619e-01,1.622749331323e-01,1.311584552710e-01,9.000000000000e+00,4.261193455268e-01,2.239013879522e+00,2.703956794122e+00,1.515655372298e+07,4.985014985015e-01,4.205794205794e-01,5.294705294705e-02,1.580613531964e+00,1.245766376258e+01,5.382014912972e-01,2.756044411942e+01,2.043878170545e+06,4.564675304500e+07
z_range,41-60,20,36,3.431103795235e-01,2.433625594057e-01,1.269989402073e-01,1.200000000000e+01,3.954170161741e-01,7.080843138404e+00,8.221051715204e+00,4.361684282170e+05,1.298701298701e-02,9.990009990010e-04,1.598401598402e-02,5.680703274121e+00,2.594319844468e+02,4.804056081461e+00,6.490060368925e+01,3.111990658979e+05,8.305142707716e+05
z_range,41-60,20,37,3.453602029343e-01,2.491752866513e-01,1.291210068008e-01,1.200000000000e+01,4.335742205036e-01,9.225328776846e+00,1.080789125586e+01,4.271125880698e+05,1.098901098901e-02,9.990009990010e-04,1.298701298701e-02,8.086553217559e+00,4.036232047018e+02,5.698482390348e+00,8.731604057752e+01,2.937728533040e+05,8.485147367406e+05
z_range,41-60,20,38,3.544111407316e-01,2.472823226614e-01,1.255063898026e-01,1.200000000000e+01,4.408265372799e-01,9.217397677323e+00,1.105728650165e+01,4.267149667389e+05,1.398601398601e-02,9.990009990010e-04,1.698301698302e-02,8.745030490010e+00,3.281173329709e+02,5.873048373366e+00,1.236543353560e+02,2.880200806077e+05,9.004248122186e+05
z_range,61-80,20,36,3.842653376031e-01,2.221350394789e-01,1.086423978767e-01,1.200000000000e+01,4.491235145970e-01,7.293116893454e+00,,4.291362933882e+05,1.998001998002e-03,,1.198801198801e-02,5.074288180684e+00,2.482343454701e+01,,,2.607893176834e+05,7.048082661055e+05
z_range,61-80,20,37,3.744974858439e-01,2.226392732486e-01,1.118275598562e-01,1.200000000000e+01,4.595168209455e-01,7.597710459459e+00,,3.890026183419e+05,9.990009990010e-04,,1.198801198801e-02,5.392511717952e+00,3.289792097347e+01,,,2.540128562720e+05,6.514785986003e+05
z_range,61-80,20,38,3.878918045165e-01,2.169796584309e-01,1.093254935680e-01,1.200000000000e+01,5.439114475766e-01,7.521145075656e+00,,3.694300723400e+05,9.990009990010e-04,,9.990009990010e-03,5.272487256514e+00,2.333228148782e+01,,,2.383345474338e+05,6.162695388027e+05
z_range,81-100,20,36,8.059564095651e-01,7.222222591380e-02,4.877420066541e-02,6.000000000000e+00,7.423820048672e-01,2.393691034675e+00,3.624009832121e+00,2.747566178959e+06,1.618381618382e-01,4.295704295704e-02,3.396603396603e-02,2.184882075802e+00,5.961206890783e+02,2.997822701850e+00,4.950403911784e+01,1.297173001608e+04,2.181527083528e+07
z_range,81-100,20,37,7.900977002684e-01,8.139433724120e-02,5.255393445611e-02,9.000000000000e+00,8.060164119855e-01,2.593765451266e+00,4.158207194729e+00,2.747900312816e+06,1.458541458541e-01,1.898101898102e-02,2.797202797203e-02,2.311679358832e+00,1.512699377910e+03,3.178699197183e+00,3.723482689737e+01,1.304166396062e+04,2.166982469174e+07
