K,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,best_k_silhouette,p_block,p_period,p_periodicity,n_perm,n_elements
30,1.371231156164e+00,5.368105988900e+00,1.360745519990e+06,7.075640016940e-01,4.825870646766e-01,1.492537313433e-02,2.636815920398e-01,200,36
31,1.482091727472e+00,5.948662224965e+00,1.309244643722e+06,7.268666314765e-01,4.925373134328e-01,9.950248756219e-03,3.432835820896e-01,200,36
32,1.576291784848e+00,6.373619843651e+00,1.186535576308e+06,7.276310441866e-01,3.781094527363e-01,9.950248756219e-03,3.781094527363e-01,200,36
33,1.560153917517e+00,6.764678552976e+00,1.145886943388e+06,7.023286407282e-01,4.527363184080e-01,4.975124378109e-03,3.980099502488e-01,200,36
34,1.583325210926e+00,6.785864828086e+00,1.070521837874e+06,7.001100293176e-01,4.427860696517e-01,4.975124378109e-03,2.985074626866e-01,200,36
35,1.608391930420e+00,7.516465281882e+00,1.044581780799e+06,6.885720078285e-01,4.626865671642e-01,4.975124378109e-03,2.587064676617e-01,200,36
36,1.527466271065e+00,7.179539091141e+00,9.450809781988e+05,6.941463167011e-01,4.776119402985e-01,4.975124378109e-03,3.134328358209e-01,200,36
37,1.762605266456e+00,7.229864175762e+00,9.189677599624e+05,7.194124013966e-01,3.830845771144e-01,4.975124378109e-03,3.383084577114e-01,200,36
38,1.727649892810e+00,7.238226299142e+00,8.665311809526e+05,7.029819284716e-01,4.129353233831e-01,4.975124378109e-03,2.736318407960e-01,200,36
39,1.522336008813e+00,6.841218973077e+00,8.404991010621e+05,6.959072706109e-01,5.522388059701e-01,9.950248756219e-03,3.184079601990e-01,200,36
40,1.642065153202e+00,7.296791268258e+00,7.783669000453e+05,6.342278165112e-01,5.024875621891e-01,4.975124378109e-03,2.885572139303e-01,200,36
41,1.730257789513e+00,7.121488574923e+00,7.567220306740e+05,7.017186153800e-01,4.378109452736e-01,4.975124378109e-03,3.184079601990e-01,200,36
42,1.791178336136e+00,7.336409708182e+00,7.091481728045e+05,7.165046948575e-01,4.029850746269e-01,4.975124378109e-03,2.636815920398e-01,200,36
43,1.948336984458e+00,7.398435965294e+00,6.928904851445e+05,7.029931689331e-01,3.482587064677e-01,4.975124378109e-03,2.636815920398e-01,200,36
44,1.920133123494e+00,7.172992601106e+00,6.511554835864e+05,7.003505934954e-01,4.079601990050e-01,4.975124378109e-03,2.537313432836e-01,200,36
45,1.827473248404e+00,7.592626891808e+00,6.376453476679e+05,6.148405693960e-01,4.029850746269e-01,4.975124378109e-03,2.437810945274e-01,200,36
46,1.815677075073e+00,7.544255746409e+00,5.901703285272e+05,7.006512645873e-01,4.427860696517e-01,9.950248756219e-03,3.134328358209e-01,200,36
47,1.866953797925e+00,7.832763172262e+00,5.760672129449e+05,6.873907749865e-01,3.631840796020e-01,4.975124378109e-03,3.084577114428e-01,200,36
48,1.898064585655e+00,8.006310097432e+00,5.498266460534e+05,6.906400511065e-01,3.781094527363e-01,4.975124378109e-03,2.388059701493e-01,200,36
49,1.721926832666e+00,7.281550582712e+00,5.365424151127e+05,6.953196455296e-01,5.273631840796e-01,4.975124378109e-03,2.985074626866e-01,200,36
50,1.765277710795e+00,7.378148644865e+00,5.052855139705e+05,6.950174941292e-01,5.074626865672e-01,4.975124378109e-03,2.238805970149e-01,200,36
