K,sync_adjacent,sync_long_range,sync_total,dsync_dK,sync_shuffle_temporal_order,sync_phase_randomized_surrogate,sync_random_matched
1,,,,,,,
2,1.800291028949e-01,,,,,,
3,1.334515743701e-01,,,,,,
4,4.223010495801e-01,,,,,,
5,5.603430231256e-01,,,,,,
6,6.480571923931e-01,6.180317114844e-02,3.549301817708e-01,,4.771567395398e-02,1.871625393696e-01,1.848427669190e-01
7,5.727751708351e-01,1.627320538625e-01,3.677536123488e-01,-2.487931943467e-02,9.350856089139e-02,1.891325151427e-01,2.178161463664e-01
8,4.970611448225e-01,1.132819409804e-01,3.051715429014e-01,-2.259756547270e-02,1.033232520955e-01,1.643790123772e-01,2.535670024226e-01
9,5.511602891905e-01,9.395667361622e-02,3.225584814034e-01,1.478185233949e-02,8.957577105657e-02,1.572395312644e-01,2.540086527644e-01
10,5.917978768412e-01,7.767261831968e-02,3.347352475804e-01,-5.560179222756e-03,7.581668417417e-02,1.492414821175e-01,2.530454163029e-01
11,5.337533944343e-01,8.912285148143e-02,3.114381229579e-01,-2.377075951130e-02,8.990799483518e-02,1.470015732601e-01,2.621747226896e-01
12,4.863436569060e-01,8.804380020960e-02,2.871937285578e-01,-4.603930860872e-03,1.254644089560e-01,1.494520696654e-01,2.747982822977e-01
13,5.236673215249e-01,8.079320094732e-02,3.022302612361e-01,1.858147981026e-02,1.162647235440e-01,1.487321505190e-01,2.944774107290e-01
14,5.509696682009e-01,9.774370815577e-02,3.243566881783e-01,2.014308757048e-02,1.163386277426e-01,1.484913622626e-01,2.897321535077e-01
15,5.732062480807e-01,1.118266246735e-01,3.425164363771e-01,6.889296480732e-03,1.173389574572e-01,1.524228580911e-01,2.942318083790e-01
16,5.551570885629e-01,1.211134737168e-01,3.381352811398e-01,7.973051983106e-03,1.140652649718e-01,1.567262205280e-01,2.889068784235e-01
17,5.715104520067e-01,1.454146286799e-01,3.584625403433e-01,1.487553292218e-02,1.233045351496e-01,1.572529328680e-01,2.721211928287e-01
18,5.859145448982e-01,1.498581490702e-01,3.678863469842e-01,-1.484279057541e-03,1.259119250615e-01,1.586436883981e-01,2.967653810850e-01
19,5.693391532901e-01,1.416488111663e-01,3.554939822282e-01,-1.349769466166e-02,1.173604394665e-01,1.548060564498e-01,2.806432755377e-01
20,5.581610397579e-01,1.236208755638e-01,3.408909576608e-01,-4.815935004268e-03,1.162357545453e-01,1.523516506236e-01,2.834481094414e-01
21,5.441960944559e-01,1.475281299835e-01,3.458621122197e-01,1.727221512500e-02,1.270934614504e-01,1.605818040226e-01,3.024744776401e-01
22,5.654832444540e-01,1.853875313676e-01,3.754353879108e-01,1.246029835746e-02,1.335368307328e-01,1.628924343348e-01,3.017553039149e-01
23,5.745674957841e-01,1.669979220851e-01,3.707827089346e-01,-1.458004206576e-02,1.446268990035e-01,1.602027852905e-01,2.953449723475e-01
24,5.823166483253e-01,1.102339592333e-01,3.462753037793e-01,-3.015968750928e-03,1.321412040087e-01,1.545306795529e-01,3.018235140510e-01
25,5.811156954541e-01,1.483858474113e-01,3.647507714327e-01,1.222609214014e-02,1.588314578346e-01,1.544155181375e-01,3.051632860500e-01
26,5.882241994805e-01,1.532307766387e-01,3.707274880596e-01,8.500823545274e-03,1.360845648452e-01,1.553648897447e-01,2.906893833400e-01
27,5.964736656083e-01,1.670311714383e-01,3.817524185233e-01,1.407251996748e-02,1.472160728404e-01,1.638236526707e-01,3.156759780980e-01
28,5.928071326534e-01,2.049379233357e-01,3.988725279946e-01,4.232473402042e-03,1.389648303495e-01,1.608616699236e-01,3.169376959752e-01
29,6.070165870734e-01,1.734181435814e-01,3.902173653274e-01,1.137099775571e-04,1.422837793336e-01,1.675881236987e-01,2.938144237481e-01
30,6.122878656408e-01,1.859120302586e-01,3.990999479497e-01,2.187086332317e-03,1.497234283551e-01,1.595765105676e-01,2.995306883966e-01
