metric,model,aic,bic,cv_mse,cv_std
mean_top10_anova_block,poly3,5.565765645898e+02,5.657384023544e+02,2.132627946269e-01,5.822457216506e-02
mean_top10_anova_block,spline,5.605765645898e+02,5.743193212367e+02,2.132627946269e-01,5.822457216506e-02
mean_top10_anova_block,gaussian2,5.625483612416e+02,5.785815773296e+02,2.160230789110e-01,3.298834369375e-02
mean_top10_anova_block,poly2,5.545765645898e+02,5.614479429132e+02,2.654411928418e-01,7.827150527552e-02
mean_top10_anova_period,spline,4.825685756079e+02,4.963113322548e+02,5.488610113019e+00,2.045512971720e+00
mean_top10_anova_period,poly3,4.785685756079e+02,4.877304133725e+02,5.488610113019e+00,2.045512971720e+00
mean_top10_anova_period,poly2,4.765685756079e+02,4.834399539313e+02,5.566972833047e+00,1.916865013480e+00
mean_top10_anova_period,gaussian2,4.845111719798e+02,5.005443880679e+02,5.911632720381e+00,1.819338987684e+00
periodicity_strength,spline,2.522034152310e+03,2.535776908957e+03,8.494672304491e+13,6.061594955481e+13
periodicity_strength,poly3,2.518034152310e+03,2.527195990074e+03,8.494672304491e+13,6.061594955481e+13
periodicity_strength,poly2,2.516034152310e+03,2.522905530633e+03,9.063658549157e+13,5.500714039505e+13
periodicity_strength,gaussian2,2.524034152179e+03,2.540067368267e+03,9.804446798596e+13,6.652780049295e+13
silhouette_best,gaussian2,5.795687630287e+02,5.956019791168e+02,1.299520290165e-03,9.584120628312e-04
silhouette_best,poly2,5.715962778709e+02,5.784676561943e+02,1.302575136059e-03,9.860376978332e-04
silhouette_best,poly3,5.735962778709e+02,5.827581156355e+02,1.342730698727e-03,9.881960214297e-04
silhouette_best,spline,5.775962778709e+02,5.913390345178e+02,1.225533982254e-01,2.414494265606e-01
Z_R2,spline,5.776320233128e+02,5.913747799597e+02,2.589520916812e-04,1.833562979559e-04
Z_R2,poly3,5.736320233128e+02,5.827938610774e+02,2.589520916812e-04,1.833562979559e-04
Z_R2,gaussian2,5.796051029067e+02,5.956383189948e+02,2.779654711992e-04,1.371274502615e-04
Z_R2,poly2,5.716320233128e+02,5.785034016363e+02,4.204186200963e-04,2.985502619674e-04
