n_bands,best_k,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,n_perm
8,2,2.951677356581e+00,5.799425461292e+00,6.691426000393e+07,7.212689108654e-01,4.633195142270e-01,4.975124378109e-03,9.950248756219e-03,1.442786069652e-01,2.380952380952e-01,4.975124378109e-03,200
9,2,2.657726819885e+00,5.489347860202e+00,6.029535848063e+07,7.165453819293e-01,5.032168200273e-01,4.975124378109e-03,4.975124378109e-03,1.641791044776e-01,2.857142857143e-01,4.975124378109e-03,200
10,2,3.337656216751e+00,8.620576142382e+00,1.015064826306e+08,7.774037616786e-01,5.593073903962e-01,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,4.761904761905e-02,4.975124378109e-03,200
11,6,4.586707746815e+00,8.539406350304e+00,9.339965324941e+07,5.813241482022e-01,5.794995483468e-01,4.975124378109e-03,4.975124378109e-03,8.457711442786e-02,1.428571428571e-01,4.975124378109e-03,200
12,8,4.119878272257e+00,1.252479532957e+01,4.640507900035e+07,6.468875531513e-01,5.499584004830e-01,4.975124378109e-03,4.975124378109e-03,1.592039800995e-01,4.761904761905e-02,4.975124378109e-03,200
13,2,5.293672570316e+00,1.326501610801e+01,4.226283868957e+07,5.634952509551e-01,5.958952333356e-01,4.975124378109e-03,4.975124378109e-03,1.940298507463e-01,8.095238095238e-01,4.975124378109e-03,200
14,2,5.936067844146e+00,1.315419341887e+01,7.311915213122e+07,7.481918161123e-01,5.882892811508e-01,4.975124378109e-03,4.975124378109e-03,1.044776119403e-01,4.761904761905e-02,4.975124378109e-03,200
15,2,5.001070678595e+00,1.298021709773e+01,6.711371681057e+07,7.406368359204e-01,5.938411058485e-01,4.975124378109e-03,4.975124378109e-03,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,200
16,2,4.580492394031e+00,1.221683926512e+01,3.329893409871e+07,7.450481076867e-01,6.097720292461e-01,4.975124378109e-03,4.975124378109e-03,1.940298507463e-01,4.761904761905e-02,4.975124378109e-03,200
17,4,4.793362244697e+00,1.272257170611e+01,3.186569922621e+07,6.072794398533e-01,6.369665015607e-01,4.975124378109e-03,4.975124378109e-03,1.393034825871e-01,9.523809523810e-02,4.975124378109e-03,200
18,3,5.113142654154e+00,1.436510588199e+01,5.247848301477e+07,7.341701698867e-01,6.344801508385e-01,4.975124378109e-03,4.975124378109e-03,1.293532338308e-01,4.761904761905e-02,4.975124378109e-03,200
19,3,6.316436639155e+00,1.477542447545e+01,4.987986485323e+07,6.899418601116e-01,6.359457282295e-01,4.975124378109e-03,4.975124378109e-03,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,200
20,3,6.590131012052e+00,1.406630672584e+01,2.705514110720e+07,7.179628526530e-01,6.488562609261e-01,4.975124378109e-03,4.975124378109e-03,1.641791044776e-01,4.761904761905e-02,4.975124378109e-03,200
21,10,5.675998852271e+00,1.319861674469e+01,2.512042758442e+07,5.855379872678e-01,6.475403648057e-01,4.975124378109e-03,4.975124378109e-03,1.542288557214e-01,4.761904761905e-02,4.975124378109e-03,200
