K,spectral_entropy,top1_variance_ratio,K90_within_submatrix,d_entropy_dK,d_top1_dK,collapse_score,entropy_within_layer,entropy_block_preserving,entropy_random_matched,top1_within_layer,top1_block_preserving,top1_random_matched,K90_within_layer,K90_block_preserving,K90_random_matched
1,-0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,6.768532500742e-01,-4.099854485525e-01,-1.086838698627e+00,-0.000000000000e+00,-0.000000000000e+00,-0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00,1.000000000000e+00
2,6.768532500742e-01,5.900145514475e-01,2.000000000000e+00,5.431517023724e-01,-3.022658782712e-01,-8.454175806436e-01,6.905633424810e-01,5.769425673855e-01,6.739001017290e-01,5.359277880248e-01,7.362502921038e-01,5.977836256894e-01,2.000000000000e+00,2.000000000000e+00,2.000000000000e+00
3,1.086303404745e+00,3.954682434576e-01,3.000000000000e+00,1.766131304124e-01,-4.403586973309e-02,-2.206490001455e-01,1.091821650244e+00,7.434599891275e-01,9.863292391222e-01,3.868187545185e-01,7.448358737771e-01,5.629960035573e-01,3.000000000000e+00,3.000000000000e+00,3.000000000000e+00
4,1.030079510899e+00,5.019428119813e-01,3.000000000000e+00,-5.341475468098e-02,9.950051497777e-02,1.529152696588e-01,1.380345481199e+00,1.026052045003e+00,1.181781240818e+00,2.901307594983e-01,6.524398640484e-01,4.984705450536e-01,4.000000000000e+00,4.000000000000e+00,3.000000000000e+00
5,9.794738953828e-01,5.944692734132e-01,3.000000000000e+00,-6.516173296352e-02,7.932324907548e-02,1.444849820390e-01,1.604229932430e+00,1.244804800153e+00,1.382156923815e+00,2.324208773869e-01,4.547800118871e-01,4.084832819406e-01,5.000000000000e+00,4.000000000000e+00,4.000000000000e+00
6,8.997560449719e-01,6.605893101322e-01,3.000000000000e+00,8.791707727395e-02,-9.995052409036e-03,-9.791212968299e-02,1.785444078381e+00,1.325592167299e+00,1.497388515252e+00,1.987128412952e-01,5.168621029463e-01,3.872573193369e-01,6.000000000000e+00,4.000000000000e+00,4.000000000000e+00
7,1.155308049931e+00,5.744791685951e-01,3.000000000000e+00,2.430584690249e-01,-7.896001784537e-02,-3.220184868702e-01,1.933125284372e+00,1.426986262741e+00,1.592637426506e+00,1.833476677460e-01,4.127659768841e-01,3.568746535743e-01,7.000000000000e+00,4.000000000000e+00,5.000000000000e+00
8,1.385872983022e+00,5.026692744415e-01,4.000000000000e+00,1.517850753056e-01,-6.366779510002e-02,-2.154528704056e-01,2.067269991451e+00,1.493386645504e+00,1.680182832569e+00,1.612198103147e-01,4.303495642490e-01,3.245169116470e-01,7.000000000000e+00,5.000000000000e+00,5.000000000000e+00
9,1.458878200542e+00,4.471435783950e-01,4.000000000000e+00,3.817412995399e-02,-5.010606055477e-02,-8.828019050876e-02,2.181219270940e+00,1.635494807805e+00,1.732792948780e+00,1.467183344706e-01,4.031428978292e-01,3.032097239142e-01,8.000000000000e+00,5.000000000000e+00,5.000000000000e+00
10,1.462221242930e+00,4.024571533319e-01,4.000000000000e+00,8.722283125152e-02,-4.061308098203e-02,-1.278359122336e-01,2.286805369494e+00,1.682587514902e+00,1.804385338814e+00,1.324272494765e-01,3.732746941146e-01,2.895122447732e-01,9.000000000000e+00,6.000000000000e+00,5.000000000000e+00
11,1.633323863045e+00,3.659174164310e-01,5.000000000000e+00,1.578213314013e-01,-3.349501213221e-02,-1.913163435335e-01,2.381865392324e+00,1.830298866055e+00,1.870646868757e+00,1.205678285839e-01,3.355088653905e-01,2.818956433882e-01,1.000000000000e+01,6.000000000000e+00,6.000000000000e+00
12,1.777863905732e+00,3.354671290675e-01,6.000000000000e+00,9.386639762234e-02,-2.811401342116e-02,-1.219804110435e-01,2.467169795237e+00,1.926975911780e+00,1.819400800194e+00,1.112699869360e-01,3.190579557620e-01,3.782151242146e-01,1.100000000000e+01,7.000000000000e+00,6.000000000000e+00
13,1.821056658290e+00,3.096893895887e-01,6.000000000000e+00,3.809180243553e-02,-2.270308113170e-02,-6.079488356724e-02,2.546600848756e+00,2.008502162394e+00,1.822493202037e+00,1.048987901138e-01,3.050030651598e-01,3.939130847424e-01,1.200000000000e+01,8.000000000000e+00,6.000000000000e+00
14,1.854047510603e+00,2.900609668041e-01,6.000000000000e+00,3.771622217641e-02,-1.603453706704e-02,-5.375075924345e-02,2.620847370693e+00,2.111055504525e+00,1.875922125837e+00,9.741187658098e-02,2.847135373071e-01,3.754294647244e-01,1.300000000000e+01,8.000000000000e+00,6.000000000000e+00
15,1.896489102643e+00,2.776203154546e-01,6.000000000000e+00,4.699051842462e-02,-1.489594311539e-02,-6.188646154001e-02,2.687473425900e+00,2.184078043642e+00,1.930686557543e+00,9.108386163795e-02,2.361605432689e-01,3.578144668371e-01,1.300000000000e+01,9.000000000000e+00,7.000000000000e+00
16,1.948028547452e+00,2.602690805733e-01,6.000000000000e+00,3.604803849049e-02,-1.631085518417e-02,-5.235889367466e-02,2.744897407146e+00,2.238172035776e+00,1.950498429200e+00,9.587858848934e-02,2.245802163883e-01,3.545570384409e-01,1.400000000000e+01,9.000000000000e+00,7.000000000000e+00
17,1.968585179623e+00,2.449986050863e-01,7.000000000000e+00,7.663336230787e-03,-1.442312009728e-02,-2.208645632807e-02,2.800759690528e+00,2.301994799627e+00,1.983350905224e+00,9.464696808039e-02,2.164562526589e-01,3.389729538551e-01,1.500000000000e+01,1.000000000000e+01,7.000000000000e+00
18,1.963355219914e+00,2.314228403788e-01,7.000000000000e+00,3.859402557394e-02,-1.287746691882e-02,-5.147149249276e-02,2.849869217773e+00,2.329193609945e+00,2.001171942853e+00,8.997428686229e-02,2.300460350797e-01,3.237432199232e-01,1.500000000000e+01,1.000000000000e+01,7.000000000000e+00
19,2.045773230771e+00,2.192436712486e-01,7.000000000000e+00,8.250034344354e-02,-1.098821848228e-02,-9.348856192582e-02,2.897136602046e+00,2.368410022847e+00,2.048362002328e+00,8.800006565383e-02,2.261898873406e-01,3.079168261418e-01,1.600000000000e+01,1.000000000000e+01,7.000000000000e+00
20,2.128355906801e+00,2.094464034142e-01,8.000000000000e+00,8.221886604240e-02,-9.873195255715e-03,-9.209206129812e-02,2.936204735747e+00,2.413410302986e+00,2.051624827394e+00,8.959699224167e-02,2.223794708063e-01,3.125062123433e-01,1.700000000000e+01,1.100000000000e+01,7.000000000000e+00
21,2.210210962856e+00,1.994972807372e-01,8.000000000000e+00,5.074934298253e-02,-9.348444133935e-03,-6.009778711647e-02,2.984899260868e+00,2.483386500753e+00,2.042770023731e+00,8.533589497031e-02,2.116035682993e-01,3.298835095519e-01,1.800000000000e+01,1.200000000000e+01,7.000000000000e+00
22,2.229854592766e+00,1.907495151463e-01,9.000000000000e+00,2.341486314880e-02,-8.452529128357e-03,-3.186739227716e-02,3.029232044578e+00,2.515844853169e+00,2.050828973054e+00,8.182984819929e-02,2.021758843018e-01,3.333597107734e-01,1.800000000000e+01,1.200000000000e+01,8.000000000000e+00
23,2.257040689154e+00,1.825922224805e-01,9.000000000000e+00,1.583157586082e-02,-6.694746253428e-03,-2.252632211425e-02,3.066999029690e+00,2.539218014529e+00,2.063438184190e+00,7.827661461391e-02,1.938023231102e-01,3.157023267595e-01,1.900000000000e+01,1.200000000000e+01,8.000000000000e+00
24,2.261517744488e+00,1.773600226395e-01,9.000000000000e+00,1.274403005793e-02,-9.257849760848e-04,-1.366981503402e-02,3.088706993501e+00,2.549650811982e+00,2.097795919619e+00,7.618628391875e-02,1.829251031772e-01,3.089292447417e-01,1.900000000000e+01,1.300000000000e+01,8.000000000000e+00
25,2.282528749270e+00,1.807406525283e-01,9.000000000000e+00,5.823691959640e-03,1.218504827075e-02,6.361356311114e-03,3.128104979672e+00,2.565540668625e+00,2.109268377114e+00,7.387037442692e-02,1.810057602261e-01,2.998808412388e-01,2.000000000000e+01,1.300000000000e+01,8.000000000000e+00
26,2.273165128407e+00,2.017301191810e-01,9.000000000000e+00,-1.394407109848e-02,2.206763616214e-02,3.601170726063e-02,3.163599032242e+00,2.573777202140e+00,2.115704291552e+00,7.416867958543e-02,1.912844936079e-01,2.948737326066e-01,2.100000000000e+01,1.300000000000e+01,8.000000000000e+00
27,2.254640607073e+00,2.248759248526e-01,9.000000000000e+00,1.361929858154e-03,1.227199762454e-02,1.091006776639e-02,3.198328454309e+00,2.589572193925e+00,2.129244297740e+00,7.176081898880e-02,2.042640196092e-01,2.885479538148e-01,2.200000000000e+01,1.300000000000e+01,8.000000000000e+00
28,2.275888988123e+00,2.262741144301e-01,9.000000000000e+00,1.195074625759e-02,3.382915885032e-03,-8.567830372558e-03,3.231862482702e+00,2.607342086588e+00,2.132793078069e+00,6.929207351769e-02,2.082594592886e-01,2.834560279119e-01,2.200000000000e+01,1.400000000000e+01,8.000000000000e+00
29,2.278542099588e+00,2.316417566226e-01,9.000000000000e+00,7.389350461656e-03,7.492596531563e-03,1.032460699064e-04,3.262443495076e+00,2.619404326467e+00,2.157497164980e+00,6.919462488027e-02,2.160705096932e-01,2.803642208346e-01,2.300000000000e+01,1.400000000000e+01,8.000000000000e+00
30,2.290667689047e+00,2.412593074932e-01,9.000000000000e+00,1.740462022551e-02,8.879178140175e-03,-8.525442085331e-03,3.296821833628e+00,2.602585253306e+00,2.144756010263e+00,6.688856857959e-02,2.409787501804e-01,2.910936702212e-01,2.400000000000e+01,1.400000000000e+01,8.000000000000e+00
31,2.313351340039e+00,2.494001129030e-01,9.000000000000e+00,1.894960577200e-02,8.592474322173e-03,-1.035713144983e-02,3.321235928120e+00,2.632027550090e+00,2.156680664599e+00,6.507369342894e-02,2.377114409672e-01,2.871849410144e-01,2.400000000000e+01,1.500000000000e+01,8.000000000000e+00
32,2.328566900591e+00,2.584442561376e-01,1.000000000000e+01,2.210615221692e-02,1.201280813697e-03,-2.090487140322e-02,3.352669775190e+00,2.663194834698e+00,2.177470239481e+00,6.314800578593e-02,2.348032996811e-01,2.843876179154e-01,2.500000000000e+01,1.500000000000e+01,8.000000000000e+00
33,2.357563644473e+00,2.518026745304e-01,1.000000000000e+01,2.313487700318e-02,-5.166463931480e-03,-2.830134093466e-02,3.377245996670e+00,2.695340770044e+00,2.185597566547e+00,6.194500902892e-02,2.315397133852e-01,2.777758353359e-01,2.600000000000e+01,1.600000000000e+01,8.000000000000e+00
